Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,14.40,14.76,14.33,14.45,127400,14.45
2014-12-30,14.69,14.72,14.35,14.38,2300,14.38
2014-12-29,14.60,14.93,14.40,14.67,116100,14.67
2014-12-26,14.45,14.76,14.35,14.64,92700,14.64
2014-12-24,14.35,14.63,14.25,14.38,59900,14.38
2014-12-23,14.66,14.81,14.16,14.34,133500,14.34
2014-12-22,14.97,15.06,14.45,14.60,115200,14.60
2014-12-19,15.02,15.13,14.84,14.97,188000,14.97
2014-12-18,15.41,15.65,14.73,15.06,150900,15.06
2014-12-17,14.35,15.23,14.35,15.14,109900,15.14
2014-12-16,14.13,14.64,14.13,14.33,76300,14.33
2014-12-15,14.35,14.64,13.98,14.15,130900,14.15
2014-12-12,14.00,14.65,13.92,14.28,265700,14.28
2014-12-11,14.35,14.64,14.00,14.20,390000,14.20
2014-12-10,14.70,14.71,14.12,14.27,84600,14.27
2014-12-09,14.18,14.82,14.01,14.78,90000,14.78
2014-12-08,15.39,15.45,14.31,14.35,84700,14.35
2014-12-05,14.89,15.51,14.87,15.44,101000,15.44
2014-12-04,15.14,15.21,14.76,14.89,99900,14.89
2014-12-03,14.99,15.43,14.83,15.19,205600,15.19
2014-12-02,14.59,14.99,14.53,14.98,178700,14.98
2014-12-01,14.84,14.84,14.22,14.56,135600,14.56
2014-11-28,15.21,15.21,14.82,14.91,86800,14.91
2014-11-26,14.93,15.30,14.81,15.25,60700,15.25
2014-11-25,15.00,15.27,14.58,14.90,104000,14.90
2014-11-24,14.97,15.17,14.85,15.16,104100,15.16
2014-11-21,15.15,15.15,14.83,14.91,141000,14.91
2014-11-20,14.72,14.97,14.55,14.92,105500,14.92
2014-11-19,14.83,14.84,14.24,14.81,176700,14.81
2014-11-18,14.75,14.91,14.67,14.89,167200,14.89
2014-11-17,15.10,15.19,14.68,14.70,150200,14.70
2014-11-14,15.09,15.20,14.94,15.10,191900,15.10
2014-11-13,15.30,15.30,14.98,15.08,161000,15.08
2014-11-12,15.10,15.29,15.10,15.25,194100,15.25
2014-11-11,15.28,15.28,15.07,15.20,191900,15.20
2014-11-10,15.34,15.61,15.09,15.30,174700,15.30
2014-11-07,15.30,15.41,15.30,15.35,170100,15.35
2014-11-06,15.30,15.47,15.20,15.35,152100,15.35
2014-11-05,15.24,15.66,15.10,15.28,115400,15.28
2014-11-04,15.03,15.25,14.94,15.13,229200,15.13
2014-11-03,14.93,15.22,14.90,15.06,293800,15.06
2014-10-31,16.52,16.52,14.78,14.91,639000,14.91
2014-10-30,16.22,17.21,16.21,16.93,166900,16.93
2014-10-29,16.55,16.55,15.98,16.33,112200,16.33
2014-10-28,16.08,16.57,15.93,16.48,228600,16.48
2014-10-27,15.49,15.95,15.39,15.82,64200,15.82
2014-10-24,15.53,15.70,15.32,15.60,62000,15.60
2014-10-23,15.38,15.92,13.31,15.52,564800,15.52
2014-10-22,15.33,15.60,15.10,15.21,94600,15.21
2014-10-21,15.15,15.37,14.95,15.33,147100,15.33
2014-10-20,15.00,15.61,14.90,15.09,148300,15.09
2014-10-17,15.31,15.31,15.00,15.04,259900,15.04
2014-10-16,15.19,15.95,15.00,15.08,371500,15.08
2014-10-15,14.61,15.71,14.42,15.43,168200,15.43
2014-10-14,14.78,15.30,14.70,14.88,137800,14.88
2014-10-13,14.30,15.01,14.18,14.60,100800,14.60
2014-10-10,14.31,14.62,13.98,14.32,884200,14.32
2014-10-09,15.88,16.03,14.22,14.41,354100,14.41
2014-10-08,14.83,15.93,14.83,15.89,147700,15.89
2014-10-07,15.11,15.11,14.82,14.90,325300,14.90
2014-10-06,15.94,15.96,15.24,15.25,134600,15.25
2014-10-03,15.54,16.00,15.54,15.94,154100,15.94
2014-10-02,15.00,15.38,15.00,15.36,178300,15.36
2014-10-01,15.06,15.12,14.90,15.00,172600,15.00
2014-09-30,15.19,15.39,14.88,15.04,214900,15.04
2014-09-29,14.78,15.22,14.56,15.22,226100,15.22
2014-09-26,15.42,15.43,14.87,15.00,202000,15.00
2014-09-25,16.24,16.29,15.41,15.41,299700,15.41
2014-09-24,15.22,16.39,15.06,16.25,168300,16.25
2014-09-23,15.56,15.62,14.88,15.22,168500,15.22
