Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.98,9.19,8.83,9.11,182500,9.11
2014-12-30,9.20,9.20,8.91,8.91,58400,8.91
2014-12-29,9.16,9.33,9.13,9.15,99400,9.15
2014-12-26,9.17,9.35,9.11,9.18,102100,9.18
2014-12-24,9.19,9.29,9.02,9.11,85000,9.11
2014-12-23,9.40,9.40,9.09,9.19,158400,9.19
2014-12-22,9.06,9.52,9.06,9.32,153300,9.32
2014-12-19,9.20,9.37,9.08,9.10,350000,9.10
2014-12-18,9.46,9.46,9.17,9.22,253000,9.22
2014-12-17,9.23,9.43,9.17,9.30,277500,9.30
2014-12-16,8.95,9.36,8.90,9.21,137900,9.21
2014-12-15,9.17,9.26,8.90,8.96,162300,8.96
2014-12-12,9.00,9.25,8.90,9.12,122100,9.12
2014-12-11,8.99,9.34,8.99,9.14,100100,9.14
2014-12-10,9.26,9.40,8.93,8.93,178900,8.93
2014-12-09,8.95,9.40,8.88,9.31,124900,9.31
2014-12-08,9.30,9.31,9.04,9.09,103400,9.09
2014-12-05,8.95,9.37,8.80,9.32,217600,9.32
2014-12-04,8.99,9.09,8.80,8.86,127400,8.86
2014-12-03,9.00,9.32,8.85,8.99,219100,8.99
2014-12-02,8.74,9.06,8.37,9.03,225100,9.03
2014-12-01,9.20,9.26,8.72,8.74,204000,8.74
2014-11-28,9.31,9.46,9.16,9.21,84200,9.21
2014-11-26,9.41,9.41,9.12,9.31,169800,9.31
2014-11-25,9.77,9.95,9.40,9.42,209400,9.42
2014-11-24,9.07,9.68,8.92,9.66,350200,9.66
2014-11-21,8.76,9.27,8.67,9.15,270000,9.15
2014-11-20,8.59,8.90,8.58,8.85,390800,8.85
2014-11-19,8.72,8.76,8.55,8.62,164000,8.62
2014-11-18,8.63,8.84,8.58,8.70,219200,8.70
2014-11-17,8.66,8.75,8.53,8.60,334300,8.60
2014-11-14,8.84,8.89,8.52,8.70,179600,8.70
2014-11-13,8.91,8.99,8.70,8.86,155500,8.86
2014-11-12,8.80,9.01,8.67,8.87,232500,8.87
2014-11-11,8.99,8.99,8.84,8.87,210800,8.87
2014-11-10,9.01,9.01,8.78,8.99,238300,8.99
2014-11-07,8.90,9.04,8.75,8.95,230400,8.95
2014-11-06,8.90,9.00,8.82,8.88,242300,8.88
2014-11-05,9.07,9.24,8.82,8.84,587000,8.84
2014-11-04,8.96,9.27,8.82,8.91,566100,8.91
2014-11-03,9.63,9.63,8.90,8.96,828100,8.96
2014-10-31,9.15,9.69,8.90,9.57,1122100,9.57
2014-10-30,10.88,11.20,10.78,11.04,241100,11.04
2014-10-29,11.06,11.09,10.47,10.91,148700,10.91
2014-10-28,10.41,11.04,10.28,11.01,219100,11.01
2014-10-27,10.37,10.52,10.20,10.37,111500,10.37
2014-10-24,10.49,10.73,10.32,10.42,168100,10.42
2014-10-23,10.38,10.65,10.21,10.48,134600,10.48
2014-10-22,10.46,10.64,10.20,10.24,202500,10.24
2014-10-21,11.14,11.40,10.40,10.48,266000,10.48
2014-10-20,10.80,10.95,10.75,10.84,133600,10.84
2014-10-17,11.41,11.60,10.80,10.88,180300,10.88
2014-10-16,11.24,11.61,11.09,11.25,206400,11.25
2014-10-15,10.92,11.50,10.91,11.50,210100,11.50
2014-10-14,10.78,11.22,10.67,11.11,204300,11.11
2014-10-13,10.84,11.29,10.60,10.63,262400,10.63
2014-10-10,10.72,11.03,10.63,10.78,152800,10.78
2014-10-09,11.38,11.49,10.76,10.79,206900,10.79
2014-10-08,11.13,11.48,11.08,11.38,229100,11.38
2014-10-07,11.18,11.52,11.02,11.19,231300,11.19
2014-10-06,11.50,11.64,11.11,11.28,308800,11.28
2014-10-03,11.12,11.51,10.88,11.45,208800,11.45
2014-10-02,10.00,11.18,10.00,10.99,350900,10.99
2014-10-01,10.60,10.72,9.98,10.03,296100,10.03
2014-09-30,11.01,11.04,10.62,10.63,266400,10.63
2014-09-29,11.11,11.19,10.88,10.98,186300,10.98
2014-09-26,11.02,11.33,10.92,11.30,132700,11.30
2014-09-25,11.40,11.43,10.82,10.95,245700,10.95
2014-09-24,11.16,11.52,11.15,11.38,124800,11.38
2014-09-23,11.16,11.22,11.00,11.15,119900,11.15
2014-09-22,11.35,11.35,10.98,11.25,173300,11.25
2014-09-19,11.72,11.73,11.21,11.33,210700,11.33
2014-09-18,11.65,11.80,11.47,11.65,79500,11.65
2014-09-17,11.28,11.85,11.22,11.62,147300,11.62
2014-09-16,11.19,11.53,11.15,11.25,500800,11.25
2014-09-15,11.64,11.64,11.18,11.21,129900,11.21
2014-09-12,11.79,11.88,11.44,11.59,124500,11.59
2014-09-11,11.54,11.86,11.44,11.74,101900,11.74
2014-09-10,11.32,11.69,11.32,11.64,68000,11.64
2014-09-09,11.59,11.79,11.27,11.33,141300,11.33
2014-09-08,11.44,11.75,11.44,11.65,83300,11.65
2014-09-05,11.21,11.50,11.07,11.43,141300,11.43
2014-09-04,11.51,11.70,11.20,11.28,82400,11.28
2014-09-03,11.75,11.75,11.41,11.46,171300,11.46
2014-09-02,11.61,11.88,11.46,11.69,269000,11.69
2014-08-29,11.23,11.60,11.23,11.51,180200,11.51
2014-08-28,11.40,11.43,11.16,11.22,122000,11.22
2014-08-27,11.53,11.55,11.27,11.42,107300,11.42
2014-08-26,11.31,11.53,11.18,11.51,196100,11.51
2014-08-25,11.49,11.83,11.21,11.23,276900,11.23
2014-08-22,11.46,11.82,11.39,11.42,116700,11.42
2014-08-21,11.41,11.65,11.26,11.46,97100,11.46
