Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.00,5.00,5.00,5.00,3100,5.00
2014-12-30,4.91,4.91,4.91,4.91,000,4.91
2014-12-29,5.10,5.10,5.10,5.10,3000,5.10
2014-12-26,5.10,5.10,5.10,5.10,1800,5.10
2014-12-24,5.19,5.20,5.19,5.20,8100,5.20
2014-12-23,5.10,5.10,5.00,5.10,10100,5.10
2014-12-22,5.02,5.10,5.00,5.04,19300,5.04
2014-12-19,5.00,5.10,4.98,5.10,7200,5.10
2014-12-18,5.05,5.09,4.98,5.09,36300,5.09
2014-12-17,5.00,5.09,5.00,5.09,3100,5.09
2014-12-16,5.00,5.00,5.00,5.00,000,5.00
2014-12-15,5.00,5.00,5.00,5.00,5300,5.00
2014-12-12,5.00,5.00,4.80,4.92,9300,4.92
2014-12-11,5.02,5.02,5.00,5.00,200,5.00
2014-12-10,5.00,5.05,4.96,5.02,9000,5.02
2014-12-09,4.94,4.94,4.94,4.94,200,4.94
2014-12-08,4.91,4.92,4.90,4.90,4300,4.90
2014-12-05,5.09,5.10,5.00,5.00,8000,5.00
2014-12-04,4.50,5.06,4.50,5.06,21800,5.06
2014-12-03,5.00,5.05,5.00,5.00,1800,5.00
2014-12-02,5.00,5.00,5.00,5.00,000,5.00
2014-12-01,5.01,5.01,5.00,5.00,4400,5.00
2014-11-28,5.10,5.10,5.00,5.00,2000,5.00
2014-11-26,5.07,5.07,5.00,5.04,17000,5.04
2014-11-25,5.07,5.07,5.07,5.07,1000,5.07
2014-11-24,5.05,5.05,5.05,5.05,2500,5.05
2014-11-21,5.10,5.12,5.09,5.12,10500,5.12
2014-11-20,5.00,5.04,5.00,5.02,2200,5.02
2014-11-19,5.01,5.01,5.01,5.01,600,5.01
2014-11-18,5.10,5.10,5.09,5.09,600,5.09
2014-11-17,5.02,5.10,5.02,5.10,500,5.10
2014-11-14,5.10,5.10,5.09,5.10,3500,5.10
2014-11-13,5.10,5.14,5.10,5.10,23200,5.10
2014-11-12,5.10,5.10,5.10,5.10,1800,5.10
2014-11-11,5.10,5.10,5.10,5.10,400,5.10
2014-11-10,5.10,5.10,5.10,5.10,000,5.10
2014-11-07,5.10,5.20,5.09,5.10,17600,5.10
2014-11-06,5.10,5.10,5.09,5.10,12200,5.10
2014-11-05,5.10,5.10,5.10,5.10,000,5.10
2014-11-04,5.10,5.10,5.09,5.10,13000,5.10
2014-11-03,5.00,5.20,5.00,5.20,5500,5.20
2014-10-31,5.20,5.20,5.20,5.20,100,5.20
2014-10-30,5.03,5.20,5.01,5.10,5700,5.10
2014-10-29,5.02,5.02,5.02,5.02,500,5.02
2014-10-28,5.07,5.07,5.07,5.07,4000,5.07
2014-10-27,5.05,5.05,5.05,5.05,000,5.05
2014-10-24,5.05,5.05,5.05,5.05,2100,5.05
2014-10-23,5.02,5.02,5.00,5.00,7900,5.00
2014-10-22,5.02,5.02,5.00,5.00,800,5.00
2014-10-21,5.04,5.04,5.02,5.02,900,5.02
2014-10-20,5.05,5.05,5.05,5.05,200,5.05
2014-10-17,5.07,5.07,5.07,5.07,1000,5.07
2014-10-16,5.20,5.20,5.20,5.20,000,5.20
