Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.31,3.34,3.24,3.26,36000,3.26
2014-12-30,3.31,3.33,3.25,3.30,500,3.30
2014-12-29,3.20,3.30,3.20,3.25,46600,3.25
2014-12-26,3.07,3.24,3.07,3.18,28700,3.18
2014-12-24,3.06,3.19,3.06,3.10,19500,3.10
2014-12-23,3.02,3.16,3.00,3.04,40000,3.04
2014-12-22,2.90,3.20,2.73,3.02,123100,3.02
2014-12-19,2.96,2.98,2.90,2.95,19400,2.95
2014-12-18,2.85,3.64,2.82,2.99,175100,2.99
2014-12-17,2.79,2.86,2.66,2.84,60300,2.84
2014-12-16,2.72,2.79,2.70,2.76,31600,2.76
2014-12-15,2.78,2.80,2.71,2.75,24300,2.75
2014-12-12,2.70,2.79,2.63,2.78,18700,2.78
2014-12-11,2.69,2.71,2.66,2.68,68800,2.68
2014-12-10,2.77,2.77,2.65,2.70,78300,2.70
2014-12-09,2.70,2.72,2.63,2.72,42600,2.72
2014-12-08,2.70,2.73,2.67,2.71,78300,2.71
2014-12-05,2.72,2.78,2.72,2.74,28300,2.74
2014-12-04,2.75,2.79,2.71,2.72,44800,2.72
2014-12-03,2.81,2.82,2.75,2.78,39500,2.78
2014-12-02,2.76,2.83,2.75,2.77,42900,2.77
2014-12-01,2.76,2.88,2.75,2.77,40400,2.77
2014-11-28,2.72,2.80,2.71,2.79,11800,2.79
2014-11-26,2.74,2.82,2.74,2.78,22800,2.78
2014-11-25,2.84,2.85,2.74,2.76,38800,2.76
2014-11-24,2.80,2.86,2.75,2.80,30500,2.80
2014-11-21,2.75,2.82,2.73,2.80,50900,2.80
2014-11-20,2.78,2.83,2.71,2.80,25900,2.80
2014-11-19,2.87,2.94,2.75,2.78,58900,2.78
2014-11-18,2.80,2.96,2.78,2.83,81000,2.83
2014-11-17,2.90,2.90,2.78,2.79,100900,2.79
2014-11-14,2.90,2.96,2.72,2.87,156500,2.87
2014-11-13,2.83,2.93,2.79,2.91,167200,2.91
2014-11-12,2.50,2.96,2.50,2.80,540900,2.80
2014-11-11,1.89,2.89,1.89,2.63,1639700,2.63
2014-11-10,2.20,2.44,1.74,1.80,1286000,1.80
2014-11-07,2.90,2.99,1.91,2.06,981100,2.06
2014-11-06,3.24,3.25,3.07,3.09,44400,3.09
2014-11-05,3.32,3.32,3.16,3.18,16800,3.18
2014-11-04,3.33,3.37,3.10,3.17,101600,3.17
2014-11-03,3.36,3.42,3.25,3.30,13900,3.30
2014-10-31,3.49,3.52,3.32,3.39,35500,3.39
2014-10-30,3.35,3.45,3.26,3.40,20800,3.40
2014-10-29,3.31,3.41,3.30,3.38,15300,3.38
2014-10-28,3.13,3.27,3.13,3.27,14300,3.27
2014-10-27,3.17,3.28,3.12,3.14,27200,3.14
2014-10-24,3.50,3.50,3.13,3.18,52100,3.18
2014-10-23,3.42,3.44,3.35,3.35,11000,3.35
2014-10-22,3.19,3.44,3.19,3.36,51000,3.36
2014-10-21,3.23,3.28,3.17,3.21,57700,3.21
2014-10-20,3.25,3.27,3.15,3.17,48100,3.17
2014-10-17,3.27,3.33,3.22,3.22,71100,3.22
2014-10-16,3.17,3.31,3.17,3.27,30800,3.27
2014-10-15,3.09,3.21,3.03,3.18,49000,3.18
2014-10-14,3.13,3.17,3.08,3.13,20100,3.13
2014-10-13,3.26,3.26,3.08,3.15,64300,3.15
2014-10-10,3.31,3.35,3.27,3.27,18900,3.27
