Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.70,18.84,17.26,17.61,37900,17.61
2014-12-30,16.99,17.97,16.72,17.35,8700,17.35
2014-12-29,16.72,17.00,16.54,17.00,14100,17.00
2014-12-26,16.93,17.03,16.50,16.93,13900,16.93
2014-12-24,16.75,17.37,16.75,17.08,8600,17.08
2014-12-23,17.34,17.34,16.60,16.93,17500,16.93
2014-12-22,16.41,17.20,16.35,16.99,25100,16.99
2014-12-19,16.30,16.89,16.20,16.44,10700,16.44
2014-12-18,16.93,16.93,15.84,16.30,22500,16.30
2014-12-17,17.66,17.85,16.81,16.88,16300,16.88
2014-12-16,17.51,17.96,17.51,17.70,12200,17.70
2014-12-15,17.61,18.74,17.05,17.49,45300,17.49
2014-12-12,17.43,18.11,17.00,17.40,29900,17.40
2014-12-11,17.84,18.36,17.40,17.67,20700,17.67
2014-12-10,18.43,18.57,17.55,17.65,13700,17.65
2014-12-09,18.41,18.77,17.91,18.37,27100,18.37
2014-12-08,18.40,18.67,18.19,18.50,35000,18.50
2014-12-05,18.30,18.68,18.06,18.40,11500,18.40
2014-12-04,17.50,18.22,17.43,18.12,9000,18.12
2014-12-03,17.61,17.84,17.29,17.40,19900,17.40
2014-12-02,17.39,17.73,17.12,17.42,21400,17.42
2014-12-01,17.32,17.53,17.11,17.34,111000,17.34
2014-11-28,17.10,17.65,16.87,17.15,15600,17.15
2014-11-26,16.94,17.29,16.94,17.08,18600,17.08
2014-11-25,16.25,16.94,15.96,16.94,10100,16.94
2014-11-24,15.86,16.33,15.85,16.24,24900,16.24
2014-11-21,15.79,16.05,15.64,15.83,8200,15.83
2014-11-20,15.60,16.05,15.60,15.97,7300,15.97
2014-11-19,16.00,16.10,15.76,15.76,4500,15.46
2014-11-18,16.00,16.00,15.76,16.00,7400,15.70
2014-11-17,15.60,16.00,15.50,15.95,9100,15.65
2014-11-14,15.31,16.10,15.31,15.59,10500,15.29
2014-11-13,15.99,16.10,15.69,15.85,6500,15.55
2014-11-12,15.97,16.30,15.76,16.10,5500,15.79
2014-11-11,16.12,16.16,15.81,16.11,10600,15.80
2014-11-10,15.95,16.25,15.93,15.95,9200,15.65
2014-11-07,15.69,15.94,15.21,15.66,6000,15.36
2014-11-06,15.94,16.14,15.80,15.81,12700,15.51
2014-11-05,15.80,16.17,15.58,16.05,10500,15.74
2014-11-04,15.93,16.14,15.60,15.75,12500,15.45
2014-11-03,16.11,16.19,15.83,16.17,8200,15.86
2014-10-31,16.21,16.26,15.95,16.20,6000,15.89
2014-10-30,16.30,16.30,15.85,16.15,9300,15.84
2014-10-29,15.80,16.36,15.71,16.30,15800,15.99
2014-10-28,15.55,16.30,15.55,16.25,12400,15.94
2014-10-27,15.59,16.19,15.02,15.91,11800,15.61
2014-10-24,15.85,15.98,15.49,15.79,10400,15.49
2014-10-23,16.13,16.36,15.71,15.98,12300,15.68
2014-10-22,15.73,15.96,15.26,15.66,9100,15.36
2014-10-21,15.34,16.32,15.32,15.86,24000,15.56
2014-10-20,15.52,15.57,14.67,14.67,9500,14.39
2014-10-17,15.66,15.73,15.01,15.73,16400,15.43
2014-10-16,15.50,15.87,15.50,15.60,8900,15.30
2014-10-15,15.50,15.78,15.28,15.50,8700,15.20
2014-10-14,16.20,16.20,15.95,15.95,6500,15.65
2014-10-13,16.35,16.61,16.04,16.20,21700,15.89
2014-10-10,16.50,16.52,16.20,16.51,11300,16.20
2014-10-09,16.72,16.72,16.55,16.57,6800,16.25
2014-10-08,16.66,16.94,16.50,16.72,14200,16.40
2014-10-07,16.60,16.93,16.60,16.60,12400,16.28
2014-10-06,16.50,16.61,16.26,16.48,14700,16.17
