Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,5.42,5.54,5.37,5.47,12000,5.47
2014-12-30,5.41,5.53,5.41,5.43,16200,5.43
2014-12-29,5.45,5.52,5.45,5.49,10500,5.49
2014-12-26,5.59,5.65,5.51,5.54,14900,5.54
2014-12-24,5.49,5.69,5.49,5.68,3100,5.68
2014-12-23,5.48,5.50,5.37,5.48,46700,5.48
2014-12-22,5.48,5.68,5.36,5.36,15400,5.36
2014-12-19,5.35,5.59,5.30,5.30,30700,5.30
2014-12-18,5.47,5.54,5.31,5.32,14200,5.32
2014-12-17,5.38,5.62,5.35,5.43,9000,5.43
2014-12-16,5.39,5.42,5.31,5.32,18700,5.32
2014-12-15,5.49,5.49,5.32,5.40,15100,5.40
2014-12-12,5.39,5.62,5.37,5.41,16300,5.41
2014-12-11,5.43,5.61,5.38,5.41,14500,5.41
2014-12-10,5.69,5.70,5.30,5.47,14100,5.47
2014-12-09,5.55,5.70,5.55,5.66,17900,5.66
2014-12-08,5.59,5.59,5.36,5.55,19700,5.55
2014-12-05,5.40,5.64,5.40,5.61,22500,5.61
2014-12-04,5.54,5.54,5.35,5.48,45500,5.48
2014-12-03,5.45,5.57,5.45,5.47,11700,5.47
2014-12-02,5.52,5.53,5.41,5.41,10000,5.41
2014-12-01,5.57,5.57,5.48,5.51,20200,5.51
2014-11-28,5.49,5.49,5.49,5.49,000,5.49
2014-11-26,5.49,5.50,5.44,5.49,17100,5.49
2014-11-25,5.48,5.50,5.40,5.41,17000,5.41
2014-11-24,5.46,5.57,5.38,5.48,63200,5.48
2014-11-21,5.51,5.58,5.40,5.49,24200,5.49
2014-11-20,5.61,5.64,5.48,5.48,15200,5.48
2014-11-19,5.63,5.74,5.56,5.69,5300,5.69
2014-11-18,5.70,5.78,5.54,5.57,14500,5.57
2014-11-17,5.81,5.81,5.61,5.78,14100,5.70
2014-11-14,5.50,5.77,5.40,5.68,84400,5.60
2014-11-13,5.45,5.81,5.38,5.39,14200,5.32
2014-11-12,5.50,5.72,5.19,5.44,202900,5.36
2014-11-11,5.50,5.67,5.46,5.50,47800,5.42
2014-11-10,5.50,5.75,5.40,5.48,66300,5.40
2014-11-07,5.71,5.82,5.52,5.53,71800,5.45
2014-11-06,5.95,6.01,5.73,5.92,9600,5.84
2014-11-05,6.17,6.35,5.91,5.94,17200,5.86
2014-11-04,5.90,6.17,5.90,6.16,26900,6.07
2014-11-03,5.73,5.84,5.65,5.83,13400,5.75
2014-10-31,5.63,5.75,5.60,5.73,11100,5.65
2014-10-30,5.67,5.79,5.52,5.59,16700,5.51
2014-10-29,5.66,5.99,5.44,5.70,52100,5.62
2014-10-28,6.08,6.11,5.94,5.94,8300,5.86
2014-10-27,6.11,6.25,6.00,6.08,25200,6.00
2014-10-24,5.89,6.34,5.89,6.11,161800,6.03
2014-10-23,5.98,5.98,5.81,5.86,11600,5.78
2014-10-22,5.76,5.85,5.59,5.74,23300,5.66
2014-10-21,5.43,5.76,5.32,5.68,23800,5.60
2014-10-20,5.44,5.51,5.34,5.34,54200,5.27
2014-10-17,5.58,5.65,5.36,5.40,49100,5.33
2014-10-16,5.41,5.62,5.30,5.49,216000,5.41
2014-10-15,5.33,5.47,5.33,5.45,56400,5.37
2014-10-14,5.52,5.64,5.33,5.38,22400,5.31
2014-10-13,5.83,5.85,5.44,5.54,28200,5.46
2014-10-10,5.94,6.01,5.54,5.87,26200,5.79
2014-10-09,6.17,6.29,5.91,5.99,12500,5.91
2014-10-08,6.30,6.35,6.00,6.10,36000,6.02
2014-10-07,6.57,6.57,6.30,6.30,17000,6.21
2014-10-06,6.70,6.77,6.52,6.52,10500,6.43
2014-10-03,6.75,6.82,6.60,6.61,15400,6.52
2014-10-02,6.74,6.75,6.60,6.71,13200,6.62
2014-10-01,6.70,6.95,6.68,6.80,26100,6.71
2014-09-30,6.60,6.91,6.60,6.74,34400,6.65
2014-09-29,6.56,6.94,6.45,6.81,52500,6.72
2014-09-26,6.72,6.87,6.50,6.62,77000,6.53
2014-09-25,6.80,6.80,6.50,6.73,65800,6.64
2014-09-24,6.87,6.94,6.80,6.88,31900,6.78
2014-09-23,6.90,6.95,6.84,6.90,22800,6.80
2014-09-22,7.20,7.25,6.72,6.92,108200,6.82
2014-09-19,7.20,7.25,7.00,7.21,149100,7.11
2014-09-18,7.20,7.28,7.11,7.23,17700,7.13
2014-09-17,7.21,7.30,7.12,7.12,67200,7.02
2014-09-16,7.21,7.50,7.21,7.21,11100,7.11
2014-09-15,7.52,7.53,7.21,7.26,27800,7.16
2014-09-12,7.45,7.73,7.43,7.44,32000,7.34
2014-09-11,7.54,7.85,7.40,7.44,41300,7.34
2014-09-10,7.64,7.72,7.50,7.51,21300,7.41
2014-09-09,7.66,7.70,7.65,7.66,9100,7.55
2014-09-08,7.62,7.82,7.62,7.66,11900,7.55
2014-09-05,7.87,7.87,7.62,7.62,11500,7.51
2014-09-04,7.94,7.94,7.75,7.76,12900,7.65
2014-09-03,7.94,7.94,7.82,7.90,21600,7.79
2014-09-02,7.94,8.04,7.85,7.85,93600,7.74
2014-08-29,7.60,7.79,7.60,7.79,30500,7.68
2014-08-28,7.46,7.46,7.32,7.44,2900,7.34
2014-08-27,7.45,7.69,7.32,7.46,13400,7.36
2014-08-26,7.47,7.70,7.39,7.50,17200,7.40
2014-08-25,7.50,7.52,7.34,7.47,9500,7.37
2014-08-22,7.41,7.59,7.32,7.42,8500,7.32
2014-08-21,7.52,7.67,7.25,7.50,24400,7.40
2014-08-20,7.56,7.82,7.46,7.52,10300,7.42
2014-08-19,7.15,7.78,7.15,7.65,34800,7.54
