Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.99,10.09,9.91,10.01,320600,10.01
2014-12-30,9.75,10.00,9.75,9.94,208300,9.94
2014-12-29,9.90,10.11,9.80,9.80,304500,9.80
2014-12-26,10.02,10.13,9.92,9.93,218700,9.93
2014-12-24,10.00,10.24,10.00,10.05,169000,10.05
2014-12-23,10.10,10.24,10.02,10.05,173300,10.05
2014-12-22,10.16,10.26,10.09,10.11,241400,10.11
2014-12-19,10.46,10.46,10.10,10.26,545900,10.26
2014-12-18,10.50,10.55,10.41,10.46,282800,10.46
2014-12-17,10.07,10.47,10.07,10.41,262800,10.41
2014-12-16,10.10,10.22,10.05,10.08,256300,10.08
2014-12-15,10.45,10.67,10.07,10.16,429800,10.16
2014-12-12,10.61,10.64,10.48,10.49,287400,10.49
2014-12-11,10.50,10.76,10.45,10.73,414200,10.73
2014-12-10,10.42,10.65,10.34,10.50,373800,10.50
2014-12-09,10.05,10.47,10.01,10.45,280400,10.45
2014-12-08,10.23,10.23,10.03,10.14,421600,10.14
2014-12-05,10.36,10.41,10.20,10.23,218400,10.23
2014-12-04,10.12,10.36,10.06,10.28,365600,10.28
2014-12-03,9.72,10.17,9.72,10.12,364200,10.12
2014-12-02,9.97,10.05,9.70,9.70,415600,9.70
2014-12-01,9.51,9.99,9.16,9.93,1037500,9.93
2014-11-28,10.31,10.40,9.94,9.99,1039700,9.99
2014-11-26,10.86,10.95,10.36,10.78,942700,10.78
2014-11-25,11.09,11.13,10.93,10.97,143800,10.97
2014-11-24,11.17,11.17,11.07,11.10,253200,11.10
2014-11-21,11.22,11.24,11.03,11.11,313000,11.11
2014-11-20,11.01,11.20,10.87,11.07,344300,11.07
2014-11-19,11.05,11.22,11.00,11.09,205600,11.09
2014-11-18,10.65,11.03,10.65,10.97,268500,10.97
2014-11-17,10.95,11.11,10.30,10.61,838500,10.61
2014-11-14,11.20,11.25,10.93,10.97,742100,10.97
2014-11-13,11.44,11.45,11.15,11.22,176200,11.22
2014-11-12,11.20,11.43,11.20,11.42,132900,11.42
2014-11-11,11.24,11.27,11.15,11.22,150900,11.22
2014-11-10,11.20,11.35,11.15,11.25,188500,11.25
2014-11-07,11.33,11.48,11.16,11.37,395300,11.13
2014-11-06,11.43,11.48,11.31,11.34,129200,11.10
2014-11-05,11.38,11.43,11.33,11.40,99000,11.16
2014-11-04,11.28,11.42,11.25,11.30,170600,11.06
2014-11-03,11.50,11.71,11.25,11.28,247600,11.04
2014-10-31,11.85,11.85,11.45,11.55,195600,11.31
2014-10-30,11.85,11.92,11.66,11.69,149000,11.44
2014-10-29,11.65,11.90,11.65,11.84,113700,11.59
2014-10-28,11.63,11.68,11.55,11.64,139800,11.39
2014-10-27,11.37,11.65,11.37,11.57,161000,11.33
2014-10-24,11.47,11.49,11.35,11.38,87500,11.14
2014-10-23,11.36,11.48,11.30,11.47,99300,11.23
2014-10-22,11.35,11.43,11.27,11.32,139600,11.08
2014-10-21,11.61,11.61,11.34,11.36,169000,11.12
2014-10-20,11.28,11.54,11.25,11.53,201000,11.29
2014-10-17,11.48,11.76,11.26,11.28,179200,11.04
2014-10-16,11.02,11.42,11.02,11.37,180800,11.13
2014-10-15,11.09,11.28,11.00,11.12,273200,10.89
2014-10-14,11.04,11.24,11.02,11.16,144400,10.92
2014-10-13,11.31,11.31,11.03,11.04,290500,10.81
2014-10-10,11.32,11.40,11.25,11.29,132400,11.05
2014-10-09,11.43,11.49,11.25,11.32,252600,11.08
2014-10-08,11.48,11.63,11.34,11.45,178700,11.21
2014-10-07,11.66,11.76,11.45,11.50,215200,11.26
2014-10-06,11.80,11.94,11.65,11.69,182400,11.44
2014-10-03,11.80,11.95,11.75,11.80,133000,11.55
2014-10-02,11.60,11.78,11.60,11.75,191300,11.50
2014-10-01,11.68,11.81,11.52,11.62,212700,11.37
2014-09-30,12.01,12.13,11.65,11.66,284200,11.41
