Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.78,11.99,11.63,11.76,357700,11.76
2014-12-30,11.78,11.85,11.61,11.80,310300,11.80
2014-12-29,11.65,11.84,11.63,11.82,182800,11.82
2014-12-26,11.60,11.76,11.54,11.72,210100,11.72
2014-12-24,11.50,11.63,11.50,11.51,130600,11.51
2014-12-23,11.56,11.77,11.47,11.56,286800,11.56
2014-12-22,12.11,12.11,11.40,11.54,456700,11.54
2014-12-19,12.15,12.18,11.96,12.17,736600,12.17
2014-12-18,11.85,12.24,11.81,12.16,322800,12.16
2014-12-17,11.31,11.75,11.26,11.73,231100,11.73
2014-12-16,11.50,11.61,11.22,11.31,392700,11.31
2014-12-15,11.68,11.95,11.61,11.62,375600,11.62
2014-12-12,11.79,11.89,11.66,11.68,299100,11.68
2014-12-11,12.08,12.26,11.81,11.88,376500,11.88
2014-12-10,12.68,12.76,12.33,12.38,310100,12.04
2014-12-09,12.50,12.77,12.45,12.73,232300,12.38
2014-12-08,12.80,12.89,12.50,12.58,279000,12.23
2014-12-05,13.07,13.12,12.80,12.88,192600,12.53
2014-12-04,13.12,13.20,13.07,13.09,148800,12.73
2014-12-03,13.19,13.30,13.02,13.07,207500,12.71
2014-12-02,13.00,13.24,13.00,13.15,114500,12.79
2014-12-01,13.37,13.37,13.02,13.03,161400,12.67
2014-11-28,13.33,13.40,13.23,13.36,97000,12.99
2014-11-26,13.35,13.38,13.26,13.36,166000,12.99
2014-11-25,13.32,13.36,13.25,13.30,162700,12.93
2014-11-24,13.23,13.32,13.23,13.29,172200,12.93
2014-11-21,13.42,13.42,13.16,13.17,153900,12.81
2014-11-20,13.24,13.38,13.18,13.36,114300,12.99
2014-11-19,13.31,13.34,13.21,13.25,115900,12.89
2014-11-18,13.15,13.30,13.05,13.24,131200,12.88
2014-11-17,13.03,13.15,13.02,13.15,118700,12.79
2014-11-14,13.02,13.18,13.00,13.06,111800,12.70
2014-11-13,13.15,13.21,13.03,13.05,115000,12.69
2014-11-12,13.03,13.11,12.97,13.11,56600,12.75
2014-11-11,12.98,13.11,12.92,13.03,97100,12.67
2014-11-10,12.75,12.99,12.75,12.98,93900,12.62
2014-11-07,12.80,12.94,12.51,12.77,152400,12.42
2014-11-06,12.87,12.87,12.68,12.75,111100,12.40
2014-11-05,12.92,12.92,12.72,12.81,77500,12.46
2014-11-04,12.82,12.89,12.70,12.87,117700,12.52
2014-11-03,12.88,12.95,12.80,12.84,118000,12.49
2014-10-31,12.72,12.94,12.64,12.86,155200,12.51
2014-10-30,12.85,12.85,12.66,12.72,136500,12.37
2014-10-29,12.78,12.87,12.62,12.85,146600,12.50
2014-10-28,12.72,12.81,12.54,12.74,140700,12.39
2014-10-27,12.70,12.78,12.56,12.65,249700,12.30
2014-10-24,12.70,12.79,12.65,12.76,149300,12.41
2014-10-23,12.96,12.97,12.70,12.72,178100,12.37
2014-10-22,12.76,12.98,12.76,12.85,146500,12.50
2014-10-21,12.74,12.84,12.56,12.76,140900,12.41
2014-10-20,12.72,12.81,12.62,12.70,164800,12.35
2014-10-17,12.49,12.82,12.38,12.81,198900,12.46
2014-10-16,11.76,12.39,11.73,12.37,241200,12.03
2014-10-15,12.26,12.30,11.64,12.02,562300,11.69
2014-10-14,12.39,12.40,12.24,12.30,220700,11.96
2014-10-13,12.56,12.58,12.35,12.36,150400,12.02
2014-10-10,12.78,12.78,12.48,12.49,238800,12.15
