Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.80,13.02,12.52,12.82,222300,12.82
2014-12-30,12.87,13.07,12.66,12.80,215000,12.80
2014-12-29,12.77,13.10,12.67,12.96,259600,12.96
2014-12-26,12.80,12.95,12.59,12.80,205000,12.80
2014-12-24,12.86,13.00,12.48,12.71,258700,12.71
2014-12-23,12.68,13.20,12.15,13.13,291100,13.13
2014-12-22,12.25,13.01,12.10,12.90,427800,12.90
2014-12-19,13.07,13.62,12.63,13.60,978100,13.60
2014-12-18,13.06,13.24,12.60,12.98,314700,12.98
2014-12-17,11.90,13.09,11.85,12.61,495800,12.61
2014-12-16,11.77,12.35,11.53,12.00,539300,12.00
2014-12-15,12.13,12.33,11.89,11.99,331500,11.99
2014-12-12,12.36,12.47,11.97,12.00,692100,12.00
2014-12-11,12.82,13.49,12.53,12.65,438200,12.65
2014-12-10,13.81,14.05,12.77,12.82,469400,12.82
2014-12-09,13.38,14.26,13.34,14.14,413000,14.14
2014-12-08,13.80,13.80,13.24,13.40,452800,13.40
2014-12-05,13.66,14.08,13.61,13.94,402500,13.94
2014-12-04,13.42,13.74,13.19,13.70,351400,13.70
2014-12-03,12.92,13.65,12.92,13.56,870000,13.56
2014-12-02,12.66,13.31,12.64,13.13,562000,13.13
2014-12-01,13.18,13.68,12.32,12.78,742900,12.78
2014-11-28,15.51,15.66,14.09,14.09,232200,14.09
2014-11-26,16.19,16.19,15.70,15.88,209200,15.88
2014-11-25,16.48,16.57,16.22,16.28,202400,16.28
2014-11-24,16.44,16.94,16.21,16.43,179400,16.43
2014-11-21,16.47,16.68,16.29,16.49,162000,16.49
2014-11-20,15.62,16.22,15.42,16.19,150400,16.19
2014-11-19,15.75,15.94,15.32,15.77,159600,15.72
2014-11-18,15.69,15.93,15.60,15.77,191000,15.72
2014-11-17,15.87,15.98,15.67,15.69,153400,15.64
2014-11-14,15.89,16.13,15.77,15.97,214800,15.92
2014-11-13,16.18,16.31,15.49,15.91,262800,15.86
2014-11-12,16.21,16.52,16.12,16.32,266400,16.27
2014-11-11,16.09,16.39,15.92,16.27,276500,16.22
2014-11-10,16.08,16.34,15.90,16.09,402100,16.04
2014-11-07,15.66,16.29,15.66,16.06,315600,16.01
2014-11-06,15.37,15.77,14.92,15.73,334700,15.68
2014-11-05,15.85,16.05,15.17,15.48,991900,15.43
2014-11-04,17.39,17.68,15.81,15.84,1836700,15.79
2014-11-03,19.04,19.09,18.22,18.51,285600,18.45
2014-10-31,18.74,19.04,18.33,19.04,276100,18.98
2014-10-30,18.30,18.96,18.25,18.67,169400,18.61
2014-10-29,18.43,18.73,17.75,18.42,315800,18.36
2014-10-28,17.50,18.34,17.30,18.32,218800,18.26
