Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.04,29.10,28.68,29.00,10800,28.74
2014-12-30,29.00,29.45,28.76,29.19,14600,28.93
2014-12-29,29.43,29.43,28.81,29.18,6800,28.92
2014-12-26,29.27,29.44,28.42,29.44,3300,29.18
2014-12-24,29.14,29.49,28.54,28.99,2900,28.73
2014-12-23,28.50,29.29,28.50,29.09,4700,28.83
2014-12-22,28.47,28.66,27.93,28.48,26500,28.23
2014-12-19,28.44,28.89,27.54,28.70,35100,28.45
2014-12-18,28.59,28.98,28.00,28.54,13400,28.29
2014-12-17,27.22,28.38,27.12,28.34,17600,28.09
2014-12-16,26.88,27.72,26.67,27.00,19900,26.76
2014-12-15,28.25,28.25,26.92,27.06,14500,26.82
2014-12-12,27.66,29.44,27.63,27.64,22300,27.40
2014-12-11,28.84,29.26,28.05,28.12,19000,27.87
2014-12-10,29.20,29.36,28.80,29.01,15800,28.75
2014-12-09,27.73,29.22,27.73,29.17,11900,28.91
2014-12-08,27.65,28.62,27.65,27.91,13100,27.66
2014-12-05,27.64,28.39,27.64,28.11,25700,27.86
2014-12-04,28.68,28.99,27.61,27.72,21800,27.48
2014-12-03,29.43,29.43,28.61,28.90,32500,28.64
2014-12-02,28.88,28.92,28.14,28.55,14800,28.30
2014-12-01,27.77,28.36,27.48,27.85,17300,27.60
2014-11-28,28.45,29.21,27.91,27.92,24000,27.67
2014-11-26,28.71,28.85,28.51,28.69,10200,28.44
2014-11-25,29.10,29.10,28.50,28.73,12900,28.48
2014-11-24,29.45,29.46,28.78,28.97,13000,28.71
2014-11-21,29.72,29.72,28.97,29.16,14800,28.90
2014-11-20,28.08,29.40,28.08,29.20,19500,28.94
2014-11-19,29.12,29.12,27.93,28.08,15800,27.83
2014-11-18,29.42,29.44,29.02,29.28,15100,29.02
2014-11-17,29.43,29.83,29.05,29.06,20000,28.80
2014-11-14,29.03,29.89,28.92,29.57,11100,29.31
2014-11-13,29.96,29.96,28.78,28.88,14300,28.62
2014-11-12,29.82,29.89,28.83,29.45,23700,29.19
2014-11-11,29.90,30.13,29.30,29.76,17200,29.50
2014-11-10,30.13,30.49,29.48,30.22,24100,29.95
2014-11-07,30.44,30.44,29.51,29.93,23300,29.67
2014-11-06,29.62,30.23,29.62,30.21,24800,29.94
2014-11-05,30.39,30.39,29.15,29.42,38400,29.16
2014-11-04,30.59,31.20,29.71,29.80,28400,29.54
2014-11-03,31.74,31.74,30.33,30.51,38000,30.24
2014-10-31,31.78,32.63,30.60,31.75,39300,31.27
2014-10-30,30.94,31.29,30.51,31.06,31700,30.59
2014-10-29,30.87,31.70,30.81,31.08,14800,30.61
2014-10-28,30.11,30.92,30.06,30.92,23100,30.45
2014-10-27,30.00,30.17,29.56,30.15,13500,29.70
2014-10-24,31.00,31.00,29.56,30.00,49200,29.55
2014-10-23,33.72,34.28,31.64,33.19,16700,32.69
2014-10-22,33.67,33.88,32.81,33.31,17500,32.81
2014-10-21,33.19,33.87,32.57,33.50,25200,33.00
2014-10-20,33.41,33.58,32.15,33.57,20700,33.06
2014-10-17,34.21,34.21,32.73,33.21,13500,32.71
2014-10-16,33.41,33.98,31.68,33.70,19200,33.19
2014-10-15,32.59,33.85,30.11,33.59,19200,33.08
2014-10-14,31.47,32.76,30.82,32.76,19600,32.27
2014-10-13,30.12,31.50,29.72,31.02,13500,30.55
2014-10-10,29.52,30.09,29.15,30.00,20800,29.55
2014-10-09,30.06,30.78,28.71,29.33,52800,28.89
2014-10-08,28.74,30.46,28.68,30.21,29000,29.75
2014-10-07,29.69,29.69,28.66,28.67,10600,28.24
2014-10-06,28.90,30.19,28.68,30.02,20900,29.57
2014-10-03,28.50,29.01,28.46,28.74,6100,28.31
2014-10-02,28.56,28.60,28.17,28.30,17900,27.87
2014-10-01,28.95,29.07,28.07,28.10,17000,27.68
2014-09-30,29.71,29.90,28.92,28.99,22900,28.55
2014-09-29,29.63,30.05,29.50,29.60,9500,29.15
2014-09-26,29.90,30.05,29.73,29.92,7900,29.47
