Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.25,3.27,3.13,3.18,841200,3.18
2014-12-30,3.15,3.25,3.13,3.25,25100,3.25
2014-12-29,3.05,3.11,2.98,3.11,521200,3.11
2014-12-26,2.95,3.07,2.95,3.04,305000,3.04
2014-12-24,2.90,2.96,2.90,2.93,175600,2.93
2014-12-23,3.00,3.00,2.88,2.92,706100,2.92
2014-12-22,3.10,3.14,2.98,3.00,475800,3.00
2014-12-19,3.12,3.14,3.03,3.07,777600,3.07
2014-12-18,2.99,3.13,2.94,3.12,610200,3.12
2014-12-17,2.92,3.00,2.90,2.96,828200,2.96
2014-12-16,2.92,3.00,2.90,2.91,373400,2.91
2014-12-15,3.06,3.10,2.90,2.91,529000,2.91
2014-12-12,3.03,3.14,3.03,3.05,233700,3.05
2014-12-11,3.20,3.30,3.04,3.08,502700,3.08
2014-12-10,3.21,3.27,3.13,3.24,760500,3.24
2014-12-09,2.97,3.24,2.96,3.24,621800,3.24
2014-12-08,3.22,3.29,2.99,3.00,667100,3.00
2014-12-05,3.00,3.23,2.99,3.22,753300,3.22
2014-12-04,2.96,3.04,2.96,3.00,468400,3.00
2014-12-03,2.93,2.99,2.87,2.95,531900,2.95
2014-12-02,2.89,2.99,2.89,2.94,542800,2.94
2014-12-01,2.91,2.97,2.86,2.86,513200,2.86
2014-11-28,2.94,3.00,2.90,2.90,196800,2.90
2014-11-26,2.90,3.00,2.90,2.94,391400,2.94
2014-11-25,2.93,3.04,2.88,2.90,632000,2.90
2014-11-24,3.01,3.07,2.98,3.03,439000,3.03
2014-11-21,3.15,3.16,2.96,3.02,367700,3.02
2014-11-20,2.91,3.10,2.91,3.09,405700,3.09
2014-11-19,2.97,3.05,2.90,2.94,693900,2.94
2014-11-18,2.95,3.02,2.90,2.96,461800,2.96
2014-11-17,2.87,2.99,2.87,2.92,495500,2.92
2014-11-14,3.02,3.03,2.85,2.87,632900,2.87
2014-11-13,3.00,3.19,3.00,3.01,614300,3.01
2014-11-12,3.19,3.29,3.11,3.14,1059200,3.14
2014-11-11,3.18,3.44,3.12,3.30,2553800,3.30
2014-11-10,2.73,2.99,2.73,2.98,631000,2.98
2014-11-07,2.70,2.80,2.58,2.73,665800,2.73
2014-11-06,2.73,2.78,2.67,2.71,584700,2.71
2014-11-05,2.84,2.92,2.66,2.70,712700,2.70
2014-11-04,2.85,2.90,2.72,2.84,1988300,2.84
2014-11-03,3.01,3.04,2.81,2.83,803000,2.83
2014-10-31,3.05,3.05,2.93,2.93,604000,2.93
2014-10-30,2.94,2.99,2.92,2.98,881200,2.98
2014-10-29,2.94,3.01,2.94,2.94,587500,2.94
2014-10-28,2.98,3.07,2.94,2.95,726600,2.95
2014-10-27,3.00,3.03,2.92,2.94,1041800,2.94
2014-10-24,2.99,3.01,2.94,3.01,450700,3.01
2014-10-23,3.00,3.04,2.94,2.98,973700,2.98
2014-10-22,3.00,3.02,2.93,2.97,427300,2.97
2014-10-21,3.00,3.03,2.92,3.00,454700,3.00
2014-10-20,2.99,3.02,2.89,2.99,622600,2.99
2014-10-17,3.07,3.07,2.97,2.99,754700,2.99
2014-10-16,2.99,3.11,2.97,3.00,724500,3.00
2014-10-15,3.29,3.29,2.93,3.03,938900,3.03
2014-10-14,3.00,3.10,2.95,3.02,598900,3.02
2014-10-13,2.89,3.07,2.82,2.94,971100,2.94
2014-10-10,3.07,3.16,2.87,2.90,1630800,2.90
2014-10-09,3.25,3.26,3.08,3.10,526500,3.10
2014-10-08,3.29,3.29,3.11,3.26,857900,3.26
2014-10-07,3.40,3.40,3.29,3.29,536600,3.29
2014-10-06,3.56,3.60,3.40,3.41,565400,3.41
2014-10-03,3.61,3.63,3.50,3.56,338700,3.56
2014-10-02,3.47,3.65,3.45,3.56,841400,3.56
2014-10-01,3.60,3.60,3.40,3.45,910400,3.45
2014-09-30,3.76,3.83,3.60,3.61,527600,3.61
2014-09-29,3.73,3.91,3.73,3.75,363900,3.75
2014-09-26,3.76,3.87,3.68,3.84,727200,3.84
2014-09-25,3.88,3.91,3.72,3.76,658600,3.76
2014-09-24,3.95,4.01,3.86,3.90,632500,3.90
2014-09-23,3.94,4.01,3.88,3.91,703100,3.91
2014-09-22,4.36,4.47,3.94,3.97,2878200,3.97
2014-09-19,4.69,4.75,4.42,4.47,1082200,4.47
2014-09-18,4.73,4.75,4.58,4.69,537100,4.69
2014-09-17,4.58,4.75,4.56,4.68,664200,4.68
2014-09-16,4.70,4.80,4.55,4.62,844300,4.62
2014-09-15,4.91,4.94,4.66,4.73,777800,4.73
2014-09-12,5.04,5.05,4.80,4.91,737800,4.91
2014-09-11,5.00,5.10,4.83,5.03,1244900,5.03
2014-09-10,4.80,4.96,4.75,4.96,1331800,4.96
2014-09-09,5.37,5.41,4.76,4.80,7874800,4.80
2014-09-08,4.12,4.73,4.05,4.61,2815600,4.61
2014-09-05,4.12,4.12,3.90,3.96,613100,3.96
