Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.21,1.25,1.21,1.22,10800,1.22
2014-12-30,1.22,1.22,1.22,1.22,000,1.22
2014-12-29,1.21,1.26,1.21,1.25,12000,1.25
2014-12-26,1.33,1.33,1.20,1.22,52300,1.22
2014-12-24,1.17,1.32,1.17,1.32,33900,1.32
2014-12-23,1.12,1.18,1.12,1.18,9900,1.18
2014-12-22,1.06,1.12,1.04,1.12,27300,1.12
2014-12-19,1.07,1.07,1.00,1.03,34400,1.03
2014-12-18,1.08,1.13,1.08,1.08,4400,1.08
2014-12-17,1.09,1.14,1.05,1.06,16800,1.06
2014-12-16,1.01,1.05,1.00,1.04,32400,1.04
2014-12-15,1.13,1.13,1.03,1.05,21000,1.05
2014-12-12,1.20,1.22,1.13,1.13,11500,1.13
2014-12-11,1.20,1.20,1.20,1.20,10000,1.20
2014-12-10,1.21,1.24,1.14,1.14,24300,1.14
2014-12-09,1.25,1.25,1.22,1.22,28300,1.22
2014-12-08,1.29,1.29,1.25,1.25,15500,1.25
2014-12-05,1.24,1.29,1.22,1.29,9500,1.29
2014-12-04,1.27,1.27,1.24,1.24,9800,1.24
2014-12-03,1.25,1.28,1.25,1.28,8300,1.28
2014-12-02,1.22,1.31,1.20,1.29,28800,1.29
2014-12-01,1.23,1.26,1.18,1.21,25500,1.21
2014-11-28,1.30,1.31,1.27,1.28,8400,1.28
2014-11-26,1.35,1.35,1.26,1.33,30200,1.33
2014-11-25,1.32,1.35,1.32,1.32,31600,1.32
2014-11-24,1.34,1.35,1.28,1.30,35200,1.30
2014-11-21,1.24,1.35,1.24,1.32,112700,1.32
2014-11-20,1.23,1.23,1.20,1.22,27400,1.22
2014-11-19,1.22,1.28,1.20,1.23,57800,1.23
2014-11-18,1.35,1.37,1.23,1.29,42500,1.29
2014-11-17,1.40,1.40,1.26,1.35,62200,1.35
2014-11-14,1.59,1.59,1.15,1.41,227900,1.41
2014-11-13,1.67,1.74,1.61,1.69,59200,1.69
2014-11-12,1.50,1.72,1.45,1.66,153200,1.66
2014-11-11,1.52,1.54,1.50,1.50,19600,1.50
2014-11-10,1.52,1.57,1.52,1.55,18600,1.55
2014-11-07,1.55,1.55,1.52,1.52,8600,1.52
2014-11-06,1.57,1.58,1.52,1.58,14300,1.58
2014-11-05,1.59,1.62,1.55,1.62,17100,1.62
2014-11-04,1.60,1.65,1.56,1.64,33900,1.64
2014-11-03,1.59,1.64,1.51,1.60,21700,1.60
2014-10-31,1.70,1.73,1.58,1.64,42200,1.64
2014-10-30,1.38,1.80,1.36,1.72,299700,1.72
2014-10-29,1.31,1.38,1.30,1.34,16000,1.34
2014-10-28,1.35,1.40,1.31,1.33,17900,1.33
2014-10-27,1.39,1.39,1.34,1.34,400,1.34
2014-10-24,1.38,1.38,1.34,1.34,12900,1.34
2014-10-23,1.33,1.42,1.33,1.38,9000,1.38
2014-10-22,1.34,1.34,1.34,1.34,100,1.34
2014-10-21,1.33,1.35,1.31,1.35,2700,1.35
2014-10-20,1.35,1.36,1.30,1.30,10100,1.30
2014-10-17,1.41,1.41,1.31,1.37,11300,1.37
2014-10-16,1.30,1.41,1.25,1.31,56200,1.31
2014-10-15,1.25,1.30,1.25,1.28,11500,1.28
2014-10-14,1.30,1.33,1.25,1.25,57200,1.25
2014-10-13,1.47,1.47,1.30,1.30,66800,1.30
2014-10-10,1.45,1.47,1.45,1.47,4700,1.47
2014-10-09,1.48,1.49,1.45,1.47,6700,1.47
2014-10-08,1.53,1.54,1.43,1.46,30700,1.46
2014-10-07,1.48,1.56,1.43,1.53,18500,1.53
2014-10-06,1.52,1.52,1.45,1.45,22700,1.45
2014-10-03,1.60,1.60,1.48,1.52,19600,1.52
2014-10-02,1.51,1.52,1.43,1.50,22500,1.50
2014-10-01,1.48,1.56,1.43,1.53,70200,1.53
2014-09-30,1.47,1.59,1.43,1.46,34700,1.46
2014-09-29,1.45,1.53,1.44,1.47,37400,1.47
2014-09-26,1.56,1.70,1.46,1.50,149200,1.50
2014-09-25,1.43,1.66,1.40,1.58,183800,1.58
2014-09-24,1.62,1.62,1.46,1.46,108900,1.46
2014-09-23,1.78,1.84,1.55,1.56,86400,1.56
2014-09-22,1.62,1.68,1.60,1.68,96600,1.68
2014-09-19,1.63,1.69,1.61,1.61,31700,1.61
2014-09-18,1.71,1.81,1.57,1.61,111500,1.61
2014-09-17,1.93,1.93,1.69,1.69,482000,1.69
2014-09-16,1.60,1.95,1.54,1.88,512900,1.88
2014-09-15,1.64,1.64,1.50,1.62,42900,1.62
2014-09-12,1.60,1.60,1.51,1.51,33600,1.51
2014-09-11,1.56,1.68,1.50,1.52,71300,1.52
2014-09-10,1.70,1.78,1.53,1.63,332000,1.63
2014-09-09,1.49,1.80,1.49,1.59,708300,1.59
2014-09-08,1.40,1.49,1.40,1.46,12800,1.46
2014-09-05,1.37,1.40,1.34,1.37,41700,1.37
2014-09-04,1.40,1.40,1.31,1.35,26600,1.35
2014-09-03,1.41,1.41,1.38,1.38,23500,1.38
2014-09-02,1.48,1.48,1.40,1.41,22300,1.41
2014-08-29,1.46,1.49,1.42,1.49,10700,1.49
2014-08-28,1.49,1.49,1.40,1.41,17900,1.41
2014-08-27,1.37,1.53,1.32,1.40,80800,1.40
2014-08-26,1.48,1.49,1.42,1.42,39300,1.42
2014-08-25,1.60,1.69,1.41,1.42,279700,1.42
2014-08-22,1.34,1.60,1.34,1.53,436700,1.53
2014-08-21,1.35,1.40,1.33,1.37,19000,1.37
2014-08-20,1.27,1.59,1.25,1.34,261800,1.34
2014-08-19,1.30,1.30,1.28,1.28,26900,1.28
2014-08-18,1.25,1.30,1.24,1.28,15800,1.28
2014-08-15,1.30,1.30,1.25,1.29,17000,1.29
2014-08-14,1.29,1.30,1.26,1.29,4800,1.29
2014-08-13,1.28,1.28,1.24,1.26,3600,1.26
2014-08-12,1.28,1.31,1.24,1.24,10000,1.24
2014-08-11,1.29,1.29,1.28,1.28,2400,1.28
2014-08-08,1.27,1.29,1.27,1.29,10600,1.29
2014-08-07,1.27,1.30,1.23,1.28,4000,1.28
2014-08-06,1.27,1.30,1.24,1.28,5300,1.28
2014-08-05,1.24,1.32,1.23,1.27,20100,1.27
2014-08-04,1.25,1.29,1.25,1.28,8400,1.28
2014-08-01,1.28,1.28,1.28,1.28,1300,1.28
2014-07-31,1.28,1.32,1.26,1.28,11400,1.28
2014-07-30,1.27,1.30,1.27,1.27,2900,1.27
2014-07-29,1.24,1.31,1.20,1.23,50800,1.23
2014-07-28,1.26,1.26,1.22,1.24,10100,1.24
2014-07-25,1.25,1.25,1.20,1.20,7200,1.20
2014-07-24,1.25,1.27,1.20,1.20,5400,1.20
2014-07-23,1.21,1.38,1.20,1.26,39300,1.26
2014-07-22,1.23,1.27,1.23,1.26,13300,1.26
