Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.45,7.59,7.40,7.53,1385900,7.53
2014-12-30,7.41,7.49,7.35,7.44,1098200,7.44
2014-12-29,7.55,7.60,7.41,7.45,865100,7.45
2014-12-26,7.60,7.72,7.59,7.61,445800,7.61
2014-12-24,7.59,7.61,7.54,7.60,260800,7.60
2014-12-23,7.50,7.65,7.45,7.59,703900,7.59
2014-12-22,7.52,7.59,7.42,7.45,650400,7.45
2014-12-19,7.62,7.70,7.49,7.52,979800,7.52
2014-12-18,7.57,7.73,7.45,7.53,679900,7.53
2014-12-17,7.46,7.62,7.41,7.56,508500,7.56
2014-12-16,7.56,7.56,7.26,7.46,987300,7.46
2014-12-15,7.73,7.75,7.55,7.63,819100,7.63
2014-12-12,8.19,8.23,8.01,8.05,555200,7.76
2014-12-11,8.48,8.53,8.23,8.25,505800,7.95
2014-12-10,8.55,8.60,8.40,8.47,525700,8.16
2014-12-09,8.24,8.59,8.20,8.58,549300,8.27
2014-12-08,8.65,8.74,8.20,8.31,771400,8.01
2014-12-05,8.69,8.76,8.65,8.68,372400,8.37
2014-12-04,8.70,8.76,8.61,8.69,358600,8.38
2014-12-03,8.64,8.74,8.60,8.71,418600,8.40
2014-12-02,8.59,8.69,8.58,8.62,266300,8.31
2014-12-01,8.68,8.69,8.51,8.55,470500,8.24
2014-11-28,8.70,8.70,8.65,8.69,111500,8.38
2014-11-26,8.74,8.74,8.63,8.69,227600,8.38
2014-11-25,8.67,8.74,8.66,8.72,226700,8.41
2014-11-24,8.67,8.71,8.62,8.67,299100,8.36
2014-11-21,8.76,8.78,8.66,8.68,278300,8.37
2014-11-20,8.68,8.70,8.66,8.69,367200,8.38
2014-11-19,8.66,8.72,8.60,8.68,261000,8.37
2014-11-18,8.58,8.74,8.58,8.63,362100,8.32
2014-11-17,8.59,8.68,8.59,8.62,446000,8.31
2014-11-14,8.72,8.74,8.60,8.63,306700,8.32
2014-11-13,8.68,8.73,8.62,8.71,391800,8.40
2014-11-12,8.58,8.74,8.56,8.66,247200,8.35
2014-11-11,8.68,8.71,8.58,8.59,283600,8.28
2014-11-10,8.66,8.74,8.63,8.68,345200,8.37
2014-11-07,8.47,8.70,8.47,8.63,356100,8.32
2014-11-06,8.51,8.57,8.46,8.50,347900,8.19
2014-11-05,8.60,8.60,8.40,8.51,548200,8.20
2014-11-04,8.66,8.71,8.56,8.61,341100,8.30
2014-11-03,8.77,8.83,8.65,8.72,364900,8.41
2014-10-31,8.79,8.79,8.72,8.77,264300,8.45
2014-10-30,8.68,8.73,8.64,8.72,269100,8.41
2014-10-29,8.62,8.76,8.62,8.67,355000,8.36
2014-10-28,8.56,8.64,8.55,8.61,237200,8.30
