Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,0.48,0.48,0.40,0.43,98900,0.43
2014-12-30,0.43,0.43,0.43,0.43,7100,0.43
2014-12-29,0.44,0.45,0.41,0.44,95300,0.44
2014-12-26,0.45,0.47,0.42,0.44,48000,0.44
2014-12-24,0.46,0.46,0.39,0.45,32100,0.45
2014-12-23,0.50,0.50,0.46,0.46,27600,0.46
2014-12-22,0.54,0.54,0.41,0.50,52600,0.50
2014-12-19,0.57,0.58,0.45,0.46,184400,0.46
2014-12-18,0.42,0.50,0.41,0.50,47100,0.50
2014-12-17,0.50,0.50,0.41,0.49,16400,0.49
2014-12-16,0.55,0.55,0.46,0.50,125300,0.50
2014-12-15,0.60,0.60,0.48,0.60,34600,0.60
2014-12-12,0.52,0.60,0.47,0.60,30500,0.60
2014-12-11,0.50,0.55,0.50,0.52,70400,0.52
2014-12-10,0.52,0.55,0.50,0.50,39200,0.50
2014-12-09,0.62,0.62,0.52,0.55,75800,0.55
2014-12-08,0.66,0.66,0.49,0.49,18200,0.49
2014-12-05,0.65,0.65,0.57,0.57,26200,0.57
2014-12-04,0.69,0.69,0.50,0.53,33800,0.53
2014-12-03,0.90,0.90,0.53,0.56,111400,0.56
2014-12-02,0.70,0.70,0.62,0.63,11800,0.63
2014-12-01,0.85,0.89,0.63,0.65,42100,0.65
2014-11-28,0.74,0.89,0.74,0.81,24300,0.81
2014-11-26,0.67,0.72,0.63,0.72,25600,0.72
2014-11-25,0.78,0.78,0.46,0.69,178900,0.69
2014-11-24,0.90,0.91,0.82,0.87,42600,0.87
2014-11-21,0.87,0.91,0.82,0.90,43300,0.90
2014-11-20,0.75,0.82,0.73,0.82,32300,0.82
2014-11-19,0.65,0.82,0.63,0.75,75800,0.75
2014-11-18,0.51,0.67,0.51,0.63,124600,0.63
2014-11-17,0.38,0.49,0.38,0.49,62400,0.49
2014-11-14,0.38,0.42,0.37,0.42,2200,0.42
2014-11-13,0.40,0.40,0.37,0.37,5800,0.37
2014-11-12,0.40,0.42,0.40,0.42,6200,0.42
2014-11-11,0.40,0.40,0.32,0.38,64400,0.38
2014-11-10,0.41,0.41,0.41,0.41,1700,0.41
2014-11-07,0.41,0.46,0.41,0.46,36400,0.46
2014-11-06,0.41,0.42,0.41,0.41,8700,0.41
2014-11-05,0.40,0.44,0.40,0.41,2000,0.41
2014-11-04,0.38,0.46,0.38,0.41,84100,0.41
2014-11-03,0.52,0.52,0.34,0.40,79100,0.40
2014-10-31,0.49,0.53,0.49,0.50,43300,0.50
2014-10-30,0.55,0.55,0.55,0.55,000,0.55
2014-10-29,0.55,0.55,0.55,0.55,2100,0.55
2014-10-28,0.53,0.53,0.52,0.52,5200,0.52
2014-10-27,0.53,0.55,0.53,0.55,600,0.55
2014-10-24,0.55,0.56,0.50,0.56,45300,0.56
2014-10-23,0.58,0.59,0.55,0.57,47200,0.57
2014-10-22,0.61,0.61,0.59,0.59,700,0.59
2014-10-21,0.64,0.65,0.55,0.61,22000,0.61
2014-10-20,0.62,0.65,0.62,0.63,3900,0.63
2014-10-17,0.57,0.64,0.55,0.63,20500,0.63
2014-10-16,0.55,0.58,0.54,0.55,10500,0.55
2014-10-15,0.55,0.61,0.47,0.52,40900,0.52
2014-10-14,0.54,0.79,0.45,0.49,110700,0.49
2014-10-13,0.81,0.81,0.42,0.52,163300,0.52
2014-10-10,0.82,0.82,0.80,0.80,1900,0.80
2014-10-09,0.87,0.89,0.78,0.85,17800,0.85
2014-10-08,0.87,0.89,0.82,0.86,14100,0.86
2014-10-07,0.90,0.93,0.87,0.87,10500,0.87
