Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,101.01,102.25,97.01,97.45,2434200,97.45
2014-12-30,101.71,102.44,100.14,100.60,2580400,100.60
2014-12-29,102.42,103.28,102.20,102.72,1288500,102.72
2014-12-26,101.40,103.32,101.39,102.70,1790900,102.70
2014-12-24,100.77,101.71,100.48,100.66,916200,100.66
2014-12-23,102.54,102.55,99.96,100.45,2412500,100.45
2014-12-22,100.19,101.50,100.01,101.42,2294500,101.42
2014-12-19,99.70,101.88,99.00,100.51,3225600,100.49
2014-12-18,96.68,99.40,95.90,99.40,3890500,99.38
2014-12-17,88.06,93.44,87.75,92.61,3802700,92.59
2014-12-16,90.64,94.69,87.85,87.89,4434500,87.88
2014-12-15,96.76,97.82,91.53,92.48,4915600,92.46
2014-12-12,95.71,99.06,95.31,95.34,3194100,95.32
2014-12-11,98.00,102.00,97.93,98.60,2834000,98.58
2014-12-10,101.42,102.16,96.63,97.08,2802700,97.06
2014-12-09,97.45,102.17,96.42,102.02,3553700,102.00
2014-12-08,102.42,103.79,99.42,101.04,3526700,101.02
2014-12-05,103.81,104.21,102.59,103.27,2367300,103.25
2014-12-04,103.05,104.44,101.95,103.20,3202500,103.18
2014-12-03,103.31,103.79,101.47,103.51,2746500,103.49
2014-12-02,101.99,103.35,101.27,102.58,2691800,102.56
2014-12-01,104.41,104.92,100.44,101.49,3249700,101.47
2014-11-28,104.67,105.92,104.41,105.38,1511900,105.36
2014-11-26,102.08,103.94,101.75,103.83,2196000,103.81
2014-11-25,101.78,102.69,101.01,101.75,3157000,101.73
2014-11-24,99.84,101.46,99.56,101.42,2625400,101.40
2014-11-21,101.08,101.32,98.08,99.18,3186000,99.16
2014-11-20,95.89,98.67,95.65,98.47,2069400,98.45
2014-11-19,98.15,98.15,95.80,97.18,3098200,97.16
2014-11-18,96.57,98.85,96.56,98.43,2328900,98.41
2014-11-17,96.49,97.16,94.95,96.27,2944800,96.25
2014-11-14,96.24,97.18,95.28,97.18,2389400,97.16
2014-11-13,95.59,97.37,94.98,96.29,3794500,96.27
2014-11-12,93.44,95.37,93.44,95.07,2003900,95.05
2014-11-11,93.80,94.56,93.02,94.55,2198900,94.53
2014-11-10,92.84,94.08,92.12,93.66,2153600,93.64
2014-11-07,93.50,93.60,91.32,92.71,2308600,92.69
2014-11-06,92.01,93.06,90.93,92.94,2026500,92.92
2014-11-05,93.86,93.96,91.18,92.15,2890500,92.13
2014-11-04,92.11,92.84,90.22,92.16,2888500,92.14
2014-11-03,92.67,93.79,92.32,93.15,2936700,93.13
2014-10-31,93.01,93.14,91.33,92.20,3674400,92.18
2014-10-30,86.83,89.17,86.25,88.55,3371800,88.54
2014-10-29,88.15,88.83,86.15,88.00,3737600,87.99
2014-10-28,86.30,89.07,86.16,89.07,3316600,89.05
2014-10-27,84.49,85.62,83.44,85.26,2880100,85.25
2014-10-24,83.38,85.14,82.50,84.94,3553400,84.93
2014-10-23,81.80,84.29,81.37,83.03,3539300,83.02
2014-10-22,81.41,81.71,79.24,79.40,3915000,79.39
2014-10-21,77.49,80.65,77.00,80.65,4410400,80.64
2014-10-20,71.45,74.93,71.12,74.80,3218000,74.79
2014-10-17,71.59,73.53,70.37,71.71,5507300,71.70
2014-10-16,65.72,70.63,65.65,69.01,6999200,69.00
2014-10-15,68.30,71.05,65.25,70.10,10106200,70.09
2014-10-14,72.97,74.29,70.94,71.63,7725200,71.62
2014-10-13,74.70,76.38,71.36,71.50,5693800,71.49
2014-10-10,79.66,81.09,75.01,75.01,6175600,75.00
2014-10-09,85.00,85.60,80.74,81.08,4646300,81.07
2014-10-08,80.83,86.07,79.32,85.33,4440200,85.32
2014-10-07,83.01,83.73,80.60,80.67,3409400,80.66
2014-10-06,85.46,86.16,83.45,84.23,3068900,84.22
2014-10-03,83.76,85.78,82.92,84.81,3201600,84.80
2014-10-02,82.28,83.09,79.20,82.33,4541100,82.32
2014-10-01,85.83,86.00,81.56,82.37,4447500,82.36
2014-09-30,86.90,87.84,85.30,86.51,3210300,86.50
2014-09-29,83.88,86.83,83.74,86.19,2386200,86.18
2014-09-26,84.66,86.90,84.23,86.48,3088600,86.47
2014-09-25,88.55,88.91,83.72,83.80,4433300,83.79
2014-09-24,86.87,89.55,86.07,89.48,2428800,89.46
2014-09-23,86.34,87.86,86.12,86.67,2100000,86.66
2014-09-22,89.26,89.26,86.26,87.43,2253700,87.42
