Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,9.07,9.10,8.65,9.00,179700,9.00
2014-12-30,8.16,8.59,7.95,8.51,177800,8.51
2014-12-29,7.88,8.50,7.20,7.99,333100,7.99
2014-12-26,7.50,8.25,7.50,7.70,11200,7.70
2014-12-24,7.30,7.40,7.15,7.40,1800,7.40
2014-12-23,7.30,7.50,7.21,7.40,13000,7.40
2014-12-22,7.50,7.50,7.01,7.17,7500,7.17
2014-12-19,7.80,8.00,7.08,7.34,10000,7.34
2014-12-18,6.72,7.09,6.72,7.05,28900,7.05
2014-12-17,6.35,6.90,6.02,6.50,11500,6.50
2014-12-16,6.29,6.87,6.29,6.86,13900,6.86
2014-12-15,6.53,6.90,6.34,6.80,16600,6.80
2014-12-12,6.89,7.28,6.54,6.59,9800,6.59
2014-12-11,6.90,7.32,6.85,6.85,9800,6.85
2014-12-10,7.33,7.34,6.91,7.20,7500,7.20
2014-12-09,7.52,7.52,6.58,7.36,19900,7.36
2014-12-08,7.83,7.84,7.24,7.24,8000,7.24
2014-12-05,7.85,7.90,7.70,7.90,5000,7.90
2014-12-04,7.96,8.05,7.90,7.90,6700,7.90
2014-12-03,8.24,8.35,8.03,8.03,8700,8.03
2014-12-02,8.10,8.10,7.95,8.06,9500,8.06
2014-12-01,8.16,8.19,8.16,8.19,3700,8.19
2014-11-28,8.25,8.25,8.14,8.15,4900,8.15
2014-11-26,8.52,8.63,8.52,8.57,4300,8.57
2014-11-25,8.68,8.78,8.52,8.52,15800,8.52
2014-11-24,8.75,8.75,8.35,8.35,14300,8.35
2014-11-21,8.35,8.94,8.15,8.69,43300,8.69
2014-11-20,8.34,8.34,8.34,8.34,000,8.34
2014-11-19,0.27,0.28,0.26,0.28,7200,8.34
2014-11-18,0.26,0.29,0.26,0.29,1100,8.67
2014-11-17,0.28,0.29,0.28,0.29,1500,8.67
2014-11-14,0.28,0.30,0.27,0.28,5500,8.55
2014-11-13,0.28,0.30,0.25,0.27,22400,8.25
2014-11-12,0.29,0.29,0.26,0.29,2600,8.64
2014-11-11,0.27,0.29,0.27,0.29,4800,8.64
2014-11-10,0.30,0.30,0.27,0.29,10400,8.61
2014-11-07,0.26,0.30,0.25,0.30,21000,8.88
2014-11-06,0.28,0.28,0.24,0.26,7300,7.95
2014-11-05,0.26,0.26,0.26,0.26,8000,7.95
2014-11-04,0.26,0.27,0.25,0.26,1500,7.83
2014-11-03,0.25,0.26,0.25,0.26,1900,7.80
2014-10-31,0.25,0.25,0.23,0.23,4000,6.90
2014-10-30,0.25,0.25,0.23,0.25,5000,7.50
2014-10-29,0.23,0.25,0.23,0.25,6000,7.44
2014-10-28,0.22,0.23,0.22,0.23,2200,7.05
2014-10-27,0.22,0.23,0.20,0.23,1900,6.84
2014-10-24,0.22,0.24,0.22,0.23,900,6.96
2014-10-23,0.23,0.24,0.22,0.23,1700,7.02
