Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,24.84,24.93,24.51,24.54,260600,24.54
2014-12-30,24.81,25.13,24.65,24.81,249400,24.81
2014-12-29,24.64,24.98,24.64,24.93,279600,24.93
2014-12-26,24.67,24.73,24.54,24.62,146100,24.62
2014-12-24,24.66,24.68,24.27,24.54,130700,24.54
2014-12-23,24.68,24.83,24.50,24.70,211500,24.70
2014-12-22,24.53,24.65,24.25,24.51,340300,24.51
2014-12-19,24.17,24.87,23.92,24.62,2386800,24.62
2014-12-18,24.10,24.27,23.86,24.20,262800,24.20
2014-12-17,23.20,23.84,23.05,23.82,344700,23.82
2014-12-16,23.00,23.44,22.92,23.20,430800,23.20
2014-12-15,23.55,23.55,22.94,23.02,350900,23.02
2014-12-12,23.27,23.62,23.14,23.37,306800,23.37
2014-12-11,23.47,23.77,23.35,23.58,273400,23.58
2014-12-10,24.05,24.15,23.37,23.39,339500,23.39
2014-12-09,23.52,24.19,23.42,24.16,306400,24.16
2014-12-08,23.78,24.20,23.58,23.77,364300,23.77
2014-12-05,23.53,24.17,23.53,23.85,295500,23.85
2014-12-04,23.57,23.68,23.39,23.56,236100,23.56
2014-12-03,23.38,23.82,23.20,23.64,356000,23.64
2014-12-02,23.15,23.66,23.15,23.39,238400,23.39
2014-12-01,23.37,23.40,22.92,23.11,584500,23.11
2014-11-28,24.05,24.05,23.30,23.34,203000,23.34
2014-11-26,24.02,24.14,23.77,24.00,233100,24.00
2014-11-25,24.42,24.42,24.12,24.26,181800,24.03
2014-11-24,24.07,24.31,23.98,24.30,232400,24.07
2014-11-21,24.51,24.77,23.92,23.94,337000,23.71
2014-11-20,23.90,24.26,23.81,24.26,184300,24.03
2014-11-19,24.27,24.27,23.74,24.06,262500,23.83
2014-11-18,24.27,24.42,24.10,24.26,259600,24.03
2014-11-17,24.27,24.30,24.10,24.20,267800,23.97
2014-11-14,24.66,24.75,24.27,24.35,239700,24.12
2014-11-13,24.94,24.94,24.53,24.57,227200,24.34
2014-11-12,24.50,24.87,24.50,24.86,393500,24.62
2014-11-11,24.68,24.74,24.56,24.61,253700,24.38
2014-11-10,24.54,24.72,24.49,24.72,252400,24.49
2014-11-07,24.57,24.65,24.35,24.54,205900,24.31
2014-11-06,24.43,24.59,24.31,24.55,262100,24.32
2014-11-05,24.49,24.49,24.11,24.33,271500,24.10
2014-11-04,24.24,24.39,24.00,24.30,356600,24.07
2014-11-03,24.39,24.57,24.18,24.36,388400,24.13
2014-10-31,24.46,24.55,24.10,24.33,656300,24.10
2014-10-30,23.92,24.30,23.50,24.00,656400,23.77
2014-10-29,24.50,24.50,23.39,24.30,868000,24.07
2014-10-28,23.75,24.49,23.75,24.44,416300,24.21
2014-10-27,23.40,23.73,23.31,23.71,323100,23.49
2014-10-24,23.46,23.65,23.36,23.51,175400,23.29
2014-10-23,23.51,23.77,23.37,23.47,367700,23.25
2014-10-22,23.79,23.80,23.31,23.34,371300,23.12
