Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,2.25,2.25,2.17,2.17,600,2.17
2014-12-30,2.30,2.30,2.30,2.30,1200,2.30
2014-12-29,2.35,2.35,2.35,2.35,5500,2.35
2014-12-26,2.35,2.35,2.35,2.35,2000,2.35
2014-12-24,1.61,1.61,1.61,1.61,000,1.61
2014-12-23,2.35,2.35,2.35,2.35,000,2.35
2014-12-22,2.55,2.55,2.35,2.35,2000,2.35
2014-12-19,2.48,2.51,2.35,2.45,3700,2.45
2014-12-18,2.75,2.75,2.40,2.45,2200,2.45
2014-12-17,3.00,3.00,3.00,3.00,000,3.00
2014-12-16,2.77,3.00,2.77,3.00,2000,3.00
2014-12-15,3.00,3.00,3.00,3.00,000,3.00
2014-12-12,3.00,3.00,3.00,3.00,100,3.00
2014-12-11,3.00,3.00,3.00,3.00,000,3.00
2014-12-10,2.95,3.00,2.95,3.00,1100,3.00
2014-12-09,3.24,3.24,3.24,3.24,000,3.24
2014-12-08,3.24,3.24,3.24,3.24,000,3.24
2014-12-05,3.18,3.24,3.18,3.24,300,3.24
2014-12-04,3.19,3.19,3.19,3.19,000,3.19
2014-12-03,3.19,3.19,3.19,3.19,000,3.19
2014-12-02,3.19,3.19,3.19,3.19,000,3.19
2014-12-01,3.19,3.19,3.19,3.19,000,3.19
2014-11-28,3.00,3.19,3.00,3.19,700,3.19
2014-11-26,3.01,3.01,3.00,3.00,600,3.00
2014-11-25,3.31,3.31,3.31,3.31,000,3.31
2014-11-24,3.31,3.31,3.31,3.31,000,3.31
2014-11-21,3.31,3.31,3.31,3.31,000,3.31
2014-11-20,3.35,3.35,2.70,3.31,300,3.31
2014-11-19,2.50,3.21,2.50,3.21,900,3.21
2014-11-18,3.05,3.05,3.05,3.05,000,3.05
2014-11-17,3.05,3.05,3.05,3.05,100,3.05
2014-11-14,3.01,3.40,2.75,2.75,5500,2.75
2014-11-13,3.40,3.40,3.40,3.40,000,3.40
2014-11-12,3.40,3.40,3.40,3.40,000,3.40
2014-11-11,3.40,3.40,3.40,3.40,000,3.40
2014-11-10,3.40,3.40,3.40,3.40,000,3.40
2014-11-07,3.40,3.40,3.40,3.40,000,3.40
2014-11-06,3.40,3.40,3.40,3.40,000,3.40
2014-11-05,3.40,3.40,3.40,3.40,000,3.40
2014-11-04,3.40,3.40,3.40,3.40,000,3.40
2014-11-03,3.40,3.40,3.40,3.40,000,3.40
2014-10-31,3.40,3.40,3.40,3.40,000,3.40
2014-10-30,3.35,3.40,3.35,3.40,1000,3.40
2014-10-29,3.40,3.40,3.40,3.40,100,3.40
2014-10-28,3.35,3.35,3.35,3.35,000,3.35
2014-10-27,3.35,3.35,3.35,3.35,000,3.35
2014-10-24,3.35,3.35,3.35,3.35,000,3.35
2014-10-23,3.35,3.35,3.35,3.35,100,3.35
2014-10-22,3.26,3.26,3.26,3.26,100,3.26
2014-10-21,3.35,3.35,3.35,3.35,000,3.35
2014-10-20,3.35,3.35,3.35,3.35,000,3.35
2014-10-17,3.35,3.35,3.35,3.35,000,3.35
2014-10-16,3.35,3.35,3.35,3.35,000,3.35
2014-10-15,3.35,3.35,3.35,3.35,000,3.35
2014-10-14,3.35,3.35,3.35,3.35,000,3.35
2014-10-13,3.36,3.36,3.35,3.35,200,3.35
2014-10-10,3.40,3.40,3.40,3.40,000,3.40
2014-10-09,2.91,3.40,2.91,3.40,1300,3.40
2014-10-08,3.40,3.40,3.40,3.40,000,3.40
2014-10-07,3.40,3.40,3.40,3.40,000,3.40
2014-10-06,3.40,3.40,3.40,3.40,000,3.40
2014-10-03,2.99,3.40,2.99,3.40,2500,3.40
2014-10-02,3.35,3.35,3.35,3.35,000,3.35
2014-10-01,3.06,3.35,2.42,3.35,5300,3.35
2014-09-30,3.40,3.40,3.05,3.38,300,3.38
2014-09-29,3.05,3.05,3.05,3.05,000,3.05
2014-09-26,3.05,3.05,3.05,3.05,200,3.05
2014-09-25,3.50,3.50,3.50,3.50,000,3.50
2014-09-24,3.50,3.50,3.50,3.50,000,3.50
2014-09-23,3.09,3.50,3.09,3.50,2000,3.50
2014-09-22,3.27,3.50,3.09,3.50,2400,3.50
2014-09-19,3.75,3.75,3.75,3.75,000,3.75
2014-09-18,3.75,3.75,3.75,3.75,000,3.75
2014-09-17,3.75,3.75,3.75,3.75,000,3.75
2014-09-16,3.75,3.75,3.75,3.75,000,3.75
2014-09-15,3.75,3.75,3.75,3.75,000,3.75
2014-09-12,3.75,3.75,3.75,3.75,000,3.75
2014-09-11,3.36,3.75,3.12,3.75,2900,3.75
2014-09-10,3.81,3.84,3.32,3.78,2200,3.78
2014-09-09,3.55,3.85,3.50,3.85,5000,3.85
2014-09-08,3.96,3.96,3.96,3.96,000,3.96
2014-09-05,3.12,3.96,3.12,3.96,2500,3.96
2014-09-04,3.10,3.70,3.10,3.70,2100,3.70
2014-09-03,3.37,3.54,3.35,3.54,3000,3.54
2014-09-02,2.99,3.76,2.91,3.76,5600,3.76
2014-08-29,3.70,3.90,3.34,3.53,7100,3.53
2014-08-28,2.90,3.56,2.90,3.54,6600,3.54
2014-08-27,2.40,2.89,2.37,2.89,3000,2.89
2014-08-26,2.73,2.73,2.40,2.55,6700,2.55
2014-08-25,2.25,2.69,2.25,2.69,900,2.69
2014-08-22,2.75,2.75,2.75,2.75,000,2.75
2014-08-21,2.75,2.75,2.75,2.75,000,2.75
2014-08-20,2.75,2.75,2.75,2.75,000,2.75
2014-08-19,2.22,2.75,2.22,2.75,3100,2.75
2014-08-18,2.37,2.93,2.37,2.79,12800,2.79
2014-08-15,2.02,2.30,2.02,2.20,3700,2.20
2014-08-14,1.96,2.04,1.96,2.02,1300,2.02
2014-08-13,1.96,2.47,1.90,2.28,4200,2.28
2014-08-12,1.96,2.39,1.96,2.39,5800,2.39
2014-08-11,1.86,2.33,1.86,2.33,3200,2.33
2014-08-08,2.47,2.47,2.47,2.47,000,2.47
2014-08-07,2.47,2.47,2.47,2.47,000,2.47
2014-08-06,2.10,2.47,2.10,2.47,1300,2.47
2014-08-05,2.03,2.49,2.01,2.48,3100,2.48
2014-08-04,2.04,2.49,2.02,2.49,1700,2.49
2014-08-01,2.50,2.50,2.40,2.40,600,2.40
2014-07-31,2.50,2.50,2.40,2.50,3900,2.50
2014-07-30,1.97,2.45,1.81,2.00,2200,2.00
2014-07-29,2.60,2.60,2.60,2.60,000,2.60
2014-07-28,2.60,2.60,2.60,2.60,000,2.60
2014-07-25,2.60,2.60,2.60,2.60,000,2.60
2014-07-24,2.60,2.60,2.60,2.60,000,2.60
2014-07-23,2.60,2.60,2.60,2.60,000,2.60
2014-07-22,2.60,2.60,2.60,2.60,000,2.60
2014-07-21,2.30,2.60,2.25,2.60,700,2.60
2014-07-18,2.64,2.64,2.64,2.64,000,2.64
2014-07-17,2.64,2.64,2.64,2.64,000,2.64
2014-07-16,2.64,2.64,2.64,2.64,000,2.64
2014-07-15,2.64,2.64,2.64,2.64,000,2.64
2014-07-14,2.54,2.64,2.48,2.64,700,2.64
2014-07-11,2.70,2.70,2.70,2.70,000,2.70
2014-07-10,2.68,2.70,2.25,2.70,1800,2.70
2014-07-09,2.27,2.62,2.25,2.61,1000,2.61
2014-07-08,2.75,2.75,2.75,2.75,000,2.75
2014-07-07,2.75,2.75,2.75,2.75,100,2.75
2014-07-03,2.70,2.70,2.70,2.70,100,2.70
2014-07-02,2.71,2.71,2.71,2.71,000,2.71
2014-07-01,2.71,2.71,2.71,2.71,000,2.71
2014-06-30,2.71,2.71,2.71,2.71,000,2.71
2014-06-27,2.71,2.71,2.71,2.71,000,2.71
2014-06-26,2.35,2.71,2.35,2.71,300,2.71
2014-06-25,2.67,2.67,2.67,2.67,000,2.67
2014-06-24,2.67,2.67,2.67,2.67,000,2.67
2014-06-23,2.67,2.67,2.67,2.67,000,2.67
2014-06-20,2.67,2.67,2.67,2.67,000,2.67
2014-06-19,2.67,2.67,2.67,2.67,000,2.67
2014-06-18,2.63,2.67,2.63,2.67,800,2.67
2014-06-17,2.31,2.56,2.30,2.56,1000,2.56
2014-06-16,2.49,2.49,2.49,2.49,200,2.49
2014-06-13,2.53,2.53,2.35,2.40,1800,2.40
2014-06-12,2.53,2.53,2.53,2.53,000,2.53
2014-06-11,2.53,2.53,2.53,2.53,000,2.53
2014-06-10,2.53,2.53,2.53,2.53,000,2.53
2014-06-09,2.53,2.53,2.53,2.53,100,2.53
2014-06-06,2.42,2.57,2.35,2.45,4200,2.45
2014-06-05,2.40,2.80,2.40,2.80,3600,2.80
2014-06-04,2.95,2.95,2.95,2.95,000,2.95
2014-06-03,2.95,2.95,2.95,2.95,000,2.95
2014-06-02,2.54,2.95,2.50,2.95,1400,2.95
2014-05-30,2.79,2.79,2.79,2.79,400,2.79
2014-05-29,2.40,2.40,2.30,2.40,1700,2.40
2014-05-28,2.73,2.73,2.73,2.73,000,2.73
2014-05-27,3.00,3.00,2.18,2.73,3800,2.73
2014-05-23,2.95,2.95,1.60,2.80,4600,2.80
2014-05-22,2.95,2.95,2.95,2.95,000,2.95
2014-05-21,2.86,2.96,2.00,2.95,2400,2.95
2014-05-20,2.50,2.96,2.35,2.96,1700,2.96
2014-05-19,2.90,2.90,2.50,2.50,900,2.50
2014-05-16,2.80,2.80,2.06,2.06,1300,2.06
2014-05-15,2.85,2.85,2.85,2.85,100,2.85
2014-05-14,3.14,3.14,2.62,2.99,7200,2.99
2014-05-13,3.50,3.50,3.05,3.50,400,3.50
2014-05-12,3.50,3.75,3.00,3.50,8200,3.50
2014-05-09,4.00,4.00,4.00,4.00,100,4.00
2014-05-08,3.40,4.18,3.40,3.50,1300,3.50
2014-05-07,4.16,4.16,4.16,4.16,000,4.16
2014-05-06,4.16,4.16,4.16,4.16,000,4.16
2014-05-05,3.67,4.16,3.65,4.16,1000,4.16
2014-05-02,4.20,4.20,4.20,4.20,000,4.20
2014-05-01,4.20,4.20,4.20,4.20,000,4.20
2014-04-30,4.30,4.30,3.50,4.20,700,4.20
2014-04-29,4.19,4.19,4.19,4.19,000,4.19
