Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.49,10.57,10.21,10.24,58700,10.24
2014-12-30,10.48,10.52,10.44,10.48,1500,10.48
2014-12-29,10.67,10.68,10.43,10.50,66100,10.50
2014-12-26,10.80,10.80,10.57,10.67,54000,10.67
2014-12-24,10.77,10.88,10.65,10.74,19300,10.74
2014-12-23,10.73,10.92,10.55,10.80,119000,10.80
2014-12-22,10.69,10.76,10.58,10.75,29400,10.75
2014-12-19,10.65,10.80,10.50,10.69,191400,10.69
2014-12-18,10.72,10.75,10.40,10.71,35200,10.71
2014-12-17,10.34,10.68,10.23,10.66,58800,10.66
2014-12-16,10.12,10.40,10.04,10.34,61900,10.34
2014-12-15,10.21,10.24,10.06,10.14,36800,10.14
2014-12-12,10.21,10.39,10.18,10.20,29600,10.20
2014-12-11,10.31,10.44,10.31,10.32,32100,10.32
2014-12-10,10.64,10.64,10.23,10.23,35900,10.23
2014-12-09,10.25,10.66,10.12,10.64,59900,10.64
2014-12-08,10.46,10.50,10.28,10.33,46600,10.33
2014-12-05,10.21,10.59,10.21,10.46,34000,10.46
2014-12-04,10.26,10.28,10.15,10.21,57600,10.21
2014-12-03,10.28,10.32,10.22,10.27,41200,10.27
2014-12-02,10.15,10.36,10.09,10.28,42000,10.28
2014-12-01,10.05,10.30,10.00,10.16,283400,10.16
2014-11-28,10.23,10.26,10.09,10.10,50100,10.10
2014-11-26,10.07,10.26,10.04,10.26,49900,10.26
2014-11-25,10.08,10.10,9.98,10.10,131000,10.10
2014-11-24,10.00,10.32,9.94,10.09,286900,10.09
2014-11-21,10.07,10.07,9.92,9.95,71700,9.95
2014-11-20,9.74,10.05,9.70,10.02,204400,10.02
2014-11-19,9.86,9.86,9.65,9.76,66200,9.76
2014-11-18,9.86,9.89,9.80,9.83,43900,9.83
2014-11-17,9.81,9.91,9.71,9.82,106200,9.82
2014-11-14,9.73,9.80,9.70,9.79,218300,9.79
2014-11-13,9.70,9.74,9.65,9.69,72500,9.69
2014-11-12,9.67,9.77,9.67,9.74,56800,9.74
2014-11-11,9.70,9.71,9.67,9.70,48400,9.70
2014-11-10,9.58,9.70,9.58,9.70,63200,9.70
2014-11-07,9.72,9.72,9.54,9.60,57300,9.60
2014-11-06,9.70,9.71,9.59,9.70,36200,9.70
2014-11-05,9.75,9.75,9.62,9.68,48600,9.68
2014-11-04,9.66,9.75,9.61,9.71,41300,9.71
2014-11-03,9.65,9.77,9.58,9.72,49400,9.72
2014-10-31,9.80,9.80,9.70,9.75,52400,9.75
2014-10-30,9.75,9.77,9.56,9.68,72000,9.68
2014-10-29,9.73,9.80,9.63,9.76,104800,9.76
2014-10-28,9.77,9.88,9.65,9.69,191500,9.69
2014-10-27,9.62,9.74,9.55,9.69,32400,9.69
2014-10-24,9.92,9.92,9.63,9.64,68300,9.64
2014-10-23,9.67,10.25,9.67,9.86,259500,9.86
2014-10-22,9.49,9.59,9.01,9.52,107200,9.52
2014-10-21,9.50,9.57,9.36,9.50,66600,9.50
2014-10-20,9.41,9.51,9.31,9.49,59000,9.49
2014-10-17,9.55,9.56,9.32,9.42,63600,9.42
2014-10-16,9.26,9.63,9.26,9.41,52300,9.41
2014-10-15,9.30,9.41,9.13,9.36,114800,9.36
2014-10-14,9.45,9.59,9.40,9.41,74500,9.41
2014-10-13,9.07,9.43,9.07,9.37,52000,9.37
2014-10-10,9.17,9.26,9.01,9.09,81700,9.09
2014-10-09,9.40,9.41,9.19,9.21,68800,9.21
2014-10-08,9.04,9.45,9.03,9.43,158800,9.43
2014-10-07,9.04,9.15,9.00,9.08,153300,9.08
2014-10-06,9.24,9.30,8.99,9.11,102900,9.11
2014-10-03,9.30,9.46,9.25,9.26,52500,9.26
2014-10-02,9.12,9.25,9.10,9.22,68800,9.22
2014-10-01,9.09,9.24,9.00,9.15,128900,9.15
2014-09-30,9.27,9.37,9.01,9.07,125200,9.07
