Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,28.44,28.55,28.00,28.03,837300,28.03
2014-12-30,28.59,28.90,28.33,28.39,99400,28.39
2014-12-29,28.89,28.89,28.50,28.71,692600,28.71
2014-12-26,28.63,29.10,28.51,28.99,431300,28.99
2014-12-24,28.46,28.79,28.32,28.60,471400,28.60
2014-12-23,28.72,28.90,28.36,28.42,836000,28.42
2014-12-22,28.39,28.83,28.25,28.56,1012700,28.56
2014-12-19,28.55,28.79,28.09,28.13,3055200,28.13
2014-12-18,28.01,28.47,27.83,28.42,1163300,28.42
2014-12-17,27.16,27.71,26.87,27.59,2084600,27.59
2014-12-16,28.07,28.08,27.04,27.05,2133900,27.05
2014-12-15,28.20,28.54,27.57,28.12,1694900,28.12
2014-12-12,26.87,28.46,26.87,28.14,2552100,28.14
2014-12-11,26.73,27.40,26.33,27.07,842900,27.07
2014-12-10,26.99,27.25,26.40,26.55,1013800,26.55
2014-12-09,26.16,27.18,25.85,27.11,1298600,27.11
2014-12-08,27.75,27.75,26.10,26.56,2595400,26.56
2014-12-05,27.95,28.26,27.61,27.81,709300,27.81
2014-12-04,27.91,28.21,27.50,27.94,952900,27.94
2014-12-03,27.06,28.21,27.06,28.11,1186200,28.11
2014-12-02,26.96,27.50,26.70,27.04,1306600,27.04
2014-12-01,27.49,27.58,26.63,26.70,1278000,26.70
2014-11-28,28.14,28.14,27.25,27.66,1093900,27.66
2014-11-26,27.94,28.20,27.65,28.16,842600,28.16
2014-11-25,27.75,28.02,27.63,27.88,1564600,27.88
2014-11-24,27.02,27.79,26.93,27.71,1756800,27.71
2014-11-21,27.42,27.46,26.69,26.89,1181600,26.89
2014-11-20,26.70,27.10,26.56,26.94,918700,26.94
2014-11-19,27.06,27.14,26.41,26.84,1172700,26.84
2014-11-18,26.44,27.19,26.31,27.03,1491200,27.03
2014-11-17,26.32,26.82,26.25,26.42,1947000,26.42
2014-11-14,25.76,26.40,25.76,26.39,1364900,26.39
2014-11-13,26.29,26.34,25.56,25.75,1551500,25.75
2014-11-12,25.96,26.34,25.80,26.32,703400,26.32
2014-11-11,26.10,26.32,25.95,26.11,1077100,26.11
2014-11-10,26.19,26.40,25.94,26.10,1400400,26.10
2014-11-07,26.02,26.21,25.56,26.16,1551100,26.16
2014-11-06,25.96,26.40,25.86,26.12,1524600,26.12
2014-11-05,26.18,26.40,25.80,26.07,1525400,26.07
2014-11-04,25.81,26.25,25.74,25.92,2307200,25.92
2014-11-03,26.56,26.80,25.81,25.83,3328900,25.83
2014-10-31,25.52,26.70,25.51,26.45,4083000,26.45
2014-10-30,24.50,25.48,23.72,25.27,6249400,25.27
2014-10-29,23.17,23.36,22.70,22.80,1726800,22.80
2014-10-28,22.19,23.11,22.17,23.11,1850600,23.11
2014-10-27,22.37,22.47,21.98,22.11,956500,22.11
2014-10-24,22.56,22.72,22.25,22.42,1009200,22.42
2014-10-23,22.20,22.70,22.20,22.56,799900,22.56
2014-10-22,22.42,22.68,21.93,22.01,1278700,22.01
2014-10-21,21.89,22.37,21.80,22.33,1287200,22.33
2014-10-20,21.46,21.89,21.32,21.80,1229800,21.80
2014-10-17,21.86,22.21,21.33,21.52,1074400,21.52
2014-10-16,20.91,21.90,20.64,21.49,1218500,21.49
2014-10-15,20.51,21.33,20.13,21.19,1749200,21.19
2014-10-14,21.00,21.42,20.75,20.83,1766400,20.83
2014-10-13,21.65,21.82,20.69,20.72,1735800,20.72
2014-10-10,21.84,21.99,21.38,21.64,2408200,21.64
2014-10-09,22.41,22.57,21.98,21.99,1143800,21.99
2014-10-08,22.12,22.50,21.50,22.44,1911400,22.44
2014-10-07,22.81,22.87,22.02,22.10,2809300,22.10
2014-10-06,22.98,23.07,22.64,22.90,828800,22.90
2014-10-03,22.62,23.04,22.37,22.86,899600,22.86
2014-10-02,22.44,22.59,21.85,22.37,1293300,22.37
2014-10-01,22.99,23.05,21.85,22.40,1859200,22.40
2014-09-30,23.37,23.52,23.03,23.07,1320100,23.07
2014-09-29,23.15,23.54,23.14,23.34,1001500,23.34
2014-09-26,23.44,23.54,23.10,23.42,763200,23.42
2014-09-25,23.40,23.49,23.02,23.10,1024300,23.10
2014-09-24,23.23,23.62,22.85,23.48,1552100,23.48
2014-09-23,23.39,23.72,23.15,23.15,1415500,23.15
2014-09-22,23.39,23.75,23.39,23.58,1402500,23.58
2014-09-19,23.73,23.91,23.57,23.71,2978300,23.71
2014-09-18,23.04,23.56,22.91,23.52,936100,23.52
2014-09-17,23.06,23.42,22.83,22.99,1365800,22.99
2014-09-16,22.98,23.33,22.73,23.05,1106700,23.05
2014-09-15,23.54,23.71,23.00,23.13,1211800,23.13
2014-09-12,24.20,24.20,23.38,23.53,1220300,23.53
2014-09-11,23.48,24.28,23.39,24.19,1697600,24.19
2014-09-10,23.27,23.55,22.88,23.54,1163900,23.54
2014-09-09,23.28,23.48,23.13,23.22,1326500,23.22
2014-09-08,23.27,23.55,23.14,23.36,1632200,23.36
