Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.60,22.63,20.20,22.55,171500,22.55
2014-12-30,20.23,20.72,20.14,20.14,5900,20.14
2014-12-29,21.75,21.75,20.00,20.03,225000,20.03
2014-12-26,23.63,23.63,21.24,21.57,329600,21.57
2014-12-24,23.63,23.83,23.15,23.62,99800,23.62
2014-12-23,22.98,23.58,22.34,23.39,139400,23.39
2014-12-22,22.12,23.14,22.08,22.68,329100,22.68
2014-12-19,20.05,22.05,20.00,22.05,284200,22.05
2014-12-18,20.19,20.40,19.65,20.05,111500,20.05
2014-12-17,19.34,20.20,19.34,19.94,116500,19.94
2014-12-16,19.88,20.40,19.26,19.38,183700,19.38
2014-12-15,19.35,20.19,19.15,19.82,310600,19.82
2014-12-12,19.08,19.41,18.89,19.14,104900,19.14
2014-12-11,19.06,19.39,18.50,19.33,163800,19.33
2014-12-10,18.96,19.95,17.98,18.93,257700,18.93
2014-12-09,17.25,19.50,17.25,19.02,372000,19.02
2014-12-08,18.07,18.08,16.73,17.25,187400,17.25
2014-12-05,17.98,17.98,17.24,17.80,202800,17.80
2014-12-04,16.15,17.45,15.59,17.29,381300,17.29
2014-12-03,15.59,15.93,15.45,15.53,61000,15.53
2014-12-02,15.85,15.95,15.35,15.63,166100,15.63
2014-12-01,15.80,16.06,15.33,15.75,122700,15.75
2014-11-28,16.15,16.30,15.72,15.96,125900,15.96
2014-11-26,16.02,16.24,15.77,16.23,91200,16.23
2014-11-25,15.99,16.35,15.49,16.18,174700,16.18
2014-11-24,14.67,15.85,14.62,15.80,255700,15.80
2014-11-21,15.36,15.67,14.56,14.75,301000,14.75
2014-11-20,16.00,16.15,15.13,15.18,327400,15.18
2014-11-19,16.39,16.39,15.88,16.10,196400,16.10
2014-11-18,16.56,16.79,15.79,16.46,349400,16.46
2014-11-17,16.51,16.78,15.32,16.70,792000,16.70
2014-11-14,20.25,20.39,16.67,16.95,1603600,16.95
2014-11-13,17.52,18.25,17.35,18.01,781600,18.01
2014-11-12,17.01,17.39,16.95,17.04,292200,17.04
2014-11-11,16.63,17.10,16.39,16.97,239600,16.97
2014-11-10,16.15,17.05,15.65,16.71,341500,16.71
2014-11-07,15.10,16.20,14.81,16.03,267700,16.03
2014-11-06,14.89,15.31,14.50,15.21,164000,15.21
2014-11-05,15.34,15.39,14.82,14.93,132000,14.93
2014-11-04,15.39,15.57,14.64,15.24,144600,15.24
2014-11-03,15.50,16.40,15.11,15.43,222700,15.43
2014-10-31,15.82,15.98,15.08,15.54,156500,15.54
2014-10-30,14.90,15.95,14.61,15.35,388900,15.35
2014-10-29,14.92,15.50,14.38,14.94,233800,14.94
2014-10-28,15.58,16.13,14.75,14.92,260300,14.92
2014-10-27,15.94,16.29,15.10,15.16,205900,15.16
2014-10-24,16.85,17.33,15.32,15.90,589400,15.90
2014-10-23,14.00,16.75,13.94,16.73,985600,16.73
2014-10-22,13.73,14.41,13.48,13.79,340200,13.79
2014-10-21,13.01,13.75,12.62,13.75,448000,13.75
2014-10-20,12.03,13.22,11.66,12.99,428400,12.99
2014-10-17,11.70,12.10,11.25,11.48,123900,11.48
2014-10-16,10.90,11.54,10.90,11.53,138900,11.53
2014-10-15,11.10,11.16,10.90,11.07,133800,11.07
2014-10-14,11.49,11.50,11.12,11.15,110900,11.15
2014-10-13,11.12,11.37,10.90,11.31,143300,11.31
2014-10-10,11.74,11.89,10.91,11.13,138300,11.13
2014-10-09,12.38,12.43,11.75,11.85,180500,11.85
2014-10-08,11.74,12.43,11.26,12.41,337000,12.41
2014-10-07,10.93,11.89,10.93,11.83,301400,11.83
2014-10-06,10.78,11.32,10.70,11.10,110700,11.10
2014-10-03,11.02,11.27,10.60,10.78,150000,10.78
2014-10-02,11.02,11.34,10.53,10.95,149000,10.95
2014-10-01,11.59,11.60,11.02,11.07,338400,11.07
2014-09-30,12.20,12.50,11.46,11.50,413700,11.50
2014-09-29,11.33,12.16,11.30,12.11,253500,12.11
2014-09-26,11.44,11.94,11.28,11.63,228100,11.63
2014-09-25,11.97,12.25,11.10,11.26,400100,11.26
2014-09-24,11.96,12.16,11.86,12.11,108000,12.11
2014-09-23,12.12,12.32,11.85,12.08,80100,12.08
2014-09-22,12.55,12.55,11.71,12.04,204400,12.04
2014-09-19,12.53,12.74,12.20,12.42,355500,12.42
2014-09-18,12.02,12.50,11.91,12.37,117200,12.37
2014-09-17,12.20,12.77,11.92,12.09,199000,12.09
2014-09-16,11.64,12.35,11.40,12.33,234000,12.33
2014-09-15,13.03,13.03,11.04,11.62,533600,11.62
2014-09-12,12.73,13.05,12.01,12.82,321200,12.82
2014-09-11,12.13,12.20,11.54,12.19,298600,12.19
2014-09-10,12.75,12.75,12.12,12.21,174100,12.21
2014-09-09,12.67,12.85,12.16,12.68,416300,12.68
2014-09-08,11.90,12.75,11.75,12.37,444900,12.37
2014-09-05,11.76,12.49,11.38,12.05,732300,12.05
2014-09-04,13.48,13.48,11.38,11.94,748600,11.94
2014-09-03,13.15,14.24,12.70,13.18,759600,13.18
2014-09-02,14.00,14.00,12.90,13.25,753900,13.25
2014-08-29,13.10,14.70,13.10,13.89,3144900,13.89
2014-08-28,13.18,13.64,12.65,12.87,2319200,12.87
2014-08-27,12.19,14.12,12.02,13.82,8556000,13.82
2014-08-26,9.60,9.60,9.16,9.22,318200,9.22
2014-08-25,9.78,9.78,9.18,9.24,82200,9.24
2014-08-22,9.16,9.59,9.06,9.48,54500,9.48
2014-08-21,9.02,9.25,9.00,9.16,73000,9.16
2014-08-20,9.00,9.17,9.00,9.02,61200,9.02
2014-08-19,9.01,9.17,8.96,9.05,74900,9.05
2014-08-18,9.41,9.75,8.96,9.12,110200,9.12
2014-08-15,9.25,9.50,9.25,9.36,29600,9.36
2014-08-14,9.31,9.50,9.17,9.29,48200,9.29
2014-08-13,9.25,9.44,8.95,9.21,42100,9.21
2014-08-12,9.70,9.90,8.94,9.19,149900,9.19
2014-08-11,9.31,9.90,9.31,9.80,76300,9.80
2014-08-08,9.14,9.58,8.95,9.19,65500,9.19
2014-08-07,9.75,9.90,9.04,9.26,94600,9.26
2014-08-06,9.38,9.73,9.38,9.64,78900,9.64
2014-08-05,9.24,9.77,9.10,9.58,55300,9.58
2014-08-04,9.40,9.50,9.12,9.40,49500,9.40
2014-08-01,9.44,9.45,8.90,9.00,80400,9.00
