Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.71,12.78,12.40,12.62,131700,12.62
2014-12-30,13.10,13.10,12.70,12.72,1400,12.72
2014-12-29,13.21,13.28,13.00,13.08,99500,13.08
2014-12-26,13.13,13.30,13.08,13.24,42500,13.24
2014-12-24,12.84,13.19,12.84,12.97,35800,12.97
2014-12-23,12.99,13.30,12.86,12.87,41000,12.87
2014-12-22,13.51,13.64,12.89,12.96,78400,12.96
2014-12-19,13.11,13.68,13.07,13.51,271600,13.51
2014-12-18,13.20,13.31,13.05,13.06,72900,13.06
2014-12-17,12.93,13.09,12.74,13.06,73500,13.06
2014-12-16,12.81,13.08,12.72,12.88,84600,12.88
2014-12-15,13.17,13.18,12.75,12.79,53500,12.79
2014-12-12,13.22,13.22,12.90,13.19,43300,13.19
2014-12-11,13.02,13.48,12.90,13.08,62500,13.08
2014-12-10,13.61,13.96,12.78,12.85,130200,12.85
2014-12-09,12.80,13.64,12.80,13.63,115300,13.63
2014-12-08,12.91,13.36,12.82,13.01,121800,13.01
2014-12-05,12.62,12.92,12.61,12.82,45800,12.82
2014-12-04,12.66,12.66,12.56,12.61,70700,12.61
2014-12-03,12.73,12.87,12.57,12.59,41300,12.59
2014-12-02,12.73,12.89,12.55,12.66,54500,12.66
2014-12-01,13.16,13.25,12.59,12.62,91900,12.62
2014-11-28,12.59,13.44,12.58,13.13,140000,13.13
2014-11-26,12.61,12.68,12.49,12.62,32200,12.62
2014-11-25,12.70,12.77,12.56,12.60,89700,12.60
2014-11-24,12.60,12.72,12.52,12.72,46600,12.72
2014-11-21,12.61,12.75,12.43,12.58,55500,12.58
2014-11-20,12.47,12.68,12.37,12.50,44300,12.50
2014-11-19,12.82,12.82,12.42,12.47,58900,12.47
2014-11-18,12.74,13.00,12.54,12.78,71200,12.78
2014-11-17,12.86,12.86,12.56,12.72,56800,12.72
2014-11-14,12.52,12.85,12.45,12.81,45900,12.81
2014-11-13,12.51,12.77,12.37,12.51,50800,12.51
2014-11-12,12.71,12.72,12.42,12.49,42900,12.49
2014-11-11,12.71,12.78,12.43,12.73,74600,12.73
2014-11-10,12.50,12.72,12.38,12.55,45700,12.55
2014-11-07,12.48,12.56,12.26,12.44,63800,12.44
2014-11-06,12.38,12.56,12.27,12.46,52200,12.46
2014-11-05,12.58,12.69,12.30,12.44,67400,12.44
2014-11-04,12.63,12.84,12.15,12.51,126900,12.51
2014-11-03,13.09,13.45,12.74,12.76,82400,12.76
2014-10-31,12.80,13.28,12.76,13.09,111900,13.09
2014-10-30,12.57,12.78,12.55,12.58,52900,12.58
2014-10-29,12.93,13.02,12.54,12.59,60300,12.59
2014-10-28,12.52,13.14,12.36,13.06,69700,13.06
2014-10-27,12.26,12.54,12.08,12.52,60400,12.52
2014-10-24,12.25,12.31,12.09,12.19,98200,12.19
2014-10-23,12.24,12.52,12.15,12.25,52700,12.25
2014-10-22,12.21,12.52,12.11,12.17,115100,12.17
2014-10-21,12.72,12.79,12.07,12.21,190500,12.21
2014-10-20,13.22,13.23,12.66,12.74,118200,12.74
2014-10-17,13.40,13.43,13.10,13.22,124500,13.22
2014-10-16,13.08,13.68,12.24,13.33,261700,13.33
2014-10-15,14.82,15.29,14.35,14.86,167700,14.86
2014-10-14,14.78,14.93,14.62,14.85,89700,14.85
2014-10-13,14.36,14.94,14.36,14.58,64700,14.58
2014-10-10,14.66,14.82,14.37,14.40,49700,14.40
2014-10-09,15.52,15.52,14.73,14.75,51200,14.75
2014-10-08,15.42,15.50,15.25,15.49,53000,15.49
2014-10-07,15.65,15.92,15.38,15.44,37600,15.44
2014-10-06,16.00,16.09,15.43,15.80,59500,15.80
2014-10-03,15.98,16.26,15.81,15.86,36600,15.86
2014-10-02,15.21,15.93,15.21,15.80,62400,15.80
2014-10-01,15.50,15.60,15.04,15.27,71200,15.27
2014-09-30,15.67,15.76,15.50,15.50,68900,15.50
2014-09-29,15.74,15.84,15.58,15.75,38500,15.75
2014-09-26,15.74,15.92,15.73,15.88,16900,15.88
2014-09-25,15.93,15.93,15.56,15.73,42800,15.73
2014-09-24,15.93,16.07,15.83,15.99,13400,15.99
2014-09-23,16.05,16.17,15.86,15.92,88800,15.92
2014-09-22,15.94,16.06,15.80,15.99,45200,15.99
2014-09-19,16.39,16.43,15.85,15.95,187800,15.95
2014-09-18,16.08,16.30,16.00,16.29,34400,16.29
2014-09-17,16.36,16.44,15.80,16.03,80800,16.03
2014-09-16,16.30,16.65,16.30,16.35,40200,16.35
2014-09-15,16.78,16.83,16.36,16.41,61300,16.41
2014-09-12,16.97,16.98,16.78,16.80,50200,16.80
2014-09-11,16.83,17.00,16.83,16.92,50600,16.92
2014-09-10,16.90,17.30,16.89,17.10,78200,17.10
2014-09-09,17.20,17.33,16.84,16.88,47600,16.88
2014-09-08,17.22,17.28,16.90,17.21,46400,17.21
2014-09-05,17.33,17.33,16.98,17.16,22200,17.16
2014-09-04,17.39,17.39,17.17,17.37,26800,17.37
2014-09-03,17.15,17.33,17.08,17.29,46400,17.29
2014-09-02,17.18,17.23,16.97,17.06,30400,17.06
2014-08-29,17.05,17.17,16.95,17.05,23600,17.05
2014-08-28,17.05,17.45,17.04,17.05,23400,17.05
2014-08-27,17.23,17.23,17.00,17.05,24200,17.05
2014-08-26,17.31,17.31,17.09,17.21,45900,17.21
2014-08-25,17.50,17.50,17.16,17.30,29600,17.30
2014-08-22,17.40,17.49,17.22,17.43,34000,17.43
2014-08-21,17.15,17.40,16.95,17.40,26200,17.40
2014-08-20,17.21,17.23,17.00,17.09,23400,17.09
2014-08-19,17.44,17.44,17.05,17.25,26300,17.25
2014-08-18,17.39,17.41,17.27,17.35,28200,17.35
2014-08-15,17.35,17.35,16.99,17.15,54300,17.15
2014-08-14,17.13,17.32,17.01,17.24,36000,17.24
2014-08-13,17.29,17.35,17.08,17.08,22600,17.08
2014-08-12,17.29,17.36,16.97,17.18,28900,17.18
2014-08-11,17.02,17.48,17.02,17.31,42500,17.31
2014-08-08,16.98,17.18,16.88,17.00,42500,17.00
2014-08-07,17.21,17.32,16.85,16.92,79300,16.92
2014-08-06,16.90,17.35,16.90,17.09,45600,17.09
2014-08-05,17.08,17.13,16.81,17.07,57100,17.07
2014-08-04,16.80,17.35,16.65,17.12,50600,17.12
2014-08-01,17.21,17.21,16.53,16.73,62600,16.73
2014-07-31,17.24,17.37,17.10,17.24,48300,17.24
2014-07-30,17.50,17.50,17.27,17.42,51900,17.42
2014-07-29,17.32,17.50,17.14,17.44,62500,17.44
2014-07-28,17.66,17.66,17.14,17.28,108400,17.28
2014-07-25,17.45,17.61,17.35,17.52,54100,17.52
2014-07-24,17.59,17.83,17.45,17.57,44400,17.57
2014-07-23,17.62,17.77,17.54,17.58,54600,17.58
2014-07-22,17.82,18.12,17.53,17.59,70000,17.59
2014-07-21,17.48,17.88,17.26,17.77,59700,17.77
2014-07-18,17.41,17.59,16.78,17.56,226900,17.56
2014-07-17,18.10,19.18,17.50,17.59,320800,17.59
2014-07-16,18.87,19.23,18.58,18.99,145400,18.99
2014-07-15,19.06,19.06,18.57,18.68,73000,18.68
2014-07-14,19.38,19.38,18.88,19.04,76000,19.04
2014-07-11,18.78,19.13,18.51,19.08,48000,19.08
2014-07-10,18.38,18.97,18.21,18.75,71300,18.75
2014-07-09,18.56,18.79,18.19,18.74,74500,18.74
2014-07-08,19.02,19.02,18.32,18.44,72500,18.44
2014-07-07,19.62,19.62,18.92,18.99,83500,18.99
2014-07-03,19.49,19.72,19.47,19.60,43500,19.60
2014-07-02,19.40,19.65,19.38,19.48,108300,19.48
2014-07-01,19.39,19.46,19.26,19.33,60500,19.33
2014-06-30,18.78,19.42,18.73,19.35,38200,19.35
2014-06-27,18.98,19.30,18.72,18.83,210400,18.83
2014-06-26,19.39,19.45,19.06,19.12,25200,19.12
2014-06-25,19.29,19.47,19.22,19.42,43200,19.42
2014-06-24,19.25,19.66,19.19,19.31,63200,19.31
2014-06-23,19.00,19.32,18.94,19.22,79400,19.22
2014-06-20,19.39,19.39,18.67,18.99,113100,18.99
2014-06-19,19.18,19.42,18.50,19.28,45000,19.28
2014-06-18,19.06,19.09,18.84,19.07,45900,19.07
2014-06-17,18.67,19.20,18.62,19.06,55200,19.06
2014-06-16,18.90,18.92,18.36,18.60,53400,18.60
2014-06-13,18.83,18.99,18.68,18.86,23400,18.86
2014-06-12,18.95,19.16,18.64,18.73,39300,18.73
2014-06-11,19.43,19.43,18.83,18.93,32500,18.93
2014-06-10,19.20,19.45,19.04,19.28,37400,19.28
2014-06-09,19.14,19.47,19.14,19.30,48400,19.30
2014-06-06,18.97,19.23,18.78,19.08,57500,19.08
2014-06-05,18.38,19.02,18.32,18.85,170900,18.85
2014-06-04,18.28,18.47,18.14,18.39,66400,18.39
2014-06-03,18.73,18.82,18.30,18.43,79400,18.43
2014-06-02,19.30,19.42,18.54,18.89,72900,18.89
2014-05-30,19.46,19.47,19.19,19.25,67700,19.25
2014-05-29,19.23,19.53,19.22,19.45,72300,19.45
2014-05-28,19.43,19.66,19.30,19.42,75700,19.42
2014-05-27,19.11,19.46,19.00,19.41,77300,19.41
2014-05-23,18.31,19.05,18.13,19.03,88600,19.03
2014-05-22,18.30,18.51,18.04,18.27,66100,18.27
2014-05-21,18.41,18.41,17.92,18.30,46000,18.30
2014-05-20,18.48,18.73,18.02,18.31,83500,18.31
2014-05-19,18.73,18.81,18.24,18.59,69600,18.59
2014-05-16,18.21,18.78,18.00,18.74,90200,18.74
2014-05-15,18.08,18.28,17.96,18.24,84400,18.24
2014-05-14,18.32,18.35,18.04,18.10,81600,18.10
2014-05-13,18.80,18.80,18.09,18.21,79700,18.21
2014-05-12,17.75,19.00,17.72,18.87,136200,18.87
2014-05-09,17.34,17.58,17.23,17.53,102200,17.53
2014-05-08,17.39,17.96,17.28,17.38,88100,17.38
2014-05-07,17.65,17.81,17.31,17.48,99000,17.48
2014-05-06,17.94,18.02,17.64,17.87,76700,17.87
2014-05-05,18.18,18.20,17.91,18.01,89100,18.01
2014-05-02,18.26,18.59,18.14,18.19,74800,18.19
2014-05-01,17.91,18.40,17.62,18.28,120400,18.28
2014-04-30,17.79,18.07,17.44,17.94,95400,17.94
2014-04-29,17.63,18.03,17.44,17.84,128100,17.84
2014-04-28,17.63,17.98,17.27,17.50,172600,17.50
2014-04-25,17.64,17.69,17.40,17.55,233500,17.55
2014-04-24,17.68,18.04,17.34,17.73,626600,17.73
2014-04-23,17.55,17.67,17.17,17.48,345000,17.48
2014-04-22,17.07,17.99,17.07,17.56,263800,17.56
2014-04-21,17.32,17.66,17.03,17.09,360400,17.09
2014-04-17,18.00,18.75,17.33,17.35,425000,17.35
2014-04-16,19.55,19.70,19.05,19.12,108100,19.12
2014-04-15,19.72,19.72,18.97,19.36,98800,19.36
2014-04-14,20.46,20.51,19.15,19.58,140200,19.58
2014-04-11,21.01,21.25,20.02,20.32,115500,20.32
2014-04-10,22.47,22.47,21.10,21.25,125700,21.25
2014-04-09,22.50,22.59,22.23,22.57,37600,22.57
2014-04-08,22.47,22.99,22.26,22.50,47100,22.50
2014-04-07,22.37,22.73,22.11,22.37,63500,22.37
2014-04-04,23.53,23.53,22.23,22.55,74100,22.55
2014-04-03,23.41,23.55,23.24,23.35,65500,23.35
2014-04-02,23.34,23.55,23.20,23.48,50200,23.48
2014-04-01,22.87,23.32,22.72,23.23,70100,23.23
2014-03-31,22.91,23.39,22.72,22.90,36200,22.90
2014-03-28,22.53,23.01,22.53,22.85,104900,22.85
2014-03-27,22.29,22.72,22.09,22.56,72700,22.56
2014-03-26,22.85,22.85,22.18,22.25,63500,22.25
2014-03-25,22.47,22.89,22.27,22.70,55300,22.70
2014-03-24,22.39,22.41,21.85,22.35,113900,22.35
2014-03-21,22.52,22.90,22.22,22.35,106400,22.35
2014-03-20,22.83,22.83,22.35,22.50,38100,22.50
2014-03-19,23.08,23.11,22.52,22.92,49700,22.92
2014-03-18,22.82,23.25,22.62,23.02,32800,23.02
2014-03-17,22.49,22.85,22.31,22.77,34600,22.77
2014-03-14,22.54,22.61,22.22,22.51,31100,22.51
2014-03-13,23.55,23.79,22.57,22.58,60200,22.58
2014-03-12,23.00,23.42,22.75,23.32,33500,23.32
2014-03-11,23.99,23.99,23.00,23.14,64400,23.14
2014-03-10,24.02,24.11,23.72,23.92,42600,23.92
2014-03-07,24.18,24.27,23.66,24.12,57300,24.12
2014-03-06,24.18,24.25,23.95,24.01,36300,24.01
2014-03-05,23.92,24.17,23.82,24.09,43900,24.09
2014-03-04,23.84,24.19,23.75,24.02,80800,24.02
2014-03-03,23.36,23.83,22.77,23.57,118500,23.57
2014-02-28,23.43,24.04,23.41,23.62,82700,23.62
2014-02-27,22.76,23.49,22.70,23.45,96400,23.45
2014-02-26,22.74,23.00,22.68,22.87,89600,22.87
2014-02-25,23.59,23.59,22.72,22.80,103000,22.80
2014-02-24,23.12,23.74,23.12,23.44,69600,23.44
2014-02-21,23.66,23.79,23.25,23.53,91200,23.53
2014-02-20,23.21,23.51,23.01,23.48,56900,23.48
2014-02-19,23.50,23.73,23.18,23.25,85700,23.25
2014-02-18,22.87,23.67,22.53,23.60,92200,23.60
2014-02-14,22.84,23.06,22.39,22.76,57200,22.76
2014-02-13,22.49,23.10,22.40,22.86,103500,22.86
2014-02-12,22.69,23.04,22.10,22.60,88100,22.60
2014-02-11,22.86,22.95,22.39,22.59,82400,22.59
2014-02-10,22.13,22.81,21.95,22.80,90400,22.80
2014-02-07,22.23,22.23,21.79,22.14,82100,22.14
2014-02-06,21.93,22.21,21.80,22.00,73100,22.00
2014-02-05,21.92,22.07,21.35,21.92,81000,21.92
2014-02-04,22.00,22.27,21.89,22.02,57800,22.02
2014-02-03,22.17,22.42,21.73,22.04,110100,22.04
2014-01-31,22.17,22.56,22.17,22.28,84000,22.28
2014-01-30,22.35,22.76,22.10,22.57,128000,22.57
2014-01-29,23.26,23.26,22.00,22.31,135100,22.31
2014-01-28,23.08,23.29,22.76,23.06,179000,23.06
2014-01-27,23.56,24.04,22.87,22.99,131200,22.99
2014-01-24,24.37,24.37,23.35,23.61,122600,23.61
2014-01-23,26.02,26.98,23.29,24.75,387600,24.75
2014-01-22,23.11,24.05,23.11,24.02,215700,24.02
2014-01-21,22.77,23.17,22.73,23.10,130500,23.10
2014-01-17,22.80,22.94,22.65,22.73,91600,22.73
2014-01-16,22.47,23.09,22.20,22.90,152600,22.90
2014-01-15,21.39,23.18,21.26,22.44,225400,22.44
2014-01-14,21.29,21.39,21.12,21.32,68800,21.32
2014-01-13,20.84,21.53,20.67,21.29,252000,21.29
2014-01-10,20.99,21.37,20.90,20.91,85400,20.91
2014-01-09,21.30,21.80,20.79,20.91,179800,20.91
2014-01-08,22.31,23.25,19.16,21.38,1108200,21.38
2014-01-07,21.34,22.27,21.17,22.26,159900,22.26
2014-01-06,21.34,21.61,20.96,21.34,52600,21.34
2014-01-03,21.05,21.35,20.61,21.34,39500,21.34
2014-01-02,21.30,21.31,20.85,21.04,62300,21.04
2013-12-31,21.71,21.88,21.29,21.32,81500,21.32
2013-12-30,21.50,21.84,21.33,21.74,62400,21.74
2013-12-27,21.27,21.64,21.19,21.57,45300,21.57
2013-12-26,21.84,21.90,21.20,21.33,72400,21.33
2013-12-24,21.06,21.95,21.06,21.82,48000,21.82
2013-12-23,21.09,21.35,20.96,21.10,227000,21.10
2013-12-20,20.98,21.27,20.84,21.12,197000,21.12
2013-12-19,21.44,21.49,20.86,20.95,108600,20.95
2013-12-18,21.13,21.45,21.05,21.44,104500,21.44
2013-12-17,21.05,21.21,20.96,21.05,103100,21.05
2013-12-16,21.06,21.20,20.93,21.04,85100,21.04
2013-12-13,21.00,21.14,20.89,21.06,71300,21.06
2013-12-12,21.02,21.19,20.78,20.93,86900,20.93
2013-12-11,20.85,21.04,20.83,20.94,38100,20.94
2013-12-10,20.89,21.16,20.80,20.88,115000,20.88
2013-12-09,20.95,21.15,20.81,20.87,75600,20.87
2013-12-06,20.78,20.96,20.50,20.94,84200,20.94
2013-12-05,20.57,20.77,20.50,20.59,53200,20.59
2013-12-04,20.48,20.94,20.48,20.57,56800,20.57
2013-12-03,20.86,21.07,20.33,20.54,74400,20.54
2013-12-02,21.38,21.38,20.40,20.91,82600,20.91
2013-11-29,21.14,21.70,21.04,21.48,43000,21.48
2013-11-27,20.97,21.16,20.92,21.05,52600,21.05
2013-11-26,21.05,21.15,20.57,20.88,59500,20.88
2013-11-25,20.90,21.13,20.75,20.86,79200,20.86
2013-11-22,20.88,21.10,20.79,20.90,60000,20.90
2013-11-21,20.84,21.12,20.76,20.98,79700,20.98
2013-11-20,20.69,20.88,20.50,20.69,47300,20.69
2013-11-19,20.38,20.78,20.11,20.63,67400,20.63
2013-11-18,20.66,20.89,20.20,20.40,39700,20.40
2013-11-15,20.82,21.08,20.50,20.65,45500,20.65
2013-11-14,21.01,21.33,20.77,20.95,45400,20.95
2013-11-13,20.43,21.33,20.18,21.09,45900,21.09
2013-11-12,20.36,20.58,20.04,20.28,58800,20.28
2013-11-11,20.61,20.65,20.35,20.49,64200,20.49
2013-11-08,20.49,20.77,20.33,20.58,96200,20.58
2013-11-07,20.79,21.23,20.38,20.49,107500,20.49
2013-11-06,20.82,20.82,20.52,20.61,41200,20.61
2013-11-05,20.91,20.96,20.46,20.64,72800,20.64
2013-11-04,21.12,21.12,20.89,20.96,58700,20.96
2013-11-01,21.59,21.68,20.95,20.99,97300,20.99
2013-10-31,21.14,21.64,20.91,21.53,96000,21.53
