Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.87,30.18,29.42,29.64,780600,29.64
2014-12-30,30.35,30.52,29.41,29.84,62100,29.84
2014-12-29,30.82,31.12,30.43,30.52,496300,30.52
2014-12-26,31.40,31.59,31.00,31.12,471500,31.12
2014-12-24,31.15,32.05,31.09,31.30,406400,31.30
2014-12-23,31.00,31.55,30.93,31.16,655600,31.16
2014-12-22,30.52,31.42,29.85,31.19,833600,31.19
2014-12-19,32.90,32.90,29.88,30.82,2145800,30.82
2014-12-18,34.14,34.87,33.39,33.66,1143500,33.66
2014-12-17,32.14,33.86,31.98,33.66,1368300,33.66
2014-12-16,29.83,32.77,29.33,31.99,1694700,31.99
2014-12-15,30.21,30.66,29.54,29.86,999900,29.86
2014-12-12,29.00,30.68,28.92,29.93,996300,29.93
2014-12-11,28.75,29.96,28.75,29.45,867300,29.45
2014-12-10,28.78,29.36,28.61,28.68,977500,28.68
2014-12-09,27.65,29.14,27.17,29.08,774900,29.08
2014-12-08,28.00,28.63,27.57,27.96,635300,27.96
2014-12-05,27.96,28.69,27.90,28.25,517200,28.25
2014-12-04,28.35,28.63,27.57,27.92,893800,27.92
2014-12-03,28.51,29.22,28.28,28.61,664600,28.61
2014-12-02,28.16,29.10,28.08,28.59,1007800,28.59
2014-12-01,28.27,28.61,26.98,28.16,2023200,28.16
2014-11-28,29.61,29.61,28.70,28.90,255600,28.90
2014-11-26,29.69,30.07,29.44,29.65,299900,29.65
2014-11-25,29.87,30.17,29.50,29.69,720600,29.69
2014-11-24,29.71,30.28,29.45,30.04,582700,30.04
2014-11-21,30.15,30.88,29.50,29.92,885200,29.92
2014-11-20,29.30,30.01,29.11,29.89,720300,29.89
2014-11-19,29.40,29.89,28.90,29.56,981300,29.56
2014-11-18,29.50,30.02,29.38,29.59,1505600,29.59
2014-11-17,29.70,30.10,29.14,29.48,764000,29.48
2014-11-14,28.76,30.09,28.60,29.73,1044500,29.73
2014-11-13,28.95,28.99,28.00,28.72,1004300,28.72
2014-11-12,28.57,29.12,28.39,29.00,912800,29.00
2014-11-11,28.99,29.14,27.86,28.78,1429600,28.78
2014-11-10,28.71,29.68,28.36,29.20,1541300,29.20
2014-11-07,28.50,30.48,28.00,28.78,6316400,28.78
2014-11-06,35.49,35.64,33.87,34.62,1918900,34.62
2014-11-05,35.44,35.73,34.53,35.42,639700,35.42
2014-11-04,35.99,35.99,34.52,35.25,638700,35.25
2014-11-03,35.75,37.03,35.70,36.10,1081000,36.10
2014-10-31,35.79,36.29,35.02,35.77,799000,35.77
2014-10-30,34.69,35.25,34.41,35.19,821100,35.19
2014-10-29,35.11,35.50,34.48,34.95,741300,34.95
2014-10-28,35.14,35.46,34.65,35.21,669200,35.21
2014-10-27,34.28,34.89,33.65,34.86,579900,34.86
2014-10-24,34.64,35.33,34.01,34.47,482100,34.47
2014-10-23,35.26,35.56,34.74,34.74,540600,34.74
2014-10-22,35.80,35.94,34.32,34.81,759900,34.81
2014-10-21,34.55,36.33,34.40,35.78,825400,35.78
2014-10-20,33.99,35.03,33.77,34.38,604900,34.38
2014-10-17,34.58,35.38,33.93,34.16,701900,34.16
2014-10-16,32.27,34.96,32.27,33.92,1174800,33.92
2014-10-15,30.99,33.58,30.62,33.01,1445400,33.01
2014-10-14,31.75,32.46,31.03,31.69,1516800,31.52
2014-10-13,32.82,33.10,31.25,31.77,1055000,31.60
2014-10-10,33.63,34.73,32.73,32.75,997400,32.57
2014-10-09,34.86,34.95,33.59,34.01,975000,33.83
2014-10-08,33.74,34.98,32.57,34.89,1074000,34.70
2014-10-07,34.60,34.67,33.59,33.79,1290300,33.61
2014-10-06,35.90,35.99,34.39,34.88,1290000,34.69
2014-10-03,37.80,37.92,35.80,35.86,1123900,35.67
2014-10-02,35.89,37.67,35.56,37.46,1452900,37.26
2014-10-01,37.56,37.86,35.75,36.70,1328700,36.50
2014-09-30,38.00,38.35,37.00,37.53,825100,37.33
2014-09-29,37.98,39.15,37.17,37.95,870700,37.75
2014-09-26,38.68,39.00,38.15,38.55,693800,38.34
2014-09-25,39.39,39.60,38.09,38.60,1025600,38.39
2014-09-24,38.63,39.80,38.48,39.51,1306100,39.30
2014-09-23,37.67,39.45,36.98,38.20,1361900,38.00
2014-09-22,41.55,41.65,37.82,37.93,3051900,37.73
2014-09-19,43.50,43.58,41.18,42.01,1714900,41.78
2014-09-18,43.97,44.35,43.15,43.36,623900,43.13
2014-09-17,44.31,44.91,43.50,43.66,873400,43.43
2014-09-16,42.87,44.41,42.40,43.99,1040400,43.75
2014-09-15,46.34,46.58,42.67,43.03,2297400,42.80
2014-09-12,49.50,50.00,46.11,46.49,1865700,46.24
2014-09-11,47.24,49.73,47.06,49.60,1835600,49.33
2014-09-10,46.07,47.45,45.96,47.28,684700,47.03
2014-09-09,46.74,47.16,46.25,46.27,509800,46.02
2014-09-08,46.75,47.35,46.36,46.97,594400,46.72
2014-09-05,45.53,46.61,45.53,46.30,396900,46.05
2014-09-04,45.80,46.65,45.32,45.54,601300,45.30
2014-09-03,46.74,47.45,45.44,45.63,761000,45.39
2014-09-02,45.40,47.31,45.30,46.68,959700,46.43
