Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.78,18.42,17.69,18.34,240400,18.20
2014-12-30,16.93,17.96,16.75,17.82,381600,17.68
2014-12-29,18.25,18.47,15.98,16.77,742200,16.64
2014-12-26,18.40,18.58,18.22,18.34,70000,18.20
2014-12-24,18.34,18.39,18.22,18.27,24700,18.13
2014-12-23,18.60,18.61,18.25,18.27,86900,18.13
2014-12-22,18.75,18.75,18.48,18.62,97500,18.48
2014-12-19,18.79,18.91,18.46,18.67,103000,18.52
2014-12-18,18.50,18.90,18.36,18.72,86700,18.57
2014-12-17,18.67,18.80,18.20,18.50,102000,18.36
2014-12-16,18.54,18.84,18.50,18.74,66700,18.59
2014-12-15,19.07,19.10,18.54,18.58,132400,18.44
2014-12-12,19.10,19.11,18.86,19.02,51100,18.87
2014-12-11,19.12,19.19,19.00,19.06,62800,18.78
2014-12-10,19.28,19.31,19.02,19.02,57200,18.74
2014-12-09,19.07,19.37,19.02,19.26,59200,18.97
2014-12-08,19.18,19.23,19.01,19.02,40000,18.74
2014-12-05,19.29,19.30,19.01,19.22,86400,18.93
2014-12-04,19.26,19.37,19.22,19.25,34500,18.96
2014-12-03,19.17,19.33,19.11,19.32,49700,19.03
2014-12-02,19.01,19.40,19.01,19.16,73700,18.87
2014-12-01,19.35,19.47,19.02,19.09,66000,18.81
2014-11-28,19.42,19.50,19.27,19.36,10900,19.07
2014-11-26,19.22,19.55,19.22,19.51,58800,19.22
2014-11-25,19.54,19.57,19.26,19.26,85000,18.97
2014-11-24,19.59,19.60,19.30,19.49,88400,19.16
2014-11-21,19.60,19.60,19.38,19.52,129600,19.19
2014-11-20,19.43,19.60,19.41,19.57,78500,19.24
2014-11-19,19.40,19.52,19.29,19.32,51100,18.99
2014-11-18,19.72,19.72,19.40,19.42,54400,19.09
2014-11-17,19.65,19.75,19.47,19.73,127600,19.40
2014-11-14,19.48,19.74,19.41,19.65,149800,19.32
2014-11-13,19.11,19.60,19.11,19.50,103700,19.17
2014-11-12,19.35,19.58,19.30,19.44,41700,19.11
2014-11-11,19.25,19.55,19.25,19.46,61500,19.00
2014-11-10,19.25,19.44,19.16,19.34,60700,18.88
2014-11-07,19.07,19.49,19.07,19.25,76500,18.79
2014-11-06,19.03,19.30,19.00,19.09,130500,18.63
2014-11-05,19.12,19.24,19.00,19.11,135200,18.65
2014-11-04,19.06,19.36,19.06,19.17,53800,18.71
2014-11-03,19.55,19.67,19.20,19.22,49100,18.76
2014-10-31,19.35,19.69,19.20,19.50,84500,19.03
2014-10-30,19.65,19.65,19.30,19.42,73400,18.96
2014-10-29,19.56,19.75,19.00,19.58,171500,19.11
2014-10-28,19.53,19.74,19.48,19.72,52600,19.25
2014-10-27,19.85,19.85,19.40,19.43,160200,18.97
2014-10-24,19.77,19.85,19.65,19.85,94000,19.38
2014-10-23,19.63,19.80,19.60,19.78,199200,19.31
2014-10-22,19.69,19.74,19.58,19.65,213300,19.18
2014-10-21,19.55,19.70,19.45,19.52,190900,19.05
2014-10-20,19.44,19.58,19.30,19.50,119500,19.03
2014-10-17,19.37,19.50,19.19,19.37,54000,18.91
2014-10-16,19.30,19.44,19.12,19.21,63900,18.75
2014-10-15,19.28,19.54,19.28,19.37,82600,18.91
2014-10-14,19.73,19.73,19.39,19.42,83300,18.82
2014-10-13,19.70,19.73,19.52,19.61,95800,19.01
2014-10-10,19.65,19.75,19.51,19.64,50300,19.04
2014-10-09,19.70,19.73,19.48,19.70,89500,19.09
2014-10-08,19.52,19.72,19.46,19.62,70500,19.02
2014-10-07,19.78,19.80,19.53,19.60,80700,19.00
2014-10-06,19.90,19.90,19.63,19.70,86600,19.09
2014-10-03,19.62,19.95,19.31,19.95,469700,19.34
2014-10-02,19.57,19.74,19.41,19.68,102100,19.08
2014-10-01,19.62,19.79,19.51,19.64,93400,19.03
2014-09-30,19.75,19.82,19.56,19.82,94600,19.21
2014-09-29,19.77,19.94,19.51,19.70,91500,19.09
2014-09-26,19.85,19.98,19.56,19.86,167300,19.25
2014-09-25,19.75,19.98,19.51,19.94,392500,19.33
2014-09-24,19.47,19.76,19.38,19.75,175100,19.14
2014-09-23,19.58,19.66,19.37,19.46,70000,18.86
2014-09-22,19.65,19.77,19.49,19.72,104800,19.11
2014-09-19,19.50,19.77,19.20,19.76,1133300,19.15
2014-09-18,19.41,19.50,19.20,19.47,219800,18.87
2014-09-17,19.40,19.50,19.08,19.49,137300,18.89
2014-09-16,18.97,19.48,18.97,19.39,112900,18.79
2014-09-15,19.44,19.44,19.00,19.01,134900,18.43
2014-09-12,19.20,19.50,19.12,19.43,130200,18.83
2014-09-11,19.42,19.59,18.97,19.09,134000,18.50
2014-09-10,19.19,19.60,19.11,19.58,159800,18.85
2014-09-09,19.50,19.59,19.00,19.27,271800,18.55
2014-09-08,18.80,19.50,18.55,19.48,529400,18.75
2014-09-05,18.55,18.82,18.53,18.72,69700,18.02
2014-09-04,18.67,18.83,18.51,18.55,58900,17.85
2014-09-03,18.58,18.89,18.58,18.66,60900,17.96
2014-09-02,18.67,18.95,18.55,18.85,78400,18.14
2014-08-29,18.52,18.73,18.37,18.64,61900,17.94
2014-08-28,18.78,18.84,18.51,18.55,48800,17.85
2014-08-27,18.99,18.99,18.52,18.73,54600,18.03
2014-08-26,18.79,18.99,18.71,18.93,75200,18.22
2014-08-25,18.90,19.00,18.61,18.99,123900,18.28
2014-08-22,18.74,18.89,18.60,18.85,77900,18.14
2014-08-21,18.40,18.75,18.40,18.74,74100,18.04
2014-08-20,18.58,18.65,18.40,18.42,113900,17.73
2014-08-19,18.61,18.65,18.42,18.50,79800,17.81
2014-08-18,18.47,18.69,18.40,18.59,53700,17.89
2014-08-15,18.66,18.74,18.32,18.36,75200,17.67
2014-08-14,18.45,18.72,18.45,18.55,39500,17.85
2014-08-13,18.45,18.75,18.40,18.50,118500,17.81
2014-08-12,19.00,19.00,18.27,18.63,81500,17.80
2014-08-11,18.55,18.80,18.36,18.56,96500,17.73
2014-08-08,18.40,18.52,18.36,18.52,80200,17.69
2014-08-07,18.36,18.57,18.31,18.38,43800,17.56
2014-08-06,18.26,18.50,18.26,18.45,50400,17.63
2014-08-05,18.55,18.55,18.26,18.28,64300,17.46
2014-08-04,18.73,18.74,18.50,18.58,50100,17.75
2014-08-01,18.57,18.78,18.55,18.65,52400,17.82
2014-07-31,18.55,18.70,18.55,18.65,81400,17.82
2014-07-30,18.26,18.59,18.26,18.55,76500,17.72
2014-07-29,18.30,18.60,18.20,18.25,93300,17.44
2014-07-28,18.50,18.71,18.25,18.31,124400,17.49
2014-07-25,18.68,18.86,18.50,18.53,82100,17.70
2014-07-24,18.89,18.89,18.35,18.58,100100,17.75
