Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,3.53,3.56,3.10,3.13,39600,3.13
2014-12-30,3.06,3.55,3.06,3.55,700,3.55
2014-12-29,2.99,3.07,2.92,2.95,21900,2.95
2014-12-26,3.18,3.20,3.01,3.04,8600,3.04
2014-12-24,3.05,3.20,3.05,3.14,8100,3.14
2014-12-23,3.04,3.15,2.95,2.97,9400,2.97
2014-12-22,3.00,3.11,2.98,2.99,5300,2.99
2014-12-19,3.00,3.12,3.00,3.11,9700,3.11
2014-12-18,3.00,3.05,2.95,2.97,9700,2.97
2014-12-17,3.01,3.03,2.91,2.98,20600,2.98
2014-12-16,3.01,3.08,3.00,3.08,7200,3.08
2014-12-15,3.09,3.14,3.00,3.07,75100,3.07
2014-12-12,3.16,3.16,3.05,3.08,2600,3.08
2014-12-11,3.15,3.16,2.98,3.14,4300,3.14
2014-12-10,3.02,3.18,3.00,3.00,14800,3.00
2014-12-09,2.94,3.18,2.94,3.11,14600,3.11
2014-12-08,3.04,3.04,3.00,3.01,5600,3.01
2014-12-05,3.02,3.11,2.91,3.06,15800,3.06
2014-12-04,3.07,3.17,2.99,3.03,10500,3.03
2014-12-03,2.90,3.05,2.90,3.04,4700,3.04
2014-12-02,2.93,3.00,2.86,2.95,16500,2.95
2014-12-01,2.89,2.92,2.87,2.87,12500,2.87
2014-11-28,2.89,2.89,2.89,2.89,000,2.89
2014-11-26,2.89,2.91,2.86,2.89,2400,2.89
2014-11-25,2.88,2.92,2.86,2.88,9400,2.88
2014-11-24,2.86,2.99,2.85,2.91,27300,2.91
2014-11-21,3.07,3.13,2.83,2.88,12200,2.88
2014-11-20,3.00,3.18,2.94,2.98,6100,2.98
2014-11-19,3.18,3.18,3.01,3.02,5800,3.02
2014-11-18,3.07,3.12,3.02,3.02,6900,3.02
2014-11-17,3.06,3.07,3.02,3.04,12000,3.04
2014-11-14,3.09,3.25,3.09,3.09,2500,3.09
2014-11-13,3.15,3.15,2.99,3.11,15500,3.11
2014-11-12,3.15,3.15,3.05,3.10,6400,3.10
2014-11-11,3.15,3.15,3.04,3.08,7400,3.08
2014-11-10,3.11,3.12,3.11,3.11,3400,3.11
2014-11-07,3.09,3.09,3.08,3.08,600,3.08
2014-11-06,3.03,3.16,3.02,3.14,10100,3.14
2014-11-05,3.08,3.09,3.01,3.03,12300,3.03
2014-11-04,3.18,3.18,3.00,3.00,18500,3.00
2014-11-03,3.20,3.24,2.99,3.01,31600,3.01
2014-10-31,3.26,3.26,3.01,3.17,33800,3.17
2014-10-30,2.90,3.25,2.89,3.08,30900,3.08
2014-10-29,3.04,3.07,2.97,3.00,14300,3.00
2014-10-28,2.97,3.08,2.97,3.05,13300,3.05
2014-10-27,3.06,3.07,3.01,3.04,4700,3.04
2014-10-24,3.01,3.03,3.01,3.02,10200,3.02
2014-10-23,3.02,3.03,2.94,3.01,19900,3.01
2014-10-22,3.05,3.07,2.98,3.00,8600,3.00
2014-10-21,3.08,3.26,3.08,3.10,1100,3.10
2014-10-20,3.14,3.16,3.05,3.05,22300,3.05
2014-10-17,2.92,3.16,2.92,3.06,42400,3.06
2014-10-16,3.07,3.10,2.94,2.95,62400,2.95
2014-10-15,3.13,3.13,3.08,3.10,4100,3.10
2014-10-14,3.26,3.40,3.07,3.20,62600,3.20
2014-10-13,3.24,3.38,3.23,3.31,9300,3.31
2014-10-10,3.17,3.20,3.16,3.20,5900,3.20
2014-10-09,3.16,3.27,3.14,3.19,6000,3.19
2014-10-08,3.27,3.27,3.13,3.26,2400,3.26
2014-10-07,3.30,3.44,3.21,3.21,8800,3.21
2014-10-06,3.33,3.39,3.23,3.31,7000,3.31
2014-10-03,3.31,3.35,3.14,3.35,12500,3.35
2014-10-02,3.11,3.16,3.10,3.13,9200,3.13
2014-10-01,3.20,3.26,3.07,3.09,26200,3.09
2014-09-30,3.24,3.42,3.23,3.24,13600,3.24
2014-09-29,3.20,3.43,3.19,3.27,28100,3.27
2014-09-26,3.20,3.20,3.18,3.20,5100,3.20
2014-09-25,3.07,3.22,3.07,3.16,7900,3.16
2014-09-24,3.09,3.14,3.05,3.08,13100,3.08
2014-09-23,3.12,3.17,3.10,3.11,51500,3.11
2014-09-22,3.10,3.17,3.10,3.17,29200,3.17
2014-09-19,3.10,3.14,3.05,3.10,62300,3.10
2014-09-18,3.11,3.13,3.05,3.10,39900,3.10
2014-09-17,3.26,3.32,3.05,3.15,172000,3.15
2014-09-16,3.20,3.26,3.12,3.26,14100,3.26
2014-09-15,3.23,3.28,3.17,3.19,13300,3.19
2014-09-12,3.39,3.39,3.17,3.18,14800,3.18
2014-09-11,3.21,3.38,3.21,3.27,26400,3.27
2014-09-10,3.32,3.44,3.17,3.19,31600,3.19
2014-09-09,3.30,3.41,3.27,3.28,16500,3.28
2014-09-08,3.40,3.41,3.28,3.32,41900,3.32
2014-09-05,3.37,3.44,3.28,3.41,60400,3.41
2014-09-04,3.38,3.40,3.29,3.36,8100,3.36
2014-09-03,3.43,3.44,3.37,3.37,14100,3.37
