Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,22.00,22.00,22.00,22.00,1000,22.00
2014-12-30,27.22,27.22,27.22,27.22,000,27.22
2014-12-29,22.00,22.00,22.00,22.00,000,22.00
2014-12-26,22.00,22.00,22.00,22.00,100,22.00
2014-12-24,21.20,21.20,21.20,21.20,000,21.20
2014-12-23,24.00,24.00,24.00,24.00,000,24.00
2014-12-22,22.50,24.00,22.50,24.00,900,24.00
2014-12-19,22.78,22.78,22.78,22.78,000,22.78
2014-12-18,22.78,22.78,22.78,22.78,200,22.78
2014-12-17,22.76,22.76,22.76,22.76,000,22.76
2014-12-16,22.76,22.76,22.76,22.76,000,22.76
2014-12-15,22.76,22.76,22.76,22.76,000,22.76
2014-12-12,22.76,22.76,22.76,22.76,600,22.76
2014-12-11,22.75,22.75,22.75,22.75,000,22.75
2014-12-10,22.75,22.75,22.75,22.75,000,22.75
2014-12-09,22.75,22.75,22.75,22.75,000,22.75
2014-12-08,22.75,22.75,22.75,22.75,600,22.75
2014-12-05,22.00,22.00,22.00,22.00,000,22.00
2014-12-04,22.00,22.00,22.00,22.00,000,22.00
2014-12-03,22.04,22.04,22.00,22.00,500,22.00
2014-12-02,22.50,22.50,22.50,22.50,000,22.50
2014-12-01,22.50,22.50,22.50,22.50,000,22.50
2014-11-28,22.50,22.50,22.50,22.50,000,22.50
2014-11-26,22.50,22.50,22.50,22.50,000,22.50
2014-11-25,23.79,23.79,22.50,22.50,400,22.50
2014-11-24,22.50,22.50,22.50,22.50,200,22.50
2014-11-21,21.55,23.00,21.55,23.00,300,23.00
2014-11-20,21.00,21.00,21.00,21.00,000,21.00
2014-11-19,21.00,21.00,21.00,21.00,100,21.00
2014-11-18,20.89,20.99,20.26,20.26,1100,20.26
2014-11-17,21.99,21.99,19.03,19.50,900,19.50
2014-11-14,19.29,22.00,18.52,21.99,3000,21.99
2014-11-13,17.32,21.05,17.32,21.05,4000,21.05
2014-11-12,18.65,18.65,18.65,18.65,000,18.65
2014-11-11,18.65,18.65,18.65,18.65,000,18.65
2014-11-10,18.65,18.65,18.65,18.65,000,18.65
2014-11-07,18.65,18.65,18.65,18.65,000,18.65
2014-11-06,18.65,18.65,18.65,18.65,000,18.65
2014-11-05,18.75,18.75,18.65,18.65,1200,18.65
2014-11-04,17.95,19.97,17.95,19.97,1200,19.97
2014-11-03,16.53,16.53,16.53,16.53,000,16.53
2014-10-31,16.53,16.53,16.53,16.53,000,16.53
2014-10-30,17.25,17.25,16.53,16.53,1000,16.53
2014-10-29,16.22,16.22,16.22,16.22,000,16.22
2014-10-28,16.22,16.22,16.22,16.22,000,16.22
2014-10-27,16.22,16.22,16.22,16.22,000,16.22
2014-10-24,16.22,16.22,16.22,16.22,000,16.22
2014-10-23,16.22,16.22,16.22,16.22,000,16.22
2014-10-22,16.22,16.22,16.22,16.22,300,16.22
2014-10-21,18.50,18.50,18.50,18.50,000,18.50
2014-10-20,18.50,18.50,18.50,18.50,000,18.50
2014-10-17,18.50,18.50,18.50,18.50,000,18.50
2014-10-16,18.50,18.50,18.50,18.50,300,18.50
2014-10-15,18.65,18.65,18.65,18.65,1100,18.65
2014-10-14,19.95,19.95,19.95,19.95,000,19.95
2014-10-13,19.95,19.95,19.95,19.95,100,19.95
2014-10-10,19.77,19.77,18.62,18.65,700,18.65
2014-10-09,22.75,22.75,22.75,22.75,000,22.75
2014-10-08,22.75,22.75,22.75,22.75,000,22.75
2014-10-07,22.75,22.75,22.75,22.75,000,22.75
2014-10-06,22.75,22.75,22.75,22.75,000,22.75
2014-10-03,22.75,22.75,22.75,22.75,000,22.75
2014-10-02,22.75,22.75,22.75,22.75,000,22.75
2014-10-01,22.75,22.75,22.75,22.75,000,22.75
2014-09-30,22.75,22.75,22.75,22.75,000,22.75
2014-09-29,22.75,22.75,22.75,22.75,000,22.75
2014-09-26,22.75,22.75,22.75,22.75,000,22.75
2014-09-25,22.75,22.75,22.75,22.75,200,22.75
2014-09-24,23.89,23.89,23.89,23.89,200,23.89
2014-09-23,24.50,24.50,24.50,24.50,000,24.50
2014-09-22,24.50,24.50,24.50,24.50,000,24.50
2014-09-19,24.50,24.50,24.50,24.50,000,24.50
2014-09-18,24.50,24.50,24.50,24.50,000,24.50
2014-09-17,24.50,24.50,24.50,24.50,000,24.50
2014-09-16,24.50,24.50,24.50,24.50,1000,24.50
2014-09-15,24.62,24.63,24.62,24.63,200,24.63
2014-09-12,24.50,24.56,24.50,24.50,800,24.50
2014-09-11,24.51,24.51,24.50,24.50,500,24.50
2014-09-10,25.00,25.00,25.00,25.00,000,25.00
2014-09-09,25.00,25.00,25.00,25.00,000,25.00
2014-09-08,25.00,25.00,25.00,25.00,100,25.00
2014-09-05,24.55,24.55,24.55,24.55,000,24.55
2014-09-04,24.51,24.57,24.50,24.55,500,24.55
2014-09-03,24.51,25.00,24.50,25.00,1000,25.00
2014-09-02,23.97,24.00,23.97,24.00,600,24.00
2014-08-29,24.91,24.91,23.75,23.75,200,23.75
2014-08-28,24.02,24.02,24.02,24.02,000,24.02
2014-08-27,24.02,24.02,24.02,24.02,100,24.02
2014-08-26,29.54,29.54,24.31,24.31,400,24.31
2014-08-25,25.11,25.11,25.11,25.11,000,25.11
2014-08-22,25.00,25.11,25.00,25.11,300,25.11
2014-08-21,25.06,25.06,25.06,25.06,200,25.06
2014-08-20,27.69,27.69,27.69,27.69,000,27.69
2014-08-19,27.69,27.69,27.69,27.69,000,27.69
2014-08-18,28.55,28.55,25.84,27.69,1000,27.69
2014-08-15,25.77,25.77,25.77,25.77,000,25.77
2014-08-14,25.77,25.77,25.77,25.77,500,25.77
2014-08-13,23.56,23.56,23.55,23.55,500,23.55
2014-08-12,23.32,23.32,23.32,23.32,500,23.32
2014-08-11,22.38,23.50,22.38,23.34,3500,23.34
