Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,27.86,29.00,27.83,28.21,1032900,28.21
2014-12-30,28.44,28.63,27.59,27.82,22100,27.82
2014-12-29,29.27,29.74,28.39,28.64,583800,28.64
2014-12-26,29.26,29.54,28.60,29.20,534700,29.20
2014-12-24,27.47,29.11,27.00,28.99,630300,28.99
2014-12-23,27.65,27.65,26.41,27.35,592300,27.35
2014-12-22,27.02,27.77,26.81,27.43,686100,27.43
2014-12-19,27.51,28.23,26.59,26.76,1623600,26.76
2014-12-18,26.21,27.64,26.21,27.29,1096300,27.29
2014-12-17,25.34,26.12,24.68,25.85,1356700,25.85
2014-12-16,25.60,26.46,25.31,25.34,886500,25.34
2014-12-15,26.68,27.89,25.01,26.14,1576600,26.14
2014-12-12,27.36,27.97,26.90,26.92,534800,26.92
2014-12-11,28.31,29.19,27.68,27.78,655400,27.78
2014-12-10,27.90,29.17,27.59,28.02,1179900,28.02
2014-12-09,26.63,27.60,26.05,27.50,859200,27.50
2014-12-08,29.06,29.69,26.06,27.32,1410400,27.32
2014-12-05,29.31,29.54,28.91,29.15,507600,29.15
2014-12-04,29.18,29.39,28.55,29.01,471300,29.01
2014-12-03,30.19,30.19,29.01,29.05,705200,29.05
2014-12-02,28.86,30.05,28.50,30.00,1096300,30.00
2014-12-01,29.54,29.71,28.30,28.86,769200,28.86
2014-11-28,29.98,30.60,29.45,29.80,614300,29.80
2014-11-26,29.52,29.98,28.62,29.64,749000,29.64
2014-11-25,28.25,30.15,28.20,29.45,1478800,29.45
2014-11-24,27.00,28.70,26.75,28.22,1037100,28.22
2014-11-21,27.56,27.81,26.69,26.76,637100,26.76
2014-11-20,26.25,27.45,26.12,27.06,571200,27.06
2014-11-19,26.68,27.00,26.05,26.42,589700,26.42
2014-11-18,27.12,27.29,26.67,26.98,479100,26.98
2014-11-17,26.86,27.55,26.71,26.91,593100,26.91
2014-11-14,27.26,27.57,26.43,26.96,734600,26.96
2014-11-13,26.62,27.95,26.62,27.22,986600,27.22
2014-11-12,27.21,27.49,25.50,26.41,1374000,26.41
2014-11-11,28.18,28.27,27.03,27.56,983400,27.56
2014-11-10,27.01,28.33,26.80,28.27,1244300,28.27
2014-11-07,26.57,26.75,25.93,26.63,590200,26.63
2014-11-06,26.28,27.38,26.12,26.49,766100,26.49
2014-11-05,26.99,27.04,25.43,25.92,1438800,25.92
2014-11-04,25.40,26.05,24.79,25.80,681800,25.80
2014-11-03,25.30,26.10,25.27,25.48,838900,25.48
2014-10-31,24.79,25.66,24.70,25.32,751800,25.32
2014-10-30,24.68,25.55,24.35,24.79,1542900,24.79
2014-10-29,23.95,24.89,23.20,24.81,1937100,24.81
2014-10-28,21.13,24.34,21.01,23.73,4424400,23.73
2014-10-27,19.12,19.25,18.22,18.29,778000,18.29
2014-10-24,19.30,19.40,18.81,19.27,456400,19.27
2014-10-23,19.09,19.91,18.99,19.24,573000,19.24
2014-10-22,19.74,19.75,18.68,18.73,489400,18.73
2014-10-21,18.16,19.95,18.09,19.76,876300,19.76
2014-10-20,18.40,18.77,18.02,18.23,343700,18.23
2014-10-17,17.50,18.90,17.50,18.31,491700,18.31
2014-10-16,17.20,18.27,17.07,18.22,515300,18.22
2014-10-15,16.39,18.44,16.39,17.72,741900,17.72
2014-10-14,17.57,18.61,17.31,18.35,606600,18.35
2014-10-13,18.00,18.01,16.73,17.57,1018300,17.57
2014-10-10,18.27,18.60,17.59,18.02,601000,18.02
2014-10-09,19.00,19.00,18.22,18.36,499900,18.36
2014-10-08,19.00,19.14,17.89,19.00,922400,19.00
2014-10-07,19.28,19.60,18.63,19.15,629600,19.15
2014-10-06,21.21,21.22,19.32,19.48,1170400,19.48
2014-10-03,19.00,20.55,19.00,20.21,1382900,20.21
2014-10-02,18.42,18.77,18.16,18.75,498000,18.75
2014-10-01,18.75,18.75,17.90,18.41,452300,18.41
2014-09-30,18.81,19.24,18.65,18.78,528000,18.78
2014-09-29,18.55,18.97,18.06,18.78,394400,18.78
2014-09-26,18.35,19.00,18.26,18.90,361200,18.90
2014-09-25,19.19,19.30,17.44,18.24,916500,18.24
2014-09-24,19.12,19.33,18.81,19.18,392000,19.18
2014-09-23,19.60,19.77,19.04,19.09,677200,19.09
2014-09-22,19.15,19.79,19.01,19.54,1099800,19.54
2014-09-19,18.50,19.31,17.72,19.13,1686600,19.13
2014-09-18,17.75,18.43,17.75,18.26,695400,18.26
2014-09-17,17.28,18.15,17.28,17.68,604700,17.68
2014-09-16,16.98,17.48,16.72,17.24,505600,17.24
2014-09-15,17.03,17.61,16.51,17.09,745200,17.09
2014-09-12,17.77,17.90,17.44,17.49,418400,17.49
2014-09-11,17.47,18.01,16.86,17.69,803600,17.69
2014-09-10,16.89,17.92,16.82,17.54,993500,17.54
2014-09-09,17.35,17.36,16.30,16.73,647200,16.73
2014-09-08,16.84,17.62,16.64,17.11,1138800,17.11
2014-09-05,15.62,16.44,15.62,16.40,821900,16.40
2014-09-04,15.09,16.08,15.09,15.62,633500,15.62
2014-09-03,15.39,15.40,14.72,15.03,474600,15.03
2014-09-02,14.63,15.44,14.56,15.27,780300,15.27
2014-08-29,14.18,14.96,14.11,14.77,791900,14.77
2014-08-28,14.45,14.47,14.04,14.11,337200,14.11
2014-08-27,14.40,14.49,14.27,14.47,310600,14.47
2014-08-26,14.20,14.43,14.20,14.32,324400,14.32
2014-08-25,14.30,14.41,14.16,14.23,242300,14.23
2014-08-22,14.13,14.45,14.13,14.26,252100,14.26
2014-08-21,14.45,14.58,14.11,14.19,444000,14.19
2014-08-20,14.79,14.83,14.12,14.42,388800,14.42
2014-08-19,14.49,15.17,14.40,14.79,854100,14.79
2014-08-18,14.31,14.53,14.12,14.50,346300,14.50
2014-08-15,14.47,14.52,14.04,14.23,272500,14.23
