Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.24,1.44,1.21,1.38,50200,1.38
2014-12-30,1.19,1.20,1.18,1.20,4700,1.20
2014-12-29,1.18,1.21,1.05,1.08,32300,1.08
2014-12-26,1.27,1.36,1.20,1.20,20000,1.20
2014-12-24,1.35,1.36,1.21,1.23,8200,1.23
2014-12-23,1.11,1.40,1.11,1.36,20000,1.36
2014-12-22,1.02,1.33,1.02,1.32,5000,1.32
2014-12-19,1.25,1.38,1.25,1.37,13100,1.37
2014-12-18,1.36,1.39,1.27,1.31,17100,1.31
2014-12-17,1.38,1.40,1.32,1.38,21200,1.38
2014-12-16,1.39,1.40,1.29,1.34,35800,1.34
2014-12-15,1.39,1.39,1.27,1.39,13600,1.39
2014-12-12,1.34,1.45,1.30,1.39,29600,1.39
2014-12-11,1.19,1.36,1.03,1.36,44300,1.36
2014-12-10,1.11,1.26,1.10,1.22,12800,1.22
2014-12-09,1.36,1.36,1.11,1.11,15300,1.11
2014-12-08,1.39,1.39,1.24,1.25,5800,1.25
2014-12-05,1.41,1.41,1.24,1.36,8900,1.36
2014-12-04,1.46,1.46,1.30,1.42,19800,1.42
2014-12-03,1.50,1.50,1.43,1.46,7100,1.46
2014-12-02,1.50,1.51,1.48,1.50,10200,1.50
2014-12-01,1.51,1.53,1.50,1.51,14200,1.51
2014-11-28,1.51,1.55,1.51,1.51,6700,1.51
2014-11-26,1.55,1.56,1.52,1.52,9300,1.52
2014-11-25,1.55,1.55,1.55,1.55,600,1.55
2014-11-24,1.55,1.62,1.55,1.56,4200,1.56
2014-11-21,1.57,1.59,1.55,1.56,14400,1.56
2014-11-20,1.57,1.57,1.57,1.57,500,1.57
2014-11-19,1.60,1.60,1.57,1.57,6100,1.57
2014-11-18,1.61,1.68,1.60,1.62,3000,1.62
2014-11-17,1.58,1.61,1.58,1.61,2000,1.61
2014-11-14,1.65,1.72,1.60,1.68,3300,1.68
2014-11-13,1.69,1.69,1.69,1.69,123900,1.69
2014-11-12,1.67,1.67,1.67,1.67,1000,1.67
2014-11-11,1.69,1.75,1.63,1.67,60700,1.67
2014-11-10,1.69,1.74,1.65,1.65,19600,1.65
2014-11-07,1.55,1.80,1.55,1.75,28100,1.75
2014-11-06,1.56,1.56,1.55,1.55,700,1.55
2014-11-05,1.55,1.61,1.55,1.61,3500,1.61
2014-11-04,1.58,1.58,1.55,1.55,3900,1.55
2014-11-03,1.55,1.58,1.55,1.58,800,1.58
2014-10-31,1.58,1.58,1.55,1.56,2400,1.56
2014-10-30,1.60,1.63,1.55,1.58,1300,1.58
2014-10-29,1.58,1.61,1.55,1.60,25700,1.60
2014-10-28,1.63,1.69,1.56,1.60,7400,1.60
2014-10-27,1.63,1.73,1.62,1.63,1100,1.63
2014-10-24,1.62,1.78,1.62,1.65,4700,1.65
2014-10-23,1.67,1.76,1.62,1.62,15400,1.62
2014-10-22,1.72,1.74,1.67,1.67,4500,1.67
