Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,99.26,99.32,98.06,98.06,8700,98.06
2014-12-30,99.64,99.64,99.64,99.64,000,99.64
2014-12-29,99.34,99.68,99.34,99.60,20100,99.60
2014-12-26,99.32,99.69,99.31,99.67,4600,99.67
2014-12-24,99.14,99.33,99.13,99.29,3600,99.29
2014-12-23,99.07,99.21,98.86,99.08,7600,99.08
2014-12-22,98.58,98.99,98.56,98.90,28400,98.90
2014-12-19,98.54,98.81,98.19,98.68,7700,98.68
2014-12-18,97.13,98.17,97.09,98.17,15000,98.17
2014-12-17,94.80,96.48,94.71,96.28,228200,96.28
2014-12-16,95.07,96.41,94.39,94.45,34000,94.45
2014-12-15,96.74,96.82,95.15,95.46,18600,95.46
2014-12-12,96.79,97.17,96.23,96.23,8700,96.23
2014-12-11,97.54,98.36,97.44,97.44,78100,97.44
2014-12-10,98.40,98.43,97.00,97.28,14100,97.28
2014-12-09,97.38,98.55,97.23,98.55,10700,98.55
2014-12-08,99.06,99.45,98.37,98.54,12200,98.54
2014-12-05,99.36,99.53,99.29,99.39,10600,99.39
2014-12-04,99.26,99.54,98.97,99.24,45400,99.24
2014-12-03,99.13,99.41,99.00,99.41,16600,99.41
2014-12-02,98.64,99.04,98.64,98.94,9700,98.94
2014-12-01,100.64,100.64,98.49,98.55,57600,98.55
2014-11-28,99.60,99.82,99.47,99.70,2600,99.70
2014-11-26,99.22,99.50,99.22,99.50,21800,99.50
2014-11-25,99.51,99.51,99.17,99.28,13400,99.28
2014-11-24,99.01,99.20,99.01,99.19,9900,99.19
2014-11-21,99.39,99.39,98.55,98.72,16400,98.72
2014-11-20,97.50,98.34,97.50,98.22,13100,98.22
2014-11-19,98.07,98.07,97.70,98.04,9800,98.04
2014-11-18,97.62,98.40,97.62,98.21,11400,98.21
2014-11-17,97.44,97.80,97.40,97.54,23900,97.54
2014-11-14,97.73,97.73,97.40,97.65,11200,97.65
2014-11-13,97.73,98.00,97.37,97.64,34300,97.64
2014-11-12,97.33,97.63,97.20,97.62,24800,97.62
2014-11-11,97.50,97.50,97.18,97.40,9300,97.40
2014-11-10,97.09,97.33,96.92,97.31,29000,97.31
2014-11-07,96.75,97.06,96.63,96.89,14100,96.89
2014-11-06,96.38,96.95,96.38,96.95,6000,96.95
2014-11-05,96.81,96.81,96.23,96.35,8100,96.35
2014-11-04,96.41,96.41,95.69,96.11,35100,96.11
2014-11-03,96.70,96.86,96.53,96.53,9000,96.53
2014-10-31,96.60,96.60,96.24,96.46,10500,96.46
2014-10-30,94.81,95.60,94.65,95.40,17400,95.40
2014-10-29,94.87,95.15,94.34,94.34,5800,94.34
2014-10-28,93.89,94.83,93.89,94.83,15000,94.83
2014-10-27,93.57,93.84,93.22,93.80,14500,93.80
2014-10-24,93.42,93.88,93.24,93.88,9800,93.88
2014-10-23,92.93,93.61,92.82,93.28,26700,93.28
2014-10-22,92.94,93.07,91.95,91.97,19100,91.97
2014-10-21,91.41,92.75,91.41,92.74,23800,92.74
2014-10-20,89.80,90.89,89.80,90.84,6300,90.84
2014-10-17,89.91,90.40,89.55,89.94,8300,89.94
2014-10-16,87.31,89.33,87.20,88.78,22500,88.78
2014-10-15,88.08,88.98,86.64,88.70,37700,88.70
2014-10-14,89.53,90.00,88.89,89.05,230600,89.05
