Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,171.62,172.94,170.27,170.49,105100,169.95
2014-12-30,171.15,173.07,169.56,170.53,34300,169.99
2014-12-29,168.71,171.55,167.40,171.00,67400,170.46
2014-12-26,168.92,169.63,167.81,168.77,33300,168.24
2014-12-24,169.45,169.45,167.60,168.60,13400,168.07
2014-12-23,170.09,170.81,164.93,168.96,63700,168.43
2014-12-22,168.50,172.14,166.13,169.70,137200,169.16
2014-12-19,162.95,169.21,162.34,167.91,191300,167.38
2014-12-18,160.00,163.32,159.52,162.95,102500,162.43
2014-12-17,156.00,160.06,155.94,159.00,104900,158.50
2014-12-16,157.80,158.32,155.04,155.96,103600,155.47
2014-12-15,158.89,159.86,155.57,158.00,103300,157.50
2014-12-12,157.94,159.45,156.79,158.78,91300,158.28
2014-12-11,159.86,160.67,158.81,159.76,96600,159.26
2014-12-10,158.34,160.92,157.83,158.97,163700,158.47
2014-12-09,157.83,159.26,156.36,158.38,123900,157.88
2014-12-08,157.79,158.91,157.41,158.38,91900,157.88
2014-12-05,157.18,159.62,157.18,158.14,179700,157.64
2014-12-04,157.00,158.67,156.19,157.35,86600,156.85
2014-12-03,156.17,159.48,156.12,157.74,87100,157.24
2014-12-02,155.50,158.25,154.93,156.72,112700,156.22
2014-12-01,154.21,155.45,151.81,154.83,54300,154.34
2014-11-28,155.27,156.00,153.55,154.00,42500,153.51
2014-11-26,156.32,157.47,155.21,155.99,91400,155.50
2014-11-25,155.97,158.07,155.00,156.97,61400,156.47
2014-11-24,155.00,157.58,154.60,156.02,77400,155.53
2014-11-21,157.50,157.50,153.75,154.36,127200,153.87
2014-11-20,154.17,159.68,153.88,157.43,93100,156.93
2014-11-19,157.59,157.59,153.36,154.17,67600,153.68
2014-11-18,159.76,160.90,156.18,157.15,102700,156.65
2014-11-17,164.29,165.14,157.88,160.17,99000,159.66
2014-11-14,183.02,183.95,160.59,164.98,483400,164.46
2014-11-13,184.00,184.43,183.00,183.00,47300,182.42
2014-11-12,182.63,184.10,182.09,183.04,51200,182.46
2014-11-11,185.36,185.43,181.64,182.90,59400,182.32
2014-11-10,185.01,185.97,182.24,185.19,31800,184.60
2014-11-07,187.50,188.04,183.89,183.93,45400,183.35
2014-11-06,186.00,187.04,181.72,187.00,35900,186.41
2014-11-05,180.68,187.19,180.20,186.47,71400,185.88
2014-11-04,178.15,181.65,175.52,180.00,37300,179.43
2014-11-03,178.00,180.80,178.00,179.44,35100,178.87
2014-10-31,183.51,183.51,177.72,179.21,57400,178.64
2014-10-30,174.36,180.78,172.62,180.75,60100,180.18
2014-10-29,170.80,178.18,166.73,174.98,126200,174.43
2014-10-28,184.59,184.59,165.14,170.03,85200,169.04
2014-10-27,168.06,168.06,164.08,165.59,42700,164.63
2014-10-24,168.33,169.73,166.09,168.02,24800,167.05
2014-10-23,171.24,171.24,165.21,167.96,47600,166.99
2014-10-22,178.37,178.37,167.19,168.86,57000,167.88
2014-10-21,173.13,178.71,173.07,177.47,52200,176.44
2014-10-20,165.17,172.65,163.61,172.54,36500,171.54
2014-10-17,173.29,173.29,165.06,166.31,40100,165.35
2014-10-16,164.82,173.15,162.58,170.83,40900,169.84
2014-10-15,163.62,167.75,162.65,167.56,71500,166.59
2014-10-14,165.32,171.52,162.89,165.56,43100,164.60
2014-10-13,163.65,168.53,163.10,163.14,39100,162.19
2014-10-10,164.06,168.43,162.63,162.74,28800,161.80
2014-10-09,170.28,172.84,163.57,165.30,40000,164.34
2014-10-08,169.63,171.26,163.37,169.72,86900,168.74
2014-10-07,169.39,173.25,168.86,169.53,50900,168.55
2014-10-06,171.96,172.18,170.04,170.69,32500,169.70
2014-10-03,173.95,175.08,170.01,172.04,56700,171.04
2014-10-02,170.05,173.70,166.98,173.04,39900,172.04
2014-10-01,173.00,173.00,167.70,169.37,62000,168.39
2014-09-30,175.99,176.59,171.15,173.70,88100,172.69
2014-09-29,175.00,175.63,166.35,175.06,34900,174.04
2014-09-26,175.96,178.29,174.37,176.32,48000,175.30
2014-09-25,174.82,174.94,172.00,174.72,49000,173.71
2014-09-24,170.93,175.75,170.49,174.38,71900,173.37
2014-09-23,170.17,172.67,167.19,171.00,111000,170.01
2014-09-22,173.78,175.03,170.24,170.25,117800,169.26
2014-09-19,175.22,176.27,172.01,174.03,148700,173.02
2014-09-18,184.81,184.81,171.27,175.55,202500,174.53
2014-09-17,184.88,186.81,182.70,184.65,38900,183.58
2014-09-16,184.97,188.35,182.70,186.00,77100,184.92
2014-09-15,185.00,186.99,180.78,184.71,84000,183.64
2014-09-12,189.11,189.58,184.31,185.55,100500,184.47
2014-09-11,190.46,191.67,188.74,189.42,70300,188.32
2014-09-10,190.00,192.80,188.82,191.13,71000,190.02
2014-09-09,186.99,191.48,186.10,190.00,107900,188.90
2014-09-08,184.43,188.65,183.61,187.11,125300,186.02
2014-09-05,205.00,207.95,177.40,185.01,452600,183.94
2014-09-04,222.22,222.22,204.56,205.31,174600,204.12
2014-09-03,224.88,226.62,222.07,222.34,22600,221.05
2014-09-02,225.08,226.90,224.04,224.50,26400,223.20
2014-08-29,224.95,227.29,222.48,223.69,62800,222.39
2014-08-28,222.11,224.37,221.97,223.90,34600,222.60
2014-08-27,220.15,223.11,218.58,222.75,28700,221.46
2014-08-26,216.97,220.63,216.47,219.05,24800,217.78
2014-08-25,215.98,218.75,215.98,217.34,25500,216.08
2014-08-22,213.24,216.27,213.24,214.48,19600,213.24
2014-08-21,209.56,213.60,208.35,212.81,15800,211.58
2014-08-20,211.12,211.76,208.87,210.70,16600,209.48
2014-08-19,209.00,210.39,206.62,210.15,39500,208.93
2014-08-18,208.00,208.97,207.22,208.95,20300,207.74
2014-08-15,211.75,211.75,204.44,206.97,43900,205.77
2014-08-14,208.10,210.66,208.10,209.25,41400,208.04
2014-08-13,208.84,209.22,206.21,209.22,10500,208.01
2014-08-12,207.87,208.87,206.50,207.43,19900,206.23
2014-08-11,209.21,209.97,208.01,208.02,19700,206.81
2014-08-08,205.29,209.16,204.60,207.91,17600,206.70
2014-08-07,208.95,208.95,204.41,205.36,13100,204.17
2014-08-06,203.78,210.97,203.78,208.27,63700,207.06
2014-08-05,207.05,209.76,205.11,205.60,42000,204.41
2014-08-04,206.48,210.84,206.48,208.86,75800,207.65
2014-08-01,203.76,208.00,203.76,204.65,60600,203.46
2014-07-31,208.49,208.49,204.48,205.05,70300,203.86
2014-07-30,211.23,211.36,206.02,209.32,60300,208.11
2014-07-29,207.75,211.80,206.01,210.29,74100,209.07
2014-07-28,210.85,212.00,207.83,208.60,91100,206.94
2014-07-25,208.35,211.40,207.77,210.00,33800,208.33
