Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,63.34,63.85,62.73,63.03,208700,63.03
2014-12-30,63.75,63.76,62.77,63.12,3600,63.12
2014-12-29,63.75,63.99,63.27,63.75,220800,63.75
2014-12-26,63.89,64.43,63.54,63.72,185500,63.72
2014-12-24,63.74,63.87,63.50,63.75,170000,63.75
2014-12-23,63.89,64.33,63.34,63.95,324300,63.95
2014-12-22,63.00,63.86,62.91,63.55,346300,63.55
2014-12-19,62.49,63.05,61.66,62.83,597400,62.83
2014-12-18,62.08,62.94,61.92,62.44,371700,62.44
2014-12-17,61.03,61.45,60.25,61.35,415900,61.35
2014-12-16,62.00,62.29,60.97,61.00,275700,61.00
2014-12-15,62.76,63.82,61.61,62.04,182900,62.04
2014-12-12,62.71,63.64,62.42,62.66,149100,62.66
2014-12-11,63.42,64.77,63.19,63.54,213800,63.54
2014-12-10,65.25,65.25,63.18,63.23,226200,63.23
2014-12-09,64.09,65.53,63.05,65.32,321300,65.32
2014-12-08,66.00,66.51,64.52,64.80,222200,64.80
2014-12-05,65.16,66.29,65.11,66.15,327400,66.15
2014-12-04,66.20,66.44,64.99,65.19,211100,65.19
2014-12-03,65.70,66.77,65.23,66.22,251700,66.22
2014-12-02,65.97,66.19,65.35,65.62,240400,65.62
2014-12-01,65.91,66.40,65.33,65.67,240500,65.67
2014-11-28,66.88,66.93,66.21,66.30,176700,66.30
2014-11-26,66.91,67.40,66.35,67.00,204300,67.00
2014-11-25,67.25,67.25,66.40,66.85,288200,66.85
2014-11-24,66.17,67.03,66.17,66.93,516600,66.93
2014-11-21,66.90,66.90,65.70,66.14,323600,66.14
2014-11-20,65.28,66.05,64.86,66.00,312800,66.00
2014-11-19,65.72,65.94,64.45,65.49,435100,65.49
2014-11-18,66.11,67.00,65.43,65.54,455200,65.54
2014-11-17,67.29,67.40,65.84,65.86,465700,65.86
2014-11-14,66.87,68.84,66.04,67.61,527700,67.61
2014-11-13,64.24,67.49,63.86,67.23,821800,67.23
2014-11-12,62.83,64.22,62.70,64.01,724000,64.01
2014-11-11,63.36,63.87,62.64,62.89,577700,62.89
2014-11-10,63.74,64.40,61.91,63.01,894200,63.01
2014-11-07,64.28,67.28,62.38,65.39,1049300,65.39
2014-11-06,60.16,60.56,59.56,60.26,345000,60.26
2014-11-05,61.45,61.45,59.67,60.44,395700,60.44
2014-11-04,62.49,62.67,60.68,61.22,354200,61.22
2014-11-03,62.65,63.47,62.09,62.45,254300,62.45
2014-10-31,61.69,62.79,60.43,62.64,545100,62.64
2014-10-30,58.01,60.38,58.01,60.29,446700,60.29
2014-10-29,58.61,58.98,57.94,58.40,254100,58.40
2014-10-28,56.50,58.54,56.47,58.40,575500,58.40
2014-10-27,55.85,56.39,55.52,56.27,228500,56.27
2014-10-24,56.25,56.38,55.65,56.23,148800,56.23
2014-10-23,55.66,56.74,55.51,56.24,283900,56.24
2014-10-22,56.10,56.10,55.16,55.22,309100,55.22
2014-10-21,55.34,56.08,54.74,56.00,380000,56.00
2014-10-20,54.26,54.99,54.26,54.98,293900,54.98
2014-10-17,54.76,54.76,53.91,54.38,286500,54.38
2014-10-16,53.50,54.69,53.00,54.42,268500,54.42
2014-10-15,52.78,54.50,52.26,54.13,488200,54.13
2014-10-14,53.75,54.59,52.94,53.30,437900,53.30
2014-10-13,53.09,54.11,52.53,53.37,384500,53.37
2014-10-10,54.22,54.76,53.05,53.19,364900,53.19
2014-10-09,56.10,56.22,54.05,54.65,452700,54.65
2014-10-08,54.92,56.55,54.34,56.08,718400,56.08
2014-10-07,55.92,55.92,54.91,54.97,260900,54.97
2014-10-06,56.13,56.71,55.51,56.22,350600,56.22
2014-10-03,56.35,56.59,55.75,56.17,153900,56.17
2014-10-02,55.11,56.03,54.81,55.84,237400,55.84
2014-10-01,55.13,55.48,54.85,55.09,352200,55.09
