Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,62.60,66.23,62.60,65.90,40300,65.81
2014-12-30,60.28,61.50,60.28,61.21,11000,61.13
2014-12-29,60.35,61.74,58.87,60.81,13600,60.73
2014-12-26,60.80,61.16,60.06,60.63,4100,60.55
2014-12-24,59.58,61.50,59.48,61.05,19000,60.97
2014-12-23,58.80,61.45,58.74,59.58,25500,59.50
2014-12-22,59.19,59.30,56.34,58.80,52600,58.72
2014-12-19,57.45,61.03,56.79,58.53,40300,58.45
2014-12-18,57.04,58.31,56.00,57.77,36000,57.69
2014-12-17,54.74,57.82,53.50,56.43,50800,56.35
2014-12-16,51.49,55.12,51.32,54.74,22500,54.66
2014-12-15,50.98,52.18,48.89,51.74,47700,51.67
2014-12-12,51.79,52.40,50.15,50.40,6900,50.33
2014-12-11,52.79,53.44,52.49,52.66,4900,52.59
2014-12-10,55.56,55.56,52.57,52.60,10900,52.53
2014-12-09,55.26,56.37,55.26,55.89,19800,55.81
2014-12-08,55.50,56.34,54.53,55.61,28300,55.53
2014-12-05,55.93,56.95,55.35,56.00,14400,55.92
2014-12-04,56.80,57.07,54.98,56.01,10200,55.93
2014-12-03,55.00,57.30,55.00,56.52,38900,56.44
2014-12-02,53.48,56.36,53.24,55.39,31700,55.31
2014-12-01,53.82,54.40,52.56,53.08,12600,53.01
2014-11-28,54.17,55.95,53.06,53.82,16400,53.75
2014-11-26,53.78,54.67,52.89,54.66,29600,54.58
2014-11-25,54.69,56.04,52.71,53.40,26800,53.33
2014-11-24,55.71,56.64,54.40,55.13,26100,55.05
2014-11-21,56.95,56.95,55.60,55.60,3600,55.52
2014-11-20,56.30,56.30,55.21,55.86,4600,55.78
2014-11-19,57.06,58.05,56.37,56.37,6200,56.29
2014-11-18,56.99,57.05,56.64,56.80,7300,56.72
2014-11-17,57.77,57.79,55.77,56.50,13600,56.42
2014-11-14,61.02,61.02,58.65,58.65,7200,58.57
2014-11-13,62.14,62.48,60.50,60.54,7700,60.46
2014-11-12,61.95,62.36,61.49,62.18,5400,62.09
2014-11-11,62.53,62.95,61.94,62.29,41800,62.20
2014-11-10,62.83,63.41,62.13,62.89,8800,62.80
2014-11-07,62.09,62.60,61.65,62.19,27100,62.10
2014-11-06,62.59,62.68,61.28,62.30,8800,62.11
2014-11-05,61.88,63.06,61.62,63.06,15600,62.87
2014-11-04,60.46,62.07,60.32,61.59,14600,61.41
2014-11-03,60.00,61.09,58.94,60.65,17800,60.47
2014-10-31,60.83,61.09,56.10,60.28,29600,60.10
2014-10-30,58.55,60.65,58.08,59.34,7800,59.16
2014-10-29,57.72,58.50,57.40,57.86,8600,57.69
2014-10-28,54.36,59.64,54.36,58.00,14400,57.83
2014-10-27,52.45,54.54,52.35,53.83,16300,53.67
2014-10-24,51.60,52.92,51.49,52.50,9600,52.34
2014-10-23,51.44,51.50,50.50,51.39,9500,51.24
2014-10-22,50.69,51.31,50.61,50.76,9000,50.61
2014-10-21,51.00,51.50,50.44,50.87,7200,50.72
2014-10-20,50.63,51.40,50.31,50.48,15800,50.33
2014-10-17,52.21,52.38,50.50,50.68,18500,50.53
2014-10-16,51.05,51.59,50.51,51.35,13400,51.20
2014-10-15,50.85,52.94,50.32,52.26,12700,52.10
2014-10-14,52.60,52.89,51.01,51.17,15400,51.02
2014-10-13,49.26,52.20,49.25,52.14,10000,51.98
2014-10-10,49.82,50.42,49.53,49.71,4800,49.56
2014-10-09,51.07,51.07,49.51,50.20,7100,50.05
2014-10-08,49.00,51.39,49.00,51.05,11900,50.90
2014-10-07,49.00,51.26,49.00,49.24,47200,49.09
2014-10-06,51.23,51.45,48.85,49.21,35100,49.06
2014-10-03,52.05,52.40,49.22,50.80,11100,50.65
2014-10-02,51.01,51.85,49.68,51.25,25100,51.10
2014-10-01,49.26,51.80,49.00,51.25,29600,51.10
2014-09-30,51.06,51.06,49.00,49.02,43600,48.87
2014-09-29,49.00,51.34,48.55,51.04,29400,50.89
2014-09-26,49.33,49.87,48.72,49.57,21000,49.42
2014-09-25,52.17,52.17,49.31,49.43,15000,49.28
2014-09-24,52.47,53.09,52.04,52.56,6100,52.40
2014-09-23,53.52,54.41,47.51,52.44,15900,52.28
2014-09-22,55.08,55.16,53.51,53.52,11400,53.36
2014-09-19,55.25,56.24,54.97,55.40,25100,55.23
2014-09-18,54.72,55.61,53.04,55.12,4400,54.96
2014-09-17,55.92,55.92,54.82,55.01,5700,54.85
2014-09-16,54.10,56.19,54.10,55.75,11000,55.58
2014-09-15,56.60,56.65,53.80,54.12,20900,53.96
2014-09-12,58.87,59.11,56.89,57.09,11300,56.92
2014-09-11,57.86,60.06,57.81,59.24,26200,59.06
2014-09-10,58.00,58.57,57.51,57.86,8300,57.69
2014-09-09,59.58,59.58,58.15,58.15,6300,57.98
2014-09-08,60.20,60.65,59.90,59.90,6200,59.72
2014-09-05,60.58,61.10,59.90,60.57,9200,60.39
2014-09-04,60.08,61.59,60.08,60.40,3800,60.22
2014-09-03,58.73,60.40,58.73,60.14,10400,59.96
2014-09-02,59.33,60.11,58.60,60.11,23200,59.93
2014-08-29,58.70,60.38,58.01,59.33,12000,59.15
2014-08-28,61.15,61.15,58.43,58.62,9500,58.45
2014-08-27,61.39,61.39,60.39,60.49,3500,60.31
2014-08-26,60.90,61.59,60.45,61.28,9700,61.10
2014-08-25,60.89,61.45,60.35,61.19,10300,61.01
2014-08-22,65.17,65.17,60.00,60.56,22500,60.38
2014-08-21,62.26,62.26,61.28,62.06,9300,61.87
2014-08-20,63.70,63.70,61.67,61.88,5300,61.70
2014-08-19,61.18,63.99,61.18,63.40,13300,63.21
2014-08-18,60.54,61.58,58.62,61.20,8900,61.02
2014-08-15,60.87,60.87,58.88,59.89,10800,59.71
2014-08-14,59.65,60.99,59.65,60.35,5300,60.17
2014-08-13,60.57,60.84,59.72,60.77,14800,60.59
2014-08-12,60.42,60.61,58.61,59.60,8800,59.42
2014-08-11,60.07,61.20,59.23,60.86,21500,60.68
2014-08-08,58.41,60.15,58.10,59.40,6100,59.22
2014-08-07,59.80,60.14,58.04,58.05,10800,57.88
2014-08-06,57.64,59.79,57.64,59.67,18200,59.49
2014-08-05,56.84,58.50,56.84,57.84,9000,57.67
2014-08-04,56.70,58.38,56.70,57.80,28400,57.63
2014-08-01,59.66,60.38,56.71,56.71,20200,56.54
2014-07-31,61.68,61.68,59.50,59.57,19700,59.39
2014-07-30,61.51,62.97,61.14,62.61,12900,62.42
2014-07-29,60.60,61.63,60.35,61.20,14100,61.02
2014-07-28,63.80,63.80,60.34,61.00,40700,60.82
2014-07-25,65.54,66.11,64.12,64.36,24400,64.17
2014-07-24,67.11,67.78,66.16,66.25,17300,66.05
2014-07-23,67.43,68.36,67.13,67.38,7600,67.18
2014-07-22,68.11,68.11,66.13,67.58,10300,67.38
2014-07-21,69.42,69.42,66.00,67.34,23600,67.14
2014-07-18,68.80,70.53,68.80,70.30,10500,69.99
2014-07-17,69.23,69.98,68.66,68.98,12700,68.68
2014-07-16,70.09,70.09,69.15,69.34,9300,69.03
2014-07-15,70.36,70.48,69.30,69.95,8500,69.64
2014-07-14,69.76,70.97,69.23,70.12,17900,69.81
2014-07-11,70.69,70.69,68.22,69.39,12100,69.08
2014-07-10,71.19,72.31,70.52,71.11,11100,70.80
2014-07-09,74.63,74.71,72.69,72.70,38200,72.38
2014-07-08,74.08,74.76,72.01,74.45,17900,74.12
2014-07-07,73.78,74.86,72.00,74.40,29700,74.07
2014-07-03,71.87,73.89,70.67,73.57,13600,73.25
2014-07-02,72.00,72.38,70.89,71.10,20600,70.79
2014-07-01,70.30,73.85,70.30,72.58,41100,72.26
2014-06-30,65.21,70.35,63.93,70.32,109200,70.01
2014-06-27,64.23,65.04,64.23,64.96,32900,64.67
2014-06-26,63.44,64.66,63.44,64.58,14600,64.30
2014-06-25,65.03,65.03,63.85,64.43,26300,64.15
2014-06-24,63.14,65.29,62.46,64.98,36900,64.69
2014-06-23,65.24,65.70,62.55,63.79,12500,63.51
2014-06-20,65.06,65.06,63.73,64.78,19700,64.49
2014-06-19,66.20,66.20,63.94,64.49,12300,64.21
2014-06-18,65.02,65.58,64.12,65.08,9700,64.79
2014-06-17,65.10,66.70,62.50,64.79,11600,64.50
2014-06-16,64.86,67.61,62.36,66.45,29300,66.16
2014-06-13,65.34,66.49,65.05,65.49,13500,65.20
2014-06-12,67.29,67.37,64.89,64.90,4600,64.61
2014-06-11,66.83,68.50,64.67,67.26,29400,66.96
2014-06-10,68.37,68.98,66.08,67.34,6300,67.04
2014-06-09,67.14,69.00,67.00,68.28,28000,67.98
2014-06-06,63.90,67.94,63.09,67.14,30600,66.84
2014-06-05,61.50,63.30,60.75,63.30,23900,63.02
2014-06-04,61.82,62.49,61.31,61.80,26500,61.53
2014-06-03,62.62,62.87,61.89,62.42,12500,62.15
2014-06-02,61.77,64.97,61.00,62.66,25700,62.38
2014-05-30,61.99,63.17,61.21,61.91,19800,61.64
2014-05-29,63.71,63.71,61.38,62.38,17700,62.11
2014-05-28,63.11,63.89,62.41,62.41,10600,62.14
2014-05-27,63.93,66.65,63.88,64.27,30400,63.99
2014-05-23,62.33,63.97,61.66,63.77,18800,63.49
2014-05-22,60.52,63.30,60.50,62.15,28000,61.88
2014-05-21,61.27,61.77,59.69,61.72,30600,61.45
2014-05-20,62.18,62.84,60.44,60.77,29000,60.50
2014-05-19,61.30,62.40,59.60,62.40,73600,62.13
2014-05-16,62.73,62.73,59.80,61.47,19800,61.20
2014-05-15,63.75,63.75,62.05,62.40,30100,62.13
2014-05-14,66.71,67.18,62.72,64.26,35100,63.98
2014-05-13,67.77,68.00,66.55,66.58,20800,66.29
2014-05-12,64.67,68.52,64.11,67.79,26700,67.49
2014-05-09,62.97,65.39,62.78,64.80,14900,64.51
2014-05-08,65.09,65.62,63.17,63.42,13900,63.14
2014-05-07,64.51,67.71,63.52,65.22,15400,64.93
2014-05-06,62.78,66.26,62.00,64.81,22600,64.52
2014-05-05,65.44,66.64,61.50,62.82,51800,62.54
2014-05-02,63.04,66.36,61.41,66.10,37000,65.72
2014-05-01,61.70,63.31,58.90,62.78,52500,62.42
2014-04-30,60.21,62.47,60.06,62.47,12500,62.11
2014-04-29,60.80,62.00,59.73,60.18,15500,59.83
2014-04-28,60.93,61.09,57.47,60.78,26500,60.43
2014-04-25,60.82,62.10,58.32,60.93,21100,60.58
2014-04-24,59.99,61.80,58.43,61.31,19400,60.96
2014-04-23,59.98,60.10,58.53,59.44,10400,59.10
2014-04-22,57.87,60.25,57.87,60.02,20500,59.67
2014-04-21,57.10,60.39,57.10,58.28,29100,57.94
2014-04-17,55.69,57.68,54.85,57.00,18300,56.67
2014-04-16,54.47,56.35,54.01,55.68,51900,55.36
2014-04-15,54.30,54.54,53.45,54.23,27500,53.92
2014-04-14,55.04,55.04,54.01,54.32,27500,54.01
2014-04-11,54.88,55.64,54.30,54.50,14500,54.19
2014-04-10,56.50,56.79,54.62,55.40,38700,55.08
2014-04-09,55.62,56.85,55.62,56.59,12000,56.26
2014-04-08,55.06,55.80,55.00,55.54,9000,55.22
2014-04-07,56.13,56.71,54.55,54.81,19100,54.49
2014-04-04,58.00,58.82,56.20,56.54,13600,56.21
2014-04-03,57.00,57.96,56.56,57.96,18600,57.63
2014-04-02,54.51,56.65,54.51,56.40,14200,56.08
2014-04-01,53.00,54.54,52.85,54.50,9000,54.19
2014-03-31,52.11,52.74,49.75,52.70,8300,52.40
2014-03-28,52.85,52.85,51.32,52.00,6200,51.70
2014-03-27,52.33,53.00,51.96,52.70,18800,52.40
2014-03-26,52.00,53.00,51.41,52.02,11000,51.72
2014-03-25,51.18,52.19,50.90,51.99,8900,51.69
2014-03-24,49.68,51.40,48.65,51.15,10200,50.86
2014-03-21,50.65,50.65,47.80,49.68,53200,49.39
2014-03-20,50.28,50.50,49.50,50.45,5900,50.16
2014-03-19,51.81,51.81,50.41,50.89,7800,50.60
2014-03-18,49.70,51.81,48.09,51.81,8700,51.51
2014-03-17,49.07,50.53,46.71,49.84,14100,49.55
2014-03-14,48.62,49.80,48.62,48.95,3300,48.67
2014-03-13,51.00,51.00,48.66,49.30,12100,49.02
2014-03-12,48.17,51.00,47.63,51.00,10700,50.71
2014-03-11,47.77,48.87,47.77,48.18,8100,47.90
2014-03-10,47.36,47.47,46.61,47.47,5600,47.20
2014-03-07,49.12,49.49,47.46,47.67,5700,47.40
2014-03-06,50.55,50.99,48.41,49.08,7700,48.80
2014-03-05,50.90,50.99,49.60,50.52,9200,50.23
2014-03-04,47.87,51.85,47.87,50.90,23700,50.61
2014-03-03,47.97,48.30,44.11,47.07,9300,46.80
2014-02-28,49.10,50.60,47.66,48.30,7900,48.02
2014-02-27,46.72,49.20,46.50,48.99,9400,48.71
2014-02-26,47.25,49.65,47.25,48.17,10900,47.89
2014-02-25,48.66,48.66,46.52,46.82,5000,46.55
2014-02-24,46.76,49.26,46.76,48.18,13300,47.90
2014-02-21,46.12,46.99,45.71,46.26,11400,45.99
2014-02-20,44.54,46.19,44.43,46.10,21300,45.83
2014-02-19,45.98,45.98,44.59,44.70,10300,44.44
2014-02-18,43.99,44.71,41.41,44.38,16500,44.12
2014-02-14,43.84,45.49,43.67,44.18,14300,43.93
2014-02-13,43.56,43.99,42.81,43.76,13800,43.51
2014-02-12,42.40,43.59,42.13,42.83,21700,42.58
2014-02-11,41.68,42.39,41.28,42.10,10400,41.86
2014-02-10,41.17,41.76,41.17,41.48,13500,41.24
2014-02-07,41.13,41.51,40.90,41.17,11700,40.93
2014-02-06,41.58,42.20,40.74,40.90,12300,40.66
2014-02-05,42.01,42.72,41.25,41.28,11600,41.04
2014-02-04,41.40,42.72,41.25,42.00,13500,41.76
2014-02-03,44.26,44.26,39.98,41.85,18800,41.61
2014-01-31,43.92,45.03,43.01,44.11,28300,43.77
2014-01-30,44.08,47.27,43.91,44.82,10900,44.47
2014-01-29,46.11,46.11,43.11,43.59,9700,43.25
2014-01-28,45.26,46.56,45.00,45.11,21700,44.76
2014-01-27,47.34,47.34,45.11,45.52,8900,45.17
2014-01-24,48.20,49.00,47.05,47.08,7500,46.71
2014-01-23,48.09,49.07,47.54,48.80,23700,48.42
2014-01-22,47.00,49.28,47.00,48.18,33200,47.80
2014-01-21,48.83,48.83,47.45,48.45,7700,48.07
2014-01-17,49.08,50.13,48.41,48.85,18000,48.47
2014-01-16,49.99,50.46,48.82,49.00,5000,48.62
2014-01-15,50.25,51.20,50.19,50.23,6400,49.84
2014-01-14,48.61,50.57,48.61,50.11,5400,49.72
2014-01-13,47.85,48.91,47.79,48.21,12400,47.83
2014-01-10,48.27,48.53,45.83,47.79,6000,47.42
2014-01-09,47.66,48.80,46.78,47.99,31800,47.62
2014-01-08,48.02,48.50,47.75,47.92,16700,47.55
2014-01-07,46.66,48.48,46.66,47.95,14900,47.58
2014-01-06,48.33,49.72,46.31,46.41,35200,46.05
2014-01-03,47.04,49.06,46.34,48.57,31700,48.19
2014-01-02,47.91,48.18,46.52,46.75,8900,46.39
2013-12-31,48.35,48.36,48.00,48.01,7500,47.64
2013-12-30,48.00,48.62,48.00,48.30,18200,47.92
2013-12-27,48.79,48.79,48.03,48.10,3800,47.73
2013-12-26,49.15,49.39,48.54,48.58,6300,48.20
2013-12-24,48.86,49.29,48.32,49.00,3800,48.62
2013-12-23,46.96,50.00,46.96,49.29,17900,48.91
2013-12-20,45.39,48.20,45.39,46.57,45700,46.21
2013-12-19,45.45,45.65,44.62,45.17,4000,44.82
2013-12-18,45.65,46.59,44.51,45.97,22500,45.61
2013-12-17,46.62,47.49,45.03,46.46,22000,46.10
2013-12-16,47.26,48.17,46.28,46.50,8000,46.14
2013-12-13,47.12,47.80,47.12,47.25,6200,46.88
2013-12-12,46.34,47.93,46.34,47.62,11900,47.25
2013-12-11,48.32,49.36,46.11,46.46,6000,46.10
2013-12-10,49.83,50.01,48.10,48.10,7500,47.73
2013-12-09,49.99,51.32,49.67,49.73,12400,49.34
2013-12-06,47.93,50.20,47.60,49.81,27600,49.42
2013-12-05,48.35,48.35,47.05,47.63,3300,47.26
2013-12-04,47.46,48.72,47.28,48.59,8400,48.21
2013-12-03,48.64,49.00,47.31,47.76,7700,47.39
2013-12-02,51.14,51.16,48.22,48.94,6100,48.56
2013-11-29,51.80,51.80,50.41,51.22,4800,50.82
2013-11-27,51.11,52.67,51.11,52.20,5200,51.79
2013-11-26,50.35,52.10,50.03,51.24,11400,50.84
2013-11-25,49.88,50.35,49.70,50.32,8700,49.93
2013-11-22,49.50,49.88,48.20,49.67,9700,49.28
2013-11-21,48.95,49.85,48.95,49.49,12600,49.10
2013-11-20,46.01,48.95,46.01,48.60,4800,48.22
2013-11-19,46.07,47.90,45.97,47.69,22500,47.32
2013-11-18,46.38,47.25,45.80,46.85,15200,46.49
2013-11-15,46.29,47.00,45.35,46.23,12500,45.87
2013-11-14,46.27,47.00,46.27,46.36,6100,46.00
2013-11-13,45.83,46.50,45.50,46.47,6400,46.11
2013-11-12,45.48,46.52,45.48,46.19,5500,45.83
2013-11-11,46.11,46.40,45.50,45.84,3500,45.48
2013-11-08,45.99,46.81,44.91,46.47,8900,46.11
2013-11-07,46.36,46.62,45.66,46.39,9700,45.94
2013-11-06,45.59,46.92,45.59,46.66,8500,46.21
2013-11-05,41.94,47.16,41.94,45.24,20900,44.80
2013-11-04,41.84,42.50,41.54,42.23,12200,41.82
2013-11-01,43.44,43.50,41.73,42.08,16700,41.67
2013-10-31,46.67,47.83,41.71,43.80,25200,43.37
2013-10-30,47.97,48.46,47.00,47.07,7000,46.61
2013-10-29,48.85,48.94,47.00,48.26,17300,47.79
2013-10-28,48.25,48.74,47.90,48.58,13500,48.11
