Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,8.81,9.41,8.78,9.14,470100,9.14
2014-12-30,8.68,8.96,8.66,8.87,25800,8.87
2014-12-29,8.55,8.74,8.32,8.65,363100,8.65
2014-12-26,8.39,8.59,8.29,8.55,255200,8.55
2014-12-24,8.09,8.55,8.09,8.30,219700,8.30
2014-12-23,8.42,8.56,8.01,8.11,315700,8.11
2014-12-22,8.36,8.50,8.30,8.39,222300,8.39
2014-12-19,8.66,8.66,8.39,8.44,527600,8.44
2014-12-18,8.50,8.67,8.35,8.64,333100,8.64
2014-12-17,8.32,8.41,8.17,8.34,353900,8.34
2014-12-16,8.19,8.51,8.02,8.20,214700,8.20
2014-12-15,9.08,9.14,8.09,8.19,440800,8.19
2014-12-12,8.97,9.13,8.90,8.99,213400,8.99
2014-12-11,9.04,9.13,8.93,9.03,228900,9.03
2014-12-10,9.08,9.15,8.90,8.97,196200,8.97
2014-12-09,8.96,9.22,8.80,9.15,152800,9.15
2014-12-08,9.30,9.47,9.06,9.07,109300,9.07
2014-12-05,9.27,9.40,9.24,9.35,108000,9.35
2014-12-04,9.47,9.47,9.17,9.20,102000,9.20
2014-12-03,9.37,9.47,9.13,9.39,130000,9.39
2014-12-02,9.07,9.41,9.04,9.40,177800,9.40
2014-12-01,9.30,9.37,9.04,9.08,261800,9.08
2014-11-28,9.21,9.52,9.21,9.30,206000,9.30
2014-11-26,9.10,9.20,9.03,9.18,176000,9.18
2014-11-25,9.23,9.28,8.85,9.04,185300,9.04
2014-11-24,8.94,9.21,8.94,9.18,191000,9.18
2014-11-21,9.01,9.09,8.79,8.93,333200,8.93
2014-11-20,8.80,8.90,8.61,8.81,244900,8.81
2014-11-19,8.91,9.04,8.71,8.81,124700,8.81
2014-11-18,9.02,9.12,8.94,8.97,149500,8.97
2014-11-17,9.01,9.20,9.00,9.00,103300,9.00
2014-11-14,9.26,9.28,9.00,9.06,143900,9.06
2014-11-13,9.39,9.52,9.19,9.22,128700,9.22
2014-11-12,9.15,9.41,9.14,9.37,271600,9.37
2014-11-11,9.10,9.23,8.99,9.20,199600,9.20
2014-11-10,9.09,9.19,8.87,9.08,191400,9.08
2014-11-07,8.92,9.09,8.80,9.03,283800,9.03
2014-11-06,9.26,9.40,8.83,8.97,368600,8.97
2014-11-05,9.61,9.61,9.19,9.25,122500,9.25
2014-11-04,9.38,9.57,9.25,9.50,181900,9.50
2014-11-03,9.51,9.71,9.25,9.45,162300,9.45
2014-10-31,10.06,10.06,9.39,9.49,246800,9.49
2014-10-30,9.39,10.04,9.25,9.80,176100,9.80
2014-10-29,9.79,9.81,9.25,9.41,121200,9.41
2014-10-28,9.80,10.17,9.75,9.80,299400,9.80
2014-10-27,9.51,9.84,9.42,9.74,159200,9.74
2014-10-24,8.97,9.92,8.97,9.59,401700,9.59
2014-10-23,9.17,9.50,8.85,8.96,344300,8.96
2014-10-22,9.05,9.15,8.81,8.99,104900,8.99
2014-10-21,9.08,9.20,8.79,8.98,140100,8.98
2014-10-20,8.88,9.38,8.88,9.20,106600,9.20
2014-10-17,9.42,9.42,8.84,8.95,170900,8.95
2014-10-16,8.81,9.40,8.58,9.17,287900,9.17
2014-10-15,8.74,9.13,8.44,9.03,227300,9.03
2014-10-14,8.77,9.24,8.50,9.02,284000,9.02
2014-10-13,8.39,8.84,8.10,8.64,164500,8.64
2014-10-10,8.36,8.82,8.30,8.33,148400,8.33
2014-10-09,8.69,8.93,8.32,8.41,127800,8.41
