Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.95,23.95,23.95,23.95,200,23.95
2014-12-30,23.10,23.54,23.10,23.46,3300,23.46
2014-12-29,23.10,23.10,23.10,23.10,200,23.10
2014-12-26,23.00,23.00,23.00,23.00,200,23.00
2014-12-24,23.40,23.99,23.40,23.47,2400,23.47
2014-12-23,23.24,23.80,23.06,23.44,11200,23.44
2014-12-22,23.03,23.03,23.00,23.00,700,23.00
2014-12-19,22.60,22.60,22.60,22.60,1100,22.60
2014-12-18,22.60,22.60,22.60,22.60,000,22.60
2014-12-17,22.59,23.50,22.25,22.60,8100,22.60
2014-12-16,23.06,23.06,23.05,23.05,300,22.45
2014-12-15,22.95,22.95,22.80,22.94,2000,22.34
2014-12-12,22.81,22.81,22.81,22.81,200,22.22
2014-12-11,22.84,22.84,22.84,22.84,000,22.25
2014-12-10,22.84,22.84,22.84,22.84,000,22.25
2014-12-09,22.84,22.84,22.84,22.84,000,22.25
2014-12-08,22.84,22.84,22.84,22.84,000,22.25
2014-12-05,22.84,22.84,22.84,22.84,000,22.25
2014-12-04,22.84,22.84,22.84,22.84,000,22.25
2014-12-03,22.84,22.84,22.84,22.84,000,22.25
2014-12-02,22.84,22.84,22.84,22.84,500,22.25
2014-12-01,23.24,23.24,23.24,23.24,700,22.64
2014-11-28,22.91,22.91,22.91,22.91,000,22.31
2014-11-26,22.91,22.91,22.91,22.91,000,22.31
2014-11-25,22.91,22.91,22.91,22.91,000,22.31
2014-11-24,22.91,22.91,22.91,22.91,000,22.31
2014-11-21,22.91,22.91,22.91,22.91,000,22.31
2014-11-20,22.91,22.91,22.91,22.91,000,22.31
2014-11-19,22.92,22.95,22.90,22.91,1300,22.31
2014-11-18,22.75,22.85,22.75,22.85,200,22.26
2014-11-17,22.85,22.95,22.85,22.88,2400,22.28
2014-11-14,22.50,22.50,22.50,22.50,000,21.91
2014-11-13,22.50,22.50,22.50,22.50,000,21.91
2014-11-12,22.50,22.50,22.50,22.50,000,21.91
2014-11-11,22.50,22.50,22.50,22.50,000,21.91
2014-11-10,22.50,22.50,22.50,22.50,000,21.91
2014-11-07,22.50,22.50,22.50,22.50,000,21.91
2014-11-06,22.54,22.54,22.50,22.50,1000,21.91
2014-11-05,22.97,22.97,22.97,22.97,200,22.37
2014-11-04,22.51,22.95,22.04,22.95,2100,22.35
2014-11-03,22.58,22.58,22.58,22.58,100,21.99
2014-10-31,23.00,23.00,22.80,22.80,900,22.21
2014-10-30,22.80,22.80,22.80,22.80,000,22.21
2014-10-29,22.80,22.80,22.80,22.80,000,22.21
2014-10-28,22.80,22.80,22.80,22.80,000,22.21
2014-10-27,22.80,22.80,22.80,22.80,000,22.21
2014-10-24,22.80,22.80,22.80,22.80,000,22.21
2014-10-23,22.80,22.80,22.80,22.80,900,22.21
2014-10-22,22.50,22.50,22.50,22.50,000,21.91
2014-10-21,22.50,22.50,22.50,22.50,000,21.91
2014-10-20,22.50,22.50,22.50,22.50,000,21.91
2014-10-17,22.50,22.50,22.50,22.50,000,21.91
2014-10-16,22.50,22.50,22.50,22.50,000,21.91
2014-10-15,22.68,22.70,22.50,22.50,1100,21.91
2014-10-14,22.99,22.99,22.81,22.81,400,22.22
