Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.86,21.30,20.78,21.00,95500,21.00
2014-12-30,20.95,21.14,20.76,20.85,2300,20.85
2014-12-29,20.96,21.14,20.43,20.80,380200,20.80
2014-12-26,21.00,21.50,20.89,21.26,79300,21.26
2014-12-24,21.11,21.25,20.75,20.86,47800,20.86
2014-12-23,20.74,21.15,20.45,21.12,85100,21.12
2014-12-22,20.52,21.14,20.39,20.69,69300,20.69
2014-12-19,20.57,20.71,20.23,20.71,101100,20.71
2014-12-18,20.11,20.62,19.92,20.60,204900,20.60
2014-12-17,19.51,20.11,19.25,19.90,244500,19.90
2014-12-16,20.95,20.95,19.49,19.54,232400,19.54
2014-12-15,21.64,21.77,20.66,20.94,103500,20.94
2014-12-12,21.70,21.93,21.49,21.59,58000,21.59
2014-12-11,21.61,22.38,21.61,21.91,154700,21.91
2014-12-10,21.85,22.50,21.67,21.88,324500,21.88
2014-12-09,21.21,21.92,21.02,21.87,215000,21.87
2014-12-08,21.57,21.83,21.30,21.47,213800,21.47
2014-12-05,21.17,21.95,21.17,21.77,127000,21.77
2014-12-04,21.32,21.33,20.77,21.15,149000,21.15
2014-12-03,21.03,21.60,20.76,21.23,199100,21.23
2014-12-02,20.51,21.19,20.45,21.08,138200,21.08
2014-12-01,20.45,21.09,20.17,20.51,157600,20.51
2014-11-28,21.85,21.86,21.34,21.41,68900,21.41
2014-11-26,22.00,22.00,21.33,21.76,1038500,21.76
2014-11-25,21.61,22.21,21.50,21.98,322600,21.98
2014-11-24,21.45,21.60,21.10,21.48,256900,21.48
2014-11-21,20.63,21.78,20.60,21.45,225800,21.45
2014-11-20,19.94,20.48,19.63,20.46,157200,20.46
2014-11-19,19.70,20.05,19.58,19.99,126600,19.99
2014-11-18,19.59,20.09,19.56,19.97,152800,19.97
2014-11-17,20.20,20.68,19.64,19.94,133900,19.94
2014-11-14,20.42,20.66,19.91,20.24,158200,20.24
2014-11-13,19.00,20.78,18.99,20.35,527100,20.35
2014-11-12,17.69,19.11,17.62,18.98,370800,18.98
2014-11-11,17.41,17.76,17.31,17.75,211900,17.75
2014-11-10,16.90,17.65,16.90,17.49,169500,17.49
2014-11-07,17.10,17.50,16.84,17.44,167500,17.44
2014-11-06,17.62,17.62,16.35,17.06,961700,17.06
2014-11-05,17.56,18.00,17.03,17.69,1341500,17.69
2014-11-04,17.01,17.16,16.82,16.94,228400,16.94
2014-11-03,17.00,17.35,17.00,17.06,71300,17.06
2014-10-31,16.96,17.24,16.47,16.99,276300,16.99
2014-10-30,16.73,16.74,16.15,16.58,115500,16.58
2014-10-29,16.56,16.97,16.56,16.74,111300,16.74
2014-10-28,16.54,16.65,16.00,16.62,316100,16.62
2014-10-27,16.30,16.34,16.08,16.19,222500,16.19
2014-10-24,16.44,16.53,16.20,16.27,103100,16.27
2014-10-23,16.83,17.61,16.36,16.49,129300,16.49
2014-10-22,17.35,17.38,16.76,16.84,130800,16.84
2014-10-21,17.30,17.66,17.00,17.38,119600,17.38
2014-10-20,17.02,17.57,17.02,17.15,121600,17.15
2014-10-17,17.95,17.95,17.10,17.22,90600,17.22
2014-10-16,16.71,17.82,16.68,17.78,175400,17.78
2014-10-15,16.20,16.95,16.20,16.64,96400,16.64
2014-10-14,16.46,16.99,16.23,16.48,142200,16.48
2014-10-13,16.53,17.30,16.30,16.50,93600,16.50
2014-10-10,16.71,17.32,16.45,16.52,64100,16.52
2014-10-09,17.41,17.45,16.80,16.83,65900,16.83
2014-10-08,16.85,17.45,16.54,17.41,71600,17.41
2014-10-07,17.40,17.40,16.77,16.80,92200,16.80
2014-10-06,17.93,17.98,17.01,17.50,91900,17.50
2014-10-03,17.03,18.33,17.03,17.83,248700,17.83
2014-10-02,16.63,16.95,16.58,16.83,67800,16.83
2014-10-01,16.24,16.82,16.03,16.68,102600,16.68
2014-09-30,16.82,16.95,16.19,16.25,104100,16.25
