Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,32.50,33.73,32.20,33.21,183800,33.21
2014-12-30,32.35,32.69,32.31,32.59,3200,32.59
2014-12-29,33.17,33.17,32.07,32.49,85600,32.49
2014-12-26,32.51,33.40,32.17,33.00,62900,33.00
2014-12-24,32.52,33.51,32.20,32.40,106300,32.40
2014-12-23,32.41,32.53,31.70,32.44,139300,32.44
2014-12-22,32.17,32.67,31.60,32.15,134800,32.15
2014-12-19,32.66,32.66,31.23,32.27,176300,32.27
2014-12-18,33.15,33.99,31.98,32.50,130800,32.50
2014-12-17,30.01,32.66,29.13,32.25,267200,32.25
2014-12-16,29.13,30.71,29.12,29.43,201100,29.43
2014-12-15,31.15,32.07,28.87,29.32,230200,29.32
2014-12-12,31.13,33.20,30.15,30.85,160500,30.85
2014-12-11,32.57,34.54,31.59,31.78,136800,31.78
2014-12-10,34.18,34.66,32.40,32.67,127600,32.67
2014-12-09,31.19,34.77,31.17,34.67,191700,34.67
2014-12-08,33.67,33.75,31.06,31.27,178400,31.27
2014-12-05,33.99,34.35,33.47,33.95,145600,33.95
2014-12-04,35.03,35.68,33.83,33.94,309800,33.94
2014-12-03,35.57,37.34,35.00,35.23,217400,35.23
2014-12-02,35.70,36.54,34.96,35.25,206500,35.25
2014-12-01,37.52,37.72,34.85,35.71,242600,35.71
2014-11-28,39.02,39.24,37.03,37.54,136800,37.54
2014-11-26,39.06,40.08,38.29,39.96,134300,39.96
2014-11-25,39.83,39.83,38.26,39.00,218300,39.00
2014-11-24,39.66,40.16,39.00,39.48,176400,39.48
2014-11-21,39.58,40.99,38.83,39.69,141800,39.69
2014-11-20,37.60,39.24,37.60,39.01,179600,39.01
2014-11-19,38.37,38.37,36.82,37.70,120900,37.70
2014-11-18,37.19,39.49,36.83,38.31,169600,38.31
2014-11-17,37.47,38.12,36.25,37.04,95700,37.04
2014-11-14,36.18,38.00,36.00,37.82,71100,37.82
2014-11-13,37.38,37.68,35.75,36.32,120500,36.32
2014-11-12,36.60,37.91,36.22,37.44,76400,37.44
2014-11-11,36.76,37.60,35.91,37.04,96700,37.04
2014-11-10,39.66,39.66,35.83,36.84,159400,36.84
2014-11-07,37.09,40.16,37.09,39.68,216300,39.68
2014-11-06,36.99,38.37,36.92,36.99,87300,36.99
2014-11-05,36.63,37.49,36.17,37.12,156300,37.12
2014-11-04,36.07,36.65,34.96,36.07,99800,36.07
2014-11-03,36.72,38.42,36.20,36.59,204300,36.59
2014-10-31,35.25,36.84,35.09,36.57,219000,36.57
2014-10-30,34.48,35.64,34.09,34.97,177700,34.97
2014-10-29,34.05,34.85,33.13,34.77,153500,34.77
2014-10-28,31.63,33.85,31.00,33.76,254200,33.76
2014-10-27,32.83,32.83,31.54,31.59,101000,31.59
2014-10-24,33.19,34.97,32.12,33.36,94400,33.36
2014-10-23,34.76,35.99,32.66,33.46,194600,33.46
2014-10-22,36.09,36.17,33.72,34.06,191300,34.06
2014-10-21,35.85,36.19,35.24,36.08,230000,36.08
2014-10-20,36.30,36.35,35.00,35.49,381400,35.49
2014-10-17,36.33,38.54,35.65,36.97,733400,36.97
2014-10-16,27.81,30.94,27.59,30.65,228400,30.65
2014-10-15,28.66,29.15,27.49,28.53,476900,28.53
2014-10-14,30.93,31.21,28.18,29.37,519100,29.37
2014-10-13,34.46,35.33,30.52,30.54,451400,30.54
2014-10-10,35.41,36.33,34.37,34.45,213900,34.45
2014-10-09,37.56,38.01,35.26,35.60,137800,35.60
2014-10-08,37.07,37.82,34.72,37.73,258400,37.73
2014-10-07,38.27,39.16,37.05,37.15,117700,37.15
2014-10-06,38.09,39.23,37.32,38.52,151800,38.52
2014-10-03,39.05,39.52,37.50,38.10,163400,38.10
2014-10-02,37.44,38.97,37.27,38.73,186100,38.73
2014-10-01,38.74,38.77,36.77,37.57,220500,37.57
2014-09-30,36.04,37.85,35.56,37.41,277800,37.41
2014-09-29,35.50,36.30,34.78,36.20,288400,36.20
2014-09-26,36.36,36.42,34.87,36.22,172700,36.22
2014-09-25,38.97,38.97,36.14,36.16,195500,36.16
2014-09-24,39.45,39.56,38.53,39.08,91900,39.08
2014-09-23,39.19,39.97,38.85,39.34,113100,39.34
2014-09-22,40.10,40.33,38.78,39.33,161100,39.33
2014-09-19,39.70,40.42,39.70,40.27,541300,40.27
2014-09-18,39.37,39.72,38.71,39.64,103600,39.64
2014-09-17,39.45,39.81,38.91,39.33,92800,39.33
2014-09-16,38.01,39.55,38.01,39.30,130400,39.30
2014-09-15,39.11,39.35,37.88,38.34,157900,38.34
2014-09-12,39.77,40.02,38.35,38.86,124600,38.86
2014-09-11,39.00,40.36,38.39,40.25,119400,40.25
2014-09-10,40.10,40.38,39.27,39.46,161800,39.46
2014-09-09,41.77,41.77,39.89,40.17,153500,40.17
2014-09-08,42.09,42.12,41.15,41.88,80100,41.88
2014-09-05,42.85,42.93,41.84,42.19,54300,42.19
2014-09-04,42.87,43.76,42.16,42.95,131000,42.95
2014-09-03,41.43,42.73,41.43,42.64,81500,42.64
2014-09-02,42.12,42.22,41.00,41.23,99900,41.23
2014-08-29,42.12,42.17,41.08,42.01,81100,42.01
2014-08-28,41.92,42.24,41.63,42.04,72700,42.04
2014-08-27,42.69,42.77,42.04,42.27,97600,42.27
2014-08-26,42.50,42.71,42.35,42.60,62200,42.60
2014-08-25,43.05,43.35,42.05,42.45,87500,42.45
2014-08-22,42.03,42.95,41.61,42.68,108500,42.68
2014-08-21,41.96,42.32,41.61,42.01,98700,42.01
2014-08-20,42.65,42.96,41.64,42.05,114300,42.05
2014-08-19,43.81,44.10,42.72,42.75,106100,42.75
2014-08-18,42.67,43.61,42.40,43.59,107700,43.59
2014-08-15,43.24,43.38,41.92,42.31,129600,42.31
2014-08-14,42.70,43.74,42.23,42.77,130200,42.77
2014-08-13,42.61,43.27,42.54,42.88,90200,42.88
2014-08-12,43.94,43.94,41.77,42.36,199300,42.36
2014-08-11,43.93,45.19,43.35,44.22,150400,44.22
2014-08-08,42.53,43.74,42.53,43.59,134600,43.59
2014-08-07,42.90,43.60,42.07,42.37,93900,42.37
2014-08-06,42.53,43.22,42.53,42.85,128100,42.85
2014-08-05,42.61,43.13,42.26,42.71,155000,42.71
2014-08-04,42.65,43.57,41.58,42.98,285100,42.98
2014-08-01,43.00,43.55,41.80,42.46,356700,42.46
2014-07-31,42.96,43.72,41.75,43.09,471600,43.09
2014-07-30,43.07,43.84,42.46,43.41,255600,43.41
2014-07-29,41.25,43.37,41.00,42.93,289900,42.93
2014-07-28,42.44,42.72,40.71,41.00,361800,41.00
2014-07-25,41.58,43.45,41.58,42.04,286200,42.04
2014-07-24,42.17,42.94,41.76,41.95,226500,41.95
2014-07-23,42.26,42.97,41.84,42.10,228300,42.10
2014-07-22,41.90,42.29,41.60,42.01,186800,42.01
2014-07-21,41.89,42.08,41.01,41.66,259200,41.66
2014-07-18,40.72,42.51,40.32,41.92,245300,41.92
2014-07-17,41.19,41.79,40.49,40.62,159800,40.62
2014-07-16,40.63,41.39,40.16,41.25,176200,41.25
2014-07-15,40.00,40.41,39.04,40.27,191000,40.27
2014-07-14,39.74,40.65,39.50,40.00,274500,40.00
2014-07-11,38.00,39.80,37.56,39.31,1007800,39.31
2014-07-10,35.20,37.56,35.18,37.00,316100,37.00
2014-07-09,35.65,36.55,34.91,36.09,140700,36.09
2014-07-08,35.50,35.97,33.60,35.61,238000,35.61
2014-07-07,37.95,38.44,36.65,36.83,131500,36.83
2014-07-03,37.51,38.31,37.32,38.15,96600,38.15
2014-07-02,36.96,37.75,36.85,37.22,93200,37.22
2014-07-01,36.23,37.46,36.23,36.96,160100,36.96
2014-06-30,36.06,36.65,35.73,36.28,95400,36.28
2014-06-27,36.22,36.73,35.91,36.37,287700,36.37
2014-06-26,36.40,36.75,36.20,36.52,108000,36.52
2014-06-25,35.10,36.27,34.85,36.26,134000,36.26
2014-06-24,36.50,36.80,35.08,35.32,141200,35.32
2014-06-23,36.85,37.15,36.35,36.52,123600,36.52
2014-06-20,37.00,37.10,36.28,36.66,316600,36.66
2014-06-19,35.99,37.00,35.81,36.98,145200,36.98
2014-06-18,35.02,35.88,34.90,35.76,137300,35.76
2014-06-17,34.77,35.60,34.76,34.88,222200,34.88
2014-06-16,34.76,35.08,34.21,34.92,137600,34.92
2014-06-13,34.50,35.24,34.26,34.73,121500,34.73
2014-06-12,34.79,34.79,33.94,34.37,83600,34.37
2014-06-11,34.32,35.24,34.01,34.65,132800,34.65
2014-06-10,34.31,34.50,33.44,34.42,118500,34.42
2014-06-09,32.91,34.38,32.80,34.32,162100,34.32
2014-06-06,32.53,32.94,32.27,32.74,116200,32.74
2014-06-05,31.95,32.58,31.44,32.31,160800,32.31
2014-06-04,31.06,31.99,30.83,31.96,199300,31.96
2014-06-03,30.67,31.41,30.23,31.20,197300,31.20
2014-06-02,30.54,30.83,30.05,30.76,153200,30.76
2014-05-30,30.49,30.59,30.15,30.47,141000,30.47
2014-05-29,30.51,30.71,30.00,30.35,144600,30.35
2014-05-28,30.19,30.40,29.53,30.31,153600,30.31
2014-05-27,28.72,30.50,28.72,30.18,183500,30.18
2014-05-23,28.44,28.72,28.26,28.55,151900,28.55
2014-05-22,28.08,28.50,27.53,28.40,104600,28.40
2014-05-21,28.02,28.66,27.55,27.97,87200,27.97
2014-05-20,28.13,28.30,27.17,27.75,115900,27.75
2014-05-19,27.00,28.41,26.86,28.12,70800,28.12
2014-05-16,26.70,27.11,26.01,27.01,111100,27.01
2014-05-15,26.50,27.07,25.79,26.73,98000,26.73
2014-05-14,27.63,27.89,26.37,26.68,137800,26.68
2014-05-13,28.14,28.60,27.63,27.65,110700,27.65
2014-05-12,27.95,28.95,27.95,28.23,127700,28.23
2014-05-09,27.52,28.21,27.41,27.95,68000,27.95
2014-05-08,27.94,28.23,27.30,27.64,105500,27.64
2014-05-07,28.18,28.97,27.50,28.13,135000,28.13
2014-05-06,28.31,29.02,27.56,28.03,190400,28.03
2014-05-05,28.41,29.10,27.90,28.46,135400,28.46
2014-05-02,28.67,29.47,28.42,28.69,87500,28.69
2014-05-01,29.48,29.54,28.38,28.71,97700,28.71
2014-04-30,29.11,29.92,28.80,29.61,99700,29.61
2014-04-29,27.57,30.13,27.57,29.26,161500,29.26
2014-04-28,28.68,28.81,27.08,27.29,178600,27.29
2014-04-25,29.46,30.15,28.17,28.82,200300,28.82
2014-04-24,30.45,30.90,29.52,29.83,104600,29.83
2014-04-23,30.34,30.60,29.84,30.20,71400,30.20
2014-04-22,30.43,30.94,30.07,30.54,89600,30.54
2014-04-21,29.77,30.70,29.57,30.54,68800,30.54
2014-04-17,30.41,30.79,29.68,29.86,84500,29.86
2014-04-16,29.95,30.50,29.31,30.36,69400,30.36
2014-04-15,29.77,30.28,28.64,29.68,104900,29.68
2014-04-14,29.93,30.75,28.89,29.56,70400,29.56
2014-04-11,29.77,30.33,29.09,29.70,69500,29.70
2014-04-10,31.52,31.52,29.38,30.06,114300,30.06
2014-04-09,31.30,31.79,30.77,31.58,95200,31.58
2014-04-08,30.43,31.83,30.43,31.12,222000,31.12
2014-04-07,30.24,30.67,29.61,30.27,103000,30.27
2014-04-04,31.00,32.00,30.12,30.49,137000,30.49
2014-04-03,31.19,31.30,30.31,30.95,150800,30.95
2014-04-02,31.45,31.60,30.97,31.00,189300,31.00
2014-04-01,29.72,31.49,29.72,31.38,171800,31.38
2014-03-31,29.32,30.00,29.10,29.78,234700,29.78
2014-03-28,28.13,29.50,28.06,29.06,165500,29.06
2014-03-27,28.66,29.09,27.89,28.06,148500,28.06
2014-03-26,29.03,29.39,28.56,28.83,183800,28.83
