Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,13.34,13.72,13.34,13.49,118200,13.49
2014-12-30,13.30,13.46,13.30,13.36,1800,13.36
2014-12-29,13.29,13.43,12.86,13.25,144400,13.25
2014-12-26,12.90,13.36,12.81,13.26,130100,13.26
2014-12-24,12.67,12.87,12.25,12.77,90900,12.77
2014-12-23,12.08,12.60,11.52,12.32,200900,12.32
2014-12-22,10.66,12.68,10.62,11.97,401700,11.97
2014-12-19,11.60,11.79,10.57,10.80,247100,10.80
2014-12-18,11.34,12.21,11.33,11.73,212300,11.73
2014-12-17,11.45,12.16,10.55,11.33,549500,11.33
2014-12-16,14.97,14.97,11.80,11.89,623500,11.89
2014-12-15,15.48,15.58,14.80,14.97,112200,14.97
2014-12-12,15.79,15.89,15.20,15.35,117800,15.35
2014-12-11,15.20,16.55,15.03,15.98,105300,15.98
2014-12-10,15.57,16.08,15.02,15.20,219200,15.20
2014-12-09,16.50,16.65,14.32,15.92,453100,15.92
2014-12-08,18.10,18.36,16.61,16.83,193600,16.83
2014-12-05,18.02,18.38,17.92,18.09,69700,18.09
2014-12-04,17.81,18.19,17.81,18.02,102400,18.02
2014-12-03,18.60,18.92,17.82,17.90,125100,17.90
2014-12-02,17.65,18.54,17.65,18.42,126700,18.42
2014-12-01,18.81,18.81,17.52,17.65,287100,17.65
2014-11-28,18.05,18.79,18.00,18.22,207700,18.22
2014-11-26,17.70,17.76,17.39,17.54,86700,17.54
2014-11-25,17.75,17.80,17.42,17.59,108100,17.59
2014-11-24,17.36,17.78,17.01,17.75,92200,17.75
2014-11-21,17.54,17.74,16.96,17.00,82300,17.00
2014-11-20,16.85,17.63,16.85,17.28,132800,17.28
2014-11-19,16.78,16.99,16.63,16.90,98300,16.90
2014-11-18,16.62,16.94,16.00,16.73,102800,16.73
2014-11-17,16.13,16.77,15.35,16.61,133600,16.61
2014-11-14,16.30,16.39,16.01,16.13,73600,16.13
2014-11-13,16.62,16.76,15.76,16.40,148300,16.40
2014-11-12,16.74,16.90,16.25,16.59,140900,16.59
2014-11-11,16.25,17.25,15.98,16.64,342800,16.64
2014-11-10,15.34,16.24,15.00,16.18,273400,16.18
2014-11-07,15.22,15.58,14.34,15.16,282100,15.16
2014-11-06,14.00,14.96,13.63,14.69,208200,14.69
2014-11-05,13.69,14.10,13.37,14.01,107500,14.01
2014-11-04,13.78,13.94,13.27,13.45,94000,13.45
2014-11-03,13.16,14.06,12.70,14.04,181800,14.04
2014-10-31,14.47,14.88,13.10,13.12,220600,13.12
2014-10-30,14.84,15.10,14.00,14.23,164100,14.23
