Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,11.82,11.82,11.60,11.60,1000,11.60
2014-12-30,11.49,11.49,11.49,11.49,100,11.49
2014-12-29,11.63,11.63,11.35,11.37,5000,11.37
2014-12-26,11.79,11.81,11.79,11.80,700,11.80
2014-12-24,11.76,11.76,11.72,11.73,600,11.73
2014-12-23,11.55,11.55,11.53,11.53,800,11.53
2014-12-22,11.36,11.77,11.36,11.60,234500,11.60
2014-12-19,11.43,11.45,11.25,11.39,577400,11.39
2014-12-18,11.70,11.70,11.19,11.37,9300,11.37
2014-12-17,11.45,11.45,11.45,11.45,500,11.45
2014-12-16,11.50,11.50,11.35,11.37,6100,11.37
2014-12-15,11.80,11.80,11.41,11.41,13000,11.41
2014-12-12,11.65,12.13,11.59,12.01,10800,12.01
2014-12-11,11.66,11.66,11.54,11.54,2500,11.54
2014-12-10,11.34,11.60,11.34,11.53,5100,11.53
2014-12-09,11.18,11.39,11.11,11.34,4900,11.34
2014-12-08,11.06,11.39,11.05,11.16,6100,11.16
2014-12-05,11.29,11.38,11.05,11.06,15500,11.06
2014-12-04,11.21,11.23,11.16,11.20,1800,11.20
2014-12-03,11.10,11.10,11.00,11.05,1600,11.05
2014-12-02,11.19,11.19,11.12,11.12,1900,11.12
2014-12-01,11.19,11.19,11.15,11.15,2000,11.15
2014-11-28,11.04,11.04,11.04,11.04,000,11.04
2014-11-26,11.04,11.04,11.04,11.04,1000,11.04
2014-11-25,11.15,11.19,11.09,11.09,1300,11.09
2014-11-24,11.03,11.12,10.98,11.09,11500,11.09
2014-11-21,10.90,11.02,10.90,10.95,32300,10.95
2014-11-20,11.00,11.00,10.84,10.95,22500,10.95
2014-11-19,11.05,11.20,10.94,10.95,57000,10.95
2014-11-18,11.04,11.12,10.81,11.00,3500,11.00
2014-11-17,10.85,10.91,10.85,10.91,2900,10.91
2014-11-14,11.11,11.11,10.93,11.03,2500,11.03
2014-11-13,11.20,11.20,11.00,11.05,12800,11.05
2014-11-12,11.00,11.01,10.99,11.00,38100,11.00
2014-11-11,10.85,11.08,10.85,11.07,1700,11.07
2014-11-10,11.10,11.10,10.93,10.99,2300,10.99
2014-11-07,11.30,11.30,10.89,10.99,19900,10.99
2014-11-06,10.90,11.00,10.90,11.00,3400,11.00
2014-11-05,10.72,10.92,10.72,10.77,7900,10.77
2014-11-04,10.85,10.85,10.85,10.85,000,10.85
2014-11-03,10.92,10.98,10.75,10.85,6400,10.85
2014-10-31,10.69,10.95,10.69,10.92,6400,10.92
2014-10-30,10.67,10.89,10.66,10.66,900,10.66
2014-10-29,10.80,10.87,10.79,10.87,27200,10.87
2014-10-28,10.85,10.89,10.78,10.85,117700,10.85
2014-10-27,10.56,10.95,10.55,10.91,80200,10.91
2014-10-24,10.45,10.75,10.45,10.75,7800,10.75
2014-10-23,10.55,10.59,10.50,10.51,800,10.51
2014-10-22,10.52,10.52,10.50,10.50,1100,10.50
2014-10-21,10.49,10.60,10.49,10.60,600,10.60
2014-10-20,10.51,10.57,10.49,10.49,3500,10.49
2014-10-17,10.55,10.55,10.55,10.55,10400,10.55
2014-10-16,10.41,10.59,10.40,10.54,83500,10.54
2014-10-15,10.49,10.58,10.41,10.48,94500,10.48
2014-10-14,10.60,10.61,10.51,10.55,21800,10.55
2014-10-13,10.55,10.59,10.55,10.59,2700,10.59
2014-10-10,10.56,10.65,10.48,10.59,28700,10.59
