Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.94,10.94,10.78,10.78,4000,10.74
2014-12-30,10.89,10.89,10.89,10.89,000,10.85
2014-12-29,10.85,10.99,10.80,10.89,18700,10.85
2014-12-26,10.82,10.82,10.81,10.82,3100,10.78
2014-12-24,11.00,11.00,11.00,11.00,100,10.96
2014-12-23,10.84,10.84,10.84,10.84,1000,10.80
2014-12-22,10.79,10.79,10.79,10.79,700,10.75
2014-12-19,10.79,10.79,10.79,10.79,000,10.75
2014-12-18,10.79,10.79,10.79,10.79,000,10.75
2014-12-17,10.79,10.79,10.79,10.79,100,10.75
2014-12-16,10.78,10.78,10.78,10.78,000,10.74
2014-12-15,11.00,11.00,10.78,10.78,8000,10.74
2014-12-12,11.01,11.01,11.01,11.01,100,10.97
2014-12-11,10.85,10.85,10.85,10.85,000,10.81
2014-12-10,10.85,10.85,10.85,10.85,000,10.81
2014-12-09,10.86,10.86,10.85,10.85,1000,10.81
2014-12-08,10.85,10.85,10.85,10.85,400,10.81
2014-12-05,10.85,10.85,10.85,10.85,000,10.81
2014-12-04,10.85,10.85,10.85,10.85,000,10.81
2014-12-03,10.86,10.86,10.85,10.85,11100,10.81
2014-12-02,10.95,10.95,10.95,10.95,000,10.91
2014-12-01,10.95,10.95,10.95,10.95,000,10.91
2014-11-28,10.94,10.95,10.94,10.95,1900,10.91
2014-11-26,10.92,10.92,10.86,10.86,400,10.82
2014-11-25,10.92,10.92,10.92,10.92,000,10.88
2014-11-24,10.95,10.95,10.92,10.92,400,10.88
2014-11-21,10.95,10.95,10.95,10.95,000,10.91
2014-11-20,10.86,10.95,10.85,10.95,4500,10.91
2014-11-19,10.95,10.95,10.89,10.90,600,10.86
2014-11-18,10.90,10.90,10.86,10.86,1400,10.82
2014-11-17,10.90,10.90,10.90,10.90,000,10.86
2014-11-14,10.90,10.90,10.90,10.90,000,10.86
2014-11-13,10.90,10.90,10.90,10.90,300,10.86
2014-11-12,10.90,10.90,10.90,10.90,100,10.86
2014-11-11,10.83,10.86,10.82,10.86,400,10.82
2014-11-10,10.89,10.89,10.89,10.89,000,10.85
2014-11-07,10.89,10.89,10.89,10.89,000,10.85
2014-11-06,10.89,10.89,10.89,10.89,000,10.85
2014-11-05,10.89,10.89,10.89,10.89,000,10.81
2014-11-04,10.89,10.89,10.89,10.89,000,10.81
2014-11-03,10.89,10.89,10.89,10.89,000,10.81
2014-10-31,10.89,10.89,10.89,10.89,000,10.81
2014-10-30,10.89,10.89,10.89,10.89,000,10.81
2014-10-29,10.89,10.89,10.89,10.89,000,10.81
2014-10-28,10.89,10.89,10.89,10.89,000,10.81
2014-10-27,10.86,10.93,10.84,10.89,1800,10.81
2014-10-24,11.01,11.01,11.01,11.01,000,10.93
2014-10-23,11.01,11.01,11.01,11.01,000,10.93
2014-10-22,11.01,11.01,11.01,11.01,000,10.93
2014-10-21,11.01,11.01,11.01,11.01,000,10.93
2014-10-20,11.01,11.01,11.01,11.01,1800,10.93
2014-10-17,11.00,11.00,11.00,11.00,000,10.92
2014-10-16,11.00,11.00,11.00,11.00,100,10.92
2014-10-15,11.00,11.00,11.00,11.00,200,10.92
2014-10-14,10.97,10.97,10.97,10.97,000,10.89
2014-10-13,10.97,10.97,10.97,10.97,000,10.89
2014-10-10,10.97,10.97,10.97,10.97,000,10.89
2014-10-09,10.97,10.97,10.97,10.97,000,10.89
2014-10-08,10.97,10.97,10.97,10.97,1000,10.89
2014-10-07,10.93,10.93,10.93,10.93,400,10.85
2014-10-06,11.01,11.01,11.01,11.01,200,10.93
2014-10-03,10.95,10.98,10.95,10.98,600,10.90
2014-10-02,10.85,10.85,10.85,10.85,100,10.77
2014-10-01,10.85,10.90,10.85,10.85,1600,10.77
2014-09-30,10.85,10.87,10.85,10.87,1300,10.79
2014-09-29,10.85,10.85,10.85,10.85,1000,10.77
2014-09-26,10.85,10.85,10.81,10.81,3200,10.73
2014-09-25,11.00,11.00,11.00,11.00,200,10.92
2014-09-24,10.86,10.87,10.86,10.86,900,10.78
2014-09-23,10.90,10.95,10.85,10.85,500,10.77
2014-09-22,11.00,11.00,11.00,11.00,000,10.92
2014-09-19,10.92,11.00,10.85,11.00,1500,10.92
2014-09-18,10.89,11.05,10.85,10.95,3200,10.87
2014-09-17,10.87,10.87,10.87,10.87,100,10.79
2014-09-16,10.93,10.93,10.85,10.85,400,10.77
2014-09-15,10.85,11.06,10.85,10.95,7700,10.87
2014-09-12,10.99,11.00,10.95,10.95,2300,10.87
2014-09-11,10.96,10.96,10.96,10.96,000,10.88
2014-09-10,10.96,10.96,10.96,10.96,000,10.88
2014-09-09,11.09,11.09,10.96,10.96,400,10.88
2014-09-08,10.96,10.96,10.96,10.96,000,10.88
2014-09-05,10.96,10.96,10.96,10.96,300,10.88
2014-09-04,11.00,11.03,10.95,11.03,1000,10.95
2014-09-03,10.90,10.90,10.90,10.90,000,10.82
2014-09-02,10.90,10.90,10.90,10.90,100,10.82
2014-08-29,11.09,11.09,11.09,11.09,500,11.01
2014-08-28,10.85,10.85,10.85,10.85,000,10.77
2014-08-27,10.85,10.85,10.85,10.85,000,10.77
2014-08-26,10.85,10.85,10.85,10.85,000,10.77
2014-08-25,10.85,10.85,10.85,10.85,000,10.77
2014-08-22,10.80,10.99,10.78,10.85,12800,10.77
2014-08-21,11.02,11.02,10.85,10.90,7300,10.82
2014-08-20,11.07,11.07,11.07,11.07,100,10.99
2014-08-19,10.83,11.45,10.75,11.01,11200,10.93
2014-08-18,10.85,10.85,10.85,10.85,000,10.77
2014-08-15,10.85,10.86,10.85,10.85,5000,10.77
2014-08-14,10.83,10.85,10.83,10.85,3000,10.77
2014-08-13,10.83,10.83,10.83,10.83,900,10.75
2014-08-12,10.85,10.90,10.81,10.85,6700,10.77
2014-08-11,10.84,10.84,10.84,10.84,300,10.76
2014-08-08,10.81,10.81,10.81,10.81,000,10.73
2014-08-07,10.82,10.82,10.81,10.81,300,10.73
2014-08-06,10.85,10.85,10.85,10.85,1900,10.73
2014-08-05,10.85,10.85,10.85,10.85,1100,10.73
2014-08-04,10.93,10.96,10.85,10.85,3800,10.73
2014-08-01,10.96,10.96,10.96,10.96,400,10.84
2014-07-31,10.99,10.99,10.99,10.99,200,10.87
2014-07-30,10.86,10.86,10.86,10.86,000,10.74
2014-07-29,10.88,10.88,10.85,10.86,2600,10.74
2014-07-28,10.99,11.00,10.85,10.85,5200,10.73
2014-07-25,11.00,11.00,10.80,10.80,3000,10.68
2014-07-24,10.86,10.86,10.80,10.85,2700,10.73
2014-07-23,10.91,10.91,10.85,10.85,1600,10.73
2014-07-22,10.85,10.93,10.83,10.83,3500,10.71
2014-07-21,10.92,10.98,10.83,10.95,3400,10.83
2014-07-18,10.86,10.86,10.86,10.86,000,10.74
2014-07-17,10.90,11.00,10.86,10.86,4000,10.74
2014-07-16,10.91,10.91,10.85,10.86,1400,10.74
2014-07-15,10.87,10.95,10.82,10.95,1800,10.83
2014-07-14,10.93,10.95,10.85,10.90,12300,10.78
2014-07-11,10.99,11.00,10.99,11.00,1000,10.88
2014-07-10,10.85,11.00,10.85,11.00,1400,10.88
2014-07-09,10.80,10.80,10.80,10.80,000,10.68
2014-07-08,10.85,10.94,10.80,10.80,1800,10.68
2014-07-07,10.96,11.00,10.85,10.90,5500,10.78
2014-07-03,10.93,10.99,10.85,10.93,5800,10.81
2014-07-02,10.94,10.98,10.94,10.98,200,10.86
2014-07-01,10.85,10.85,10.85,10.85,1200,10.73
2014-06-30,10.90,10.90,10.86,10.88,2400,10.76
2014-06-27,10.90,10.95,10.82,10.85,2800,10.73
2014-06-26,10.88,10.96,10.85,10.85,2700,10.73
2014-06-25,10.85,10.93,10.85,10.85,3600,10.73
2014-06-24,10.90,10.90,10.82,10.85,1700,10.73
2014-06-23,10.88,10.88,10.88,10.88,200,10.76
2014-06-20,10.99,10.99,10.82,10.82,2400,10.70
2014-06-19,10.98,10.98,10.84,10.90,4100,10.78
2014-06-18,10.99,10.99,10.85,10.87,1300,10.75
2014-06-17,10.90,10.98,10.89,10.90,1400,10.78
2014-06-16,10.92,10.95,10.82,10.95,3300,10.83
2014-06-13,10.99,11.42,10.85,10.85,2400,10.73
2014-06-12,10.99,10.99,10.85,10.85,1900,10.73
2014-06-11,11.01,11.02,10.90,10.90,2400,10.78
2014-06-10,11.00,11.00,11.00,11.00,2000,10.88
2014-06-09,11.00,11.00,11.00,11.00,500,10.88
2014-06-06,10.98,11.09,10.98,11.09,5900,10.97
2014-06-05,11.30,11.30,11.21,11.21,500,11.09
2014-06-04,11.05,11.12,10.90,11.00,16700,10.88
2014-06-03,11.05,11.23,11.00,11.05,1500,10.93
2014-06-02,11.30,11.47,11.30,11.40,1600,11.28
2014-05-30,11.75,11.75,11.75,11.75,100,11.62
2014-05-29,11.74,11.74,11.74,11.74,000,11.61
2014-05-28,11.74,11.74,11.74,11.74,000,11.61
2014-05-27,11.55,11.75,11.15,11.74,2100,11.61
2014-05-23,11.72,11.75,11.72,11.73,2000,11.60
2014-05-22,11.70,11.70,11.70,11.70,000,11.57
2014-05-21,11.70,11.70,11.70,11.70,000,11.57
2014-05-20,11.70,11.70,11.70,11.70,000,11.57
2014-05-19,11.72,11.72,11.70,11.70,1100,11.57
2014-05-16,11.70,11.70,11.70,11.70,200,11.57
2014-05-15,11.62,11.62,11.62,11.62,000,11.49
2014-05-14,11.62,11.62,11.62,11.62,000,11.49
2014-05-13,11.64,11.64,11.62,11.62,400,11.49
2014-05-12,11.51,11.51,11.51,11.51,100,11.38
2014-05-09,11.57,11.57,11.57,11.57,000,11.44
2014-05-08,11.57,11.57,11.57,11.57,000,11.44
2014-05-07,11.61,11.66,11.55,11.57,2600,11.40
2014-05-06,11.57,11.57,11.57,11.57,000,11.40
2014-05-05,11.57,11.75,11.57,11.57,1500,11.40
2014-05-02,11.75,11.75,11.75,11.75,000,11.58
2014-05-01,11.75,11.77,11.75,11.75,2800,11.58
2014-04-30,11.75,11.75,11.75,11.75,100,11.58
2014-04-29,11.59,11.59,11.59,11.59,000,11.42
2014-04-28,11.59,11.59,11.59,11.59,000,11.42
2014-04-25,11.59,11.59,11.59,11.59,000,11.42
2014-04-24,11.59,11.59,11.59,11.59,000,11.42
2014-04-23,11.59,11.59,11.59,11.59,000,11.42
2014-04-22,11.59,11.59,11.59,11.59,000,11.42
2014-04-21,11.59,11.59,11.59,11.59,000,11.42
2014-04-17,11.59,11.59,11.59,11.59,000,11.42
2014-04-16,11.59,11.59,11.59,11.59,000,11.42
2014-04-15,11.59,11.59,11.59,11.59,000,11.42
2014-04-14,11.57,11.59,11.49,11.59,900,11.42
2014-04-11,11.77,11.77,11.77,11.77,000,11.60
2014-04-10,11.77,11.77,11.77,11.77,46500,11.60
2014-04-09,11.53,11.80,11.35,11.50,8600,11.34
2014-04-08,12.00,12.01,11.72,11.72,7500,11.55
2014-04-07,12.00,12.02,12.00,12.01,1400,11.84
2014-04-04,12.20,12.20,12.20,12.20,1000,12.03
2014-04-03,12.00,12.50,12.00,12.50,2800,12.32
2014-04-02,11.70,12.00,11.70,11.74,6300,11.57
2014-04-01,11.54,11.54,11.54,11.54,000,11.38
2014-03-31,11.54,11.54,11.54,11.54,5300,11.38
2014-03-28,11.54,11.54,11.54,11.54,300,11.38
2014-03-27,12.10,12.10,12.10,12.10,000,11.93
2014-03-26,12.10,12.10,12.10,12.10,000,11.93
2014-03-25,12.10,12.10,12.10,12.10,000,11.93
2014-03-24,12.10,12.10,12.10,12.10,000,11.93
2014-03-21,11.78,12.10,11.78,12.10,1200,11.93
2014-03-20,11.54,11.57,11.51,11.51,600,11.35
2014-03-19,11.54,11.54,11.54,11.54,000,11.38
2014-03-18,11.54,11.54,11.54,11.54,300,11.38
2014-03-17,11.56,11.56,11.56,11.56,000,11.39
2014-03-14,11.56,11.56,11.56,11.56,000,11.39
2014-03-13,11.56,11.56,11.56,11.56,000,11.39
2014-03-12,11.56,11.56,11.56,11.56,400,11.39
2014-03-11,11.60,11.60,11.60,11.60,000,11.43
2014-03-10,11.60,11.60,11.60,11.60,000,11.43
2014-03-07,11.60,11.60,11.60,11.60,000,11.43
2014-03-06,11.60,11.60,11.60,11.60,000,11.43
2014-03-05,11.60,11.60,11.60,11.60,000,11.43
2014-03-04,11.60,11.60,11.60,11.60,000,11.43
2014-03-03,11.60,11.60,11.60,11.60,1000,11.43
2014-02-28,11.51,11.51,11.51,11.51,000,11.35
2014-02-27,11.51,11.51,11.51,11.51,000,11.35
2014-02-26,11.52,11.52,11.51,11.51,600,11.35
2014-02-25,11.35,11.35,11.35,11.35,1000,11.19
2014-02-24,11.41,11.41,11.41,11.41,1500,11.25
2014-02-21,11.31,11.31,11.31,11.31,000,11.15
2014-02-20,11.31,11.31,11.31,11.31,1400,11.15
2014-02-19,11.60,11.60,11.60,11.60,000,11.43
2014-02-18,11.60,11.60,11.59,11.60,1700,11.43
2014-02-14,12.00,12.00,12.00,12.00,000,11.83
2014-02-13,12.00,12.00,12.00,12.00,100,11.83
2014-02-12,11.59,11.59,11.59,11.59,200,11.42
2014-02-11,11.81,11.81,11.59,11.67,2700,11.50
2014-02-10,12.10,12.10,12.10,12.10,000,11.93
2014-02-07,12.10,12.10,12.10,12.10,000,11.93
2014-02-06,12.10,12.10,12.10,12.10,000,11.93
2014-02-05,12.03,12.12,12.03,12.10,1200,11.89
2014-02-04,12.22,12.25,12.22,12.25,500,12.04
2014-02-03,11.88,12.17,11.87,12.17,700,11.96
2014-01-31,11.82,11.82,11.82,11.82,000,11.61
2014-01-30,11.82,11.82,11.82,11.82,000,11.61
2014-01-29,11.82,11.82,11.82,11.82,000,11.61
2014-01-28,11.82,11.82,11.82,11.82,000,11.61
2014-01-27,11.82,11.82,11.82,11.82,000,11.61
2014-01-24,11.82,11.82,11.82,11.82,200,11.61
2014-01-23,11.85,11.85,11.85,11.85,100,11.64
2014-01-22,11.87,11.87,11.86,11.86,200,11.65
2014-01-21,12.30,12.30,12.30,12.30,000,12.08
2014-01-17,12.30,12.30,12.30,12.30,000,12.08
2014-01-16,12.30,12.30,12.30,12.30,000,12.08
2014-01-15,12.30,12.30,12.30,12.30,000,12.08
2014-01-14,11.90,12.30,11.90,12.30,1000,12.08
2014-01-13,11.90,11.90,11.90,11.90,100,11.69
2014-01-10,11.90,12.11,11.76,11.90,1900,11.69
2014-01-09,11.75,12.28,11.75,12.10,2500,11.89
2014-01-08,12.06,12.06,12.06,12.06,700,11.85
2014-01-07,12.01,12.01,12.01,12.01,000,11.80
2014-01-06,12.20,12.20,11.83,12.01,1200,11.80
2014-01-03,12.05,12.05,11.80,11.85,6200,11.64
2014-01-02,12.25,12.25,12.00,12.00,700,11.79
2013-12-31,12.25,12.25,12.25,12.25,200,12.04
2013-12-30,12.00,12.00,12.00,12.00,1600,11.79
2013-12-27,12.00,12.00,12.00,12.00,000,11.79
2013-12-26,12.10,12.10,12.00,12.00,800,11.79
2013-12-24,12.18,12.18,12.18,12.18,000,11.97
2013-12-23,12.18,12.18,12.18,12.18,000,11.97
2013-12-20,12.02,12.33,12.00,12.18,2300,11.97
2013-12-19,12.35,12.35,12.35,12.35,000,12.13
2013-12-18,12.35,12.35,12.35,12.35,000,12.13
2013-12-17,12.07,12.35,12.00,12.35,5400,12.13
2013-12-16,12.05,12.13,12.00,12.13,1000,11.92
2013-12-13,12.04,12.44,12.00,12.03,6200,11.82
2013-12-12,12.02,12.03,12.02,12.02,400,11.81
2013-12-11,11.95,12.00,11.95,12.00,600,11.79
2013-12-10,11.80,11.92,11.80,11.92,1200,11.71
2013-12-09,12.00,12.16,11.83,11.83,2400,11.62
2013-12-06,12.00,12.25,12.00,12.25,2300,12.04
2013-12-05,11.80,11.80,11.80,11.80,000,11.59
2013-12-04,11.80,11.80,11.80,11.80,000,11.59
2013-12-03,11.75,11.80,11.75,11.80,800,11.59
2013-12-02,11.65,11.65,11.64,11.65,2000,11.45
2013-11-29,11.30,11.40,11.29,11.35,1200,11.15
2013-11-27,11.25,11.25,11.25,11.25,1300,11.05
2013-11-26,11.75,11.75,11.49,11.49,500,11.29
2013-11-25,11.12,11.12,11.12,11.12,000,10.92
2013-11-22,11.05,11.12,11.00,11.12,2600,10.92
2013-11-21,11.05,11.32,11.05,11.32,900,11.12
2013-11-20,11.05,11.05,11.05,11.05,000,10.86
2013-11-19,11.05,11.05,11.05,11.05,000,10.86
2013-11-18,11.05,11.05,11.05,11.05,000,10.86
2013-11-15,11.05,11.05,11.05,11.05,000,10.86
2013-11-14,11.05,11.05,11.05,11.05,000,10.86
2013-11-13,11.05,11.05,11.05,11.05,000,10.86
2013-11-12,11.00,11.05,11.00,11.05,400,10.86
2013-11-11,11.00,11.10,10.82,11.00,7300,10.81
2013-11-08,11.15,11.15,11.15,11.15,1600,10.95
2013-11-07,11.12,11.15,11.10,11.15,5000,10.95
2013-11-06,11.13,11.13,11.10,11.10,2000,10.91
2013-11-05,11.20,11.20,10.93,11.05,300,10.82
2013-11-04,11.04,11.40,11.04,11.20,1900,10.96
2013-11-01,11.01,11.01,11.01,11.01,000,10.78
2013-10-31,11.10,11.10,11.01,11.01,900,10.78
2013-10-30,11.05,11.05,11.05,11.05,100,10.82
2013-10-29,11.03,11.08,11.00,11.08,1500,10.85
2013-10-28,11.30,11.40,11.30,11.40,300,11.16
2013-10-25,11.15,11.15,11.06,11.06,4100,10.83
2013-10-24,11.06,11.10,11.04,11.06,7200,10.83
2013-10-23,11.25,11.25,11.06,11.06,6400,10.83
2013-10-22,11.00,11.59,11.00,11.36,5100,11.12
2013-10-21,11.08,11.08,11.00,11.00,1100,10.77
2013-10-18,11.00,11.00,11.00,11.00,200,10.77
2013-10-17,11.25,11.25,11.25,11.25,500,11.01
2013-10-16,11.29,11.29,11.29,11.29,000,11.05
2013-10-15,11.29,11.29,11.29,11.29,000,11.05
2013-10-14,11.29,11.29,11.29,11.29,000,11.05
2013-10-11,11.45,11.45,11.28,11.29,700,11.05
2013-10-10,11.57,11.57,11.57,11.57,000,11.33
2013-10-09,11.57,11.57,11.57,11.57,100,11.33
2013-10-08,11.49,11.49,11.49,11.49,000,11.25
2013-10-07,11.00,11.49,11.00,11.49,2000,11.25
2013-10-04,11.25,11.25,11.25,11.25,000,11.01
2013-10-03,11.02,11.25,11.00,11.25,1400,11.01
2013-10-02,11.06,11.06,11.06,11.06,000,10.83
2013-10-01,11.06,11.06,11.06,11.06,000,10.83
2013-09-30,11.25,11.25,11.06,11.06,1100,10.83
2013-09-27,11.02,11.02,11.02,11.02,000,10.79
2013-09-26,11.01,11.02,11.01,11.02,1200,10.79
2013-09-25,11.75,11.75,11.75,11.75,300,11.50
2013-09-24,11.76,11.76,11.76,11.76,000,11.51
2013-09-23,11.76,11.76,11.76,11.76,000,11.51
2013-09-20,11.76,11.76,11.76,11.76,100,11.51
2013-09-19,11.48,11.50,11.48,11.48,1100,11.24
2013-09-18,11.50,11.55,11.40,11.55,1800,11.31
2013-09-17,11.20,11.23,11.20,11.23,1200,10.99
2013-09-16,11.10,11.20,11.10,11.20,200,10.96
2013-09-13,11.03,11.03,11.03,11.03,100,10.80
2013-09-12,11.08,11.08,11.08,11.08,100,10.85
2013-09-11,11.50,11.50,11.47,11.50,600,11.26
2013-09-10,11.50,11.52,11.50,11.52,300,11.28
2013-09-09,11.50,11.55,11.50,11.55,900,11.31
2013-09-06,11.32,11.85,11.25,11.50,10500,11.26
2013-09-05,11.18,11.50,11.18,11.40,27700,11.16
2013-09-04,10.60,10.60,10.60,10.60,000,10.38
2013-09-03,10.56,10.60,10.56,10.60,700,10.38
2013-08-30,10.95,10.95,10.50,10.90,4700,10.67
2013-08-29,10.95,10.95,10.95,10.95,600,10.72
2013-08-28,10.95,10.95,10.95,10.95,500,10.72
2013-08-27,11.09,11.09,11.09,11.09,000,10.86
2013-08-26,11.09,11.09,11.09,11.09,000,10.86
2013-08-23,11.25,11.25,11.09,11.09,1300,10.86
2013-08-22,10.95,10.95,10.95,10.95,3800,10.72
2013-08-21,10.92,10.92,10.92,10.92,000,10.69
2013-08-20,10.75,10.92,10.75,10.92,5500,10.69
2013-08-19,10.86,10.86,10.56,10.57,9700,10.35
2013-08-16,10.80,10.95,10.80,10.84,1800,10.61
