Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,102.90,107.00,102.23,105.89,1049300,105.89
2014-12-30,103.81,105.30,101.32,102.91,35700,102.91
2014-12-29,104.26,105.49,103.30,104.14,773500,104.14
2014-12-26,105.00,105.65,103.93,104.46,776200,104.46
2014-12-24,105.48,106.41,104.56,104.60,569800,104.60
2014-12-23,108.19,108.84,104.74,104.77,870100,104.77
2014-12-22,109.22,111.00,107.15,107.89,576600,107.89
2014-12-19,108.42,110.05,106.07,108.90,965600,108.90
2014-12-18,111.82,113.48,105.58,107.35,1632600,107.35
2014-12-17,112.22,112.94,108.25,110.29,1254300,110.29
2014-12-16,118.10,118.24,111.46,111.83,1115000,111.83
2014-12-15,118.18,121.25,117.30,118.20,1011700,118.20
2014-12-12,116.02,119.40,114.28,117.89,1206800,117.89
2014-12-11,115.00,117.61,114.17,117.07,980600,117.07
2014-12-10,117.14,119.47,113.63,114.11,1441300,114.11
2014-12-09,115.37,119.00,110.71,118.03,1497200,118.03
2014-12-08,118.49,121.42,114.67,117.00,1400500,117.00
2014-12-05,115.00,120.70,114.05,118.73,1544000,118.73
2014-12-04,114.25,116.37,114.15,115.16,598200,115.16
2014-12-03,114.12,117.04,113.25,115.18,1080800,115.18
2014-12-02,112.63,114.36,110.25,113.99,960300,113.99
2014-12-01,117.80,117.82,111.04,112.24,1519600,112.24
2014-11-28,121.48,122.04,117.39,118.36,542100,118.36
2014-11-26,116.08,120.21,115.50,120.21,907200,120.21
2014-11-25,116.78,117.65,114.56,115.83,775800,115.83
2014-11-24,115.19,117.00,113.75,116.62,1331700,116.62
2014-11-21,117.74,117.83,114.50,115.02,1453800,115.02
2014-11-20,120.40,122.03,115.75,116.36,1532900,116.36
2014-11-19,124.50,127.89,120.65,120.96,3678400,120.96
2014-11-18,117.90,121.56,115.62,118.96,1533500,118.96
2014-11-17,112.97,123.26,112.26,117.86,4440300,117.86
2014-11-14,102.67,114.67,102.05,113.71,2649000,113.71
2014-11-13,107.00,107.11,101.55,102.46,914400,102.46
2014-11-12,108.45,109.61,105.69,106.19,1144600,106.19
2014-11-11,106.00,108.89,106.00,108.77,996300,108.77
2014-11-10,104.44,106.81,103.53,106.07,1709900,106.07
2014-11-07,99.85,103.72,99.48,103.20,1459800,103.20
2014-11-06,94.90,103.47,94.23,99.37,4542000,99.37
2014-11-05,108.75,109.00,102.36,103.77,2330900,103.77
2014-11-04,107.17,108.67,106.37,107.57,856000,107.57
2014-11-03,109.15,111.34,106.55,107.87,1344500,107.87
2014-10-31,106.80,109.66,105.43,108.73,1373200,108.73
2014-10-30,100.50,105.65,98.60,104.24,1674500,104.24
2014-10-29,107.02,107.02,104.25,105.52,964500,105.52
2014-10-28,106.06,108.66,104.72,107.18,1051300,107.18
2014-10-27,105.75,107.83,104.71,105.55,633700,105.55
2014-10-24,108.08,108.13,104.80,106.07,849800,106.07
2014-10-23,105.51,110.00,104.50,108.45,1286900,108.45
2014-10-22,108.62,110.34,103.54,104.43,1104400,104.43
2014-10-21,109.10,110.40,107.62,109.01,893700,109.01
2014-10-20,104.66,108.66,104.31,107.80,1042700,107.80
2014-10-17,108.80,109.33,105.03,105.15,1386300,105.15
2014-10-16,104.29,108.42,102.80,105.57,1335500,105.57
2014-10-15,101.06,108.40,98.15,107.52,2213700,107.52
2014-10-14,101.70,104.35,100.15,103.01,1701800,103.01
2014-10-13,104.45,105.88,100.00,100.31,1867300,100.31
2014-10-10,111.14,111.82,104.62,104.79,1548000,104.79
2014-10-09,110.72,112.91,108.83,111.42,1189400,111.42
2014-10-08,109.34,112.21,107.32,111.43,1211100,111.43
2014-10-07,108.75,111.90,108.73,109.52,1087600,109.52
2014-10-06,113.79,114.85,108.31,109.93,1816200,109.93
2014-10-03,114.43,115.82,111.84,112.73,1224300,112.73
2014-10-02,112.17,117.10,111.17,113.66,1931700,113.66
2014-10-01,116.05,116.05,110.56,112.95,2026600,112.95
2014-09-30,117.98,117.99,112.54,115.99,2643600,115.99
2014-09-29,121.97,122.79,118.40,119.33,1147900,119.33
2014-09-26,121.07,123.43,120.92,121.83,1079100,121.83
2014-09-25,125.00,125.95,119.78,120.07,1629300,120.07
2014-09-24,125.20,126.36,124.10,124.97,1042600,124.97
2014-09-23,125.75,128.43,124.12,125.26,917700,125.26
2014-09-22,129.44,129.67,124.17,125.91,1155400,125.91
2014-09-19,133.59,133.59,127.49,130.97,1260100,130.97
2014-09-18,132.87,135.13,131.46,132.02,1026600,132.02
2014-09-17,133.24,135.06,131.28,132.09,1361400,132.09
2014-09-16,126.38,135.23,125.61,133.36,2390700,133.36
2014-09-15,127.30,127.84,123.05,125.64,1245100,125.64
2014-09-12,130.07,130.07,127.52,127.92,1025700,127.92
2014-09-11,132.14,132.94,128.24,129.96,1197100,129.96
2014-09-10,131.00,134.06,129.38,132.59,828700,132.59
2014-09-09,131.01,133.73,129.22,130.11,1599700,130.11
2014-09-08,136.20,137.20,130.00,131.69,1719400,131.69
2014-09-05,138.17,138.32,133.90,137.20,963400,137.20
2014-09-04,139.64,140.98,136.01,137.99,1074100,137.99
2014-09-03,144.60,145.00,139.04,139.99,935600,139.99
2014-09-02,145.59,145.59,141.81,144.07,559400,144.07
2014-08-29,144.29,145.00,141.60,143.46,527000,143.46
2014-08-28,144.67,145.29,142.55,143.22,757100,143.22
2014-08-27,147.73,147.79,143.10,144.31,755400,144.31
2014-08-26,145.65,147.62,144.00,146.81,631200,146.81
2014-08-25,148.23,148.54,143.51,144.94,1037000,144.94
2014-08-22,145.00,146.99,143.59,146.85,1047400,146.85
2014-08-21,142.49,146.28,140.56,145.04,1480300,145.04
2014-08-20,138.45,143.01,137.90,141.32,1207000,141.32
2014-08-19,139.17,140.11,137.50,138.85,794900,138.85
2014-08-18,140.19,140.50,137.30,138.32,1124200,138.32
2014-08-15,135.71,140.19,134.28,138.88,1746900,138.88
2014-08-14,135.37,136.91,133.00,133.83,1268300,133.83
2014-08-13,133.88,137.64,132.77,135.34,1329400,135.34
2014-08-12,135.79,137.03,131.10,132.63,1338100,132.63
2014-08-11,134.91,137.40,133.51,135.78,1181700,135.78
2014-08-08,141.52,141.88,137.73,139.62,556900,139.62
2014-08-07,140.02,142.21,138.00,139.94,969500,139.94
2014-08-06,137.05,141.92,134.12,138.30,1923100,138.30
2014-08-05,145.17,145.98,138.55,141.06,1998600,141.06
2014-08-04,144.73,147.30,144.01,144.81,1061200,144.81
2014-08-01,143.01,146.46,138.56,142.90,1338200,142.90
2014-07-31,147.92,147.92,142.30,143.53,1420100,143.53
2014-07-30,151.12,151.27,147.01,148.41,1584700,148.41
2014-07-29,159.51,160.80,149.15,149.87,3885500,149.87
2014-07-28,152.14,164.90,147.93,160.32,8777200,160.32
2014-07-25,143.50,159.26,142.50,158.86,4490800,158.86
2014-07-24,127.68,157.61,125.60,145.76,7786400,145.76
2014-07-23,127.28,127.80,124.51,126.47,660000,126.47
2014-07-22,126.54,128.92,125.25,126.60,778500,126.60
2014-07-21,124.99,127.44,123.35,126.73,852300,126.73
2014-07-18,123.72,127.20,123.54,124.20,967800,124.20
2014-07-17,128.24,130.26,123.25,123.67,1376800,123.67
2014-07-16,130.50,132.00,129.04,129.32,723200,129.32
2014-07-15,131.50,133.29,126.66,129.04,1229700,129.04
2014-07-14,131.77,135.75,130.75,131.43,1423900,131.43
2014-07-11,131.42,133.50,129.20,131.18,1154500,131.18
2014-07-10,128.62,132.49,124.00,131.42,1971100,131.42
2014-07-09,132.02,134.69,130.71,133.37,1339700,133.37
2014-07-08,134.80,134.90,127.94,130.30,2178700,130.30
2014-07-07,141.32,141.80,135.17,135.35,1619000,135.35
2014-07-03,140.46,142.88,139.01,142.23,678100,142.23
2014-07-02,141.33,145.00,139.23,140.10,1249500,140.10
2014-07-01,142.81,144.16,140.31,140.69,1232700,140.69
2014-06-30,140.05,145.49,140.02,142.93,1743900,142.93
2014-06-27,135.99,140.48,132.55,138.87,5115200,138.87
2014-06-26,139.30,140.43,135.38,138.04,1679900,138.04
2014-06-25,133.05,140.75,132.01,140.36,1822100,140.36
2014-06-24,133.95,141.17,131.93,132.30,2661700,132.30
2014-06-23,134.54,136.95,132.31,133.98,1211300,133.98
