Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,1.72,1.85,1.70,1.77,192900,1.77
2014-12-30,1.77,1.79,1.74,1.74,1700,1.74
2014-12-29,1.88,1.91,1.79,1.79,151300,1.79
2014-12-26,1.88,1.91,1.81,1.87,82700,1.87
2014-12-24,1.82,1.89,1.82,1.85,20700,1.85
2014-12-23,1.89,1.93,1.81,1.82,208900,1.82
2014-12-22,1.76,1.87,1.74,1.85,166000,1.85
2014-12-19,1.92,1.92,1.78,1.79,98900,1.79
2014-12-18,1.82,1.97,1.82,1.89,97700,1.89
2014-12-17,1.72,1.85,1.72,1.85,82700,1.85
2014-12-16,1.75,1.83,1.72,1.72,81400,1.72
2014-12-15,1.83,1.89,1.76,1.76,114500,1.76
2014-12-12,1.82,1.88,1.74,1.84,101200,1.84
2014-12-11,1.91,1.93,1.83,1.83,97200,1.83
2014-12-10,1.97,2.00,1.90,1.90,83200,1.90
2014-12-09,1.90,2.03,1.86,1.98,151900,1.98
2014-12-08,2.06,2.10,1.85,1.90,193900,1.90
2014-12-05,2.05,2.10,2.03,2.07,90200,2.07
2014-12-04,2.03,2.09,2.01,2.03,78400,2.03
2014-12-03,2.05,2.12,2.01,2.01,134800,2.01
2014-12-02,2.06,2.13,2.05,2.07,80800,2.07
2014-12-01,2.13,2.16,2.06,2.09,78400,2.09
2014-11-28,2.15,2.19,2.14,2.17,23100,2.17
2014-11-26,2.17,2.24,2.12,2.17,99300,2.17
2014-11-25,2.17,2.23,2.17,2.18,41700,2.18
2014-11-24,2.22,2.25,2.14,2.18,73500,2.18
2014-11-21,2.18,2.23,2.17,2.21,48800,2.21
2014-11-20,2.14,2.20,2.14,2.17,38000,2.17
2014-11-19,2.20,2.25,2.12,2.14,135800,2.14
2014-11-18,2.26,2.40,2.25,2.25,96600,2.25
2014-11-17,2.28,2.37,2.27,2.31,61500,2.31
2014-11-14,2.36,2.38,2.30,2.31,28400,2.31
2014-11-13,2.43,2.54,2.30,2.39,106800,2.39
2014-11-12,2.41,2.55,2.36,2.47,139700,2.47
2014-11-11,2.33,2.42,2.28,2.38,32000,2.38
2014-11-10,2.41,2.41,2.35,2.38,36000,2.38
2014-11-07,2.43,2.47,2.34,2.42,89200,2.42
2014-11-06,2.36,2.56,2.36,2.50,122700,2.50
