Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,43.38,43.44,41.29,41.77,109500,41.77
2014-12-30,19.24,20.12,19.20,20.05,152600,20.05
2014-12-29,43.58,44.07,43.55,43.78,60100,43.78
2014-12-26,43.83,44.11,43.35,43.48,89400,43.48
2014-12-24,43.93,43.98,43.75,43.87,10900,43.87
2014-12-23,44.51,44.51,43.35,43.62,49500,43.62
2014-12-22,43.64,44.36,43.64,44.31,59500,44.31
2014-12-19,43.25,43.60,42.86,43.03,61500,43.03
2014-12-18,43.07,43.10,41.88,42.86,161000,42.86
2014-12-17,39.33,42.08,39.12,41.92,91600,41.92
2014-12-16,39.67,41.50,39.56,39.62,113600,39.62
2014-12-15,40.54,41.17,39.72,40.21,379400,40.21
2014-12-12,39.89,40.87,39.65,39.80,260800,39.80
2014-12-11,42.58,43.64,40.87,41.05,155600,41.05
2014-12-10,44.10,44.10,42.61,42.72,58600,42.72
2014-12-09,43.28,44.69,43.25,44.46,91700,44.46
2014-12-08,45.00,45.52,44.16,44.55,133600,44.55
2014-12-05,45.33,45.82,45.08,45.15,63000,45.15
2014-12-04,45.00,45.40,44.47,44.79,25900,44.79
2014-12-03,45.07,45.58,45.04,45.47,37900,45.47
2014-12-02,43.72,44.72,43.72,44.65,38000,44.65
2014-12-01,44.22,44.40,43.66,43.81,114800,43.81
2014-11-28,44.76,45.36,44.53,45.14,72400,45.14
2014-11-26,44.46,44.80,44.44,44.73,34900,44.73
2014-11-25,44.81,45.00,44.27,44.27,54300,44.27
2014-11-24,45.11,45.14,44.61,44.98,24500,44.98
2014-11-21,45.37,45.37,44.48,44.48,50500,44.48
2014-11-20,43.89,44.74,43.89,44.38,30000,44.38
2014-11-19,45.09,45.10,44.50,44.80,53300,44.80
2014-11-18,45.31,45.69,45.15,45.15,25600,45.15
2014-11-17,44.95,45.35,44.74,44.94,71600,44.94
2014-11-14,44.70,45.27,44.42,45.21,53200,45.21
2014-11-13,45.25,45.59,43.76,44.74,83400,44.74
2014-11-12,45.30,45.62,45.10,45.44,358400,45.44
2014-11-11,45.78,45.80,45.07,45.80,56600,45.80
2014-11-10,44.68,45.52,44.50,45.49,89200,45.49
2014-11-07,44.11,44.66,43.96,44.66,122100,44.66
2014-11-06,43.62,44.30,43.16,44.18,67700,44.18
2014-11-05,43.82,43.82,43.03,43.30,48900,43.30
2014-11-04,43.17,43.41,42.25,43.20,58700,43.20
2014-11-03,43.93,43.93,42.84,43.11,163700,43.11
2014-10-31,44.33,44.33,43.41,43.80,131700,43.80
2014-10-30,43.67,44.32,43.16,43.21,84100,43.21
2014-10-29,44.00,44.20,43.01,44.04,126200,44.04
2014-10-28,42.91,44.23,42.84,44.20,102000,44.20
2014-10-27,41.51,42.66,40.99,42.58,53200,42.58
2014-10-24,41.73,42.09,40.50,42.09,90600,42.09
2014-10-23,41.46,42.02,41.07,41.41,125100,41.41
2014-10-22,41.88,42.00,40.14,40.33,115400,40.33
2014-10-21,40.91,41.74,40.75,41.63,191300,41.63
2014-10-20,39.35,40.32,39.16,40.25,250400,40.25
2014-10-17,40.16,40.43,39.10,39.54,203000,39.54
2014-10-16,36.63,38.74,36.55,38.18,272700,38.18
2014-10-15,38.16,39.15,36.71,38.78,291600,38.78
2014-10-14,39.56,40.39,38.57,39.09,150100,39.09
2014-10-13,41.22,41.61,38.75,38.92,259200,38.92
2014-10-10,43.10,43.47,41.09,41.15,448200,41.15
2014-10-09,44.76,44.89,42.90,43.16,81700,43.16
2014-10-08,42.78,45.06,42.68,45.00,273300,45.00
2014-10-07,44.04,44.13,42.78,42.97,100600,42.97
2014-10-06,45.63,45.73,44.34,44.39,98500,44.39
2014-10-03,44.12,45.17,44.01,44.93,139000,44.93
2014-10-02,43.03,43.95,42.75,43.50,219000,43.50
2014-10-01,44.00,44.10,42.61,42.73,318900,42.73
2014-09-30,44.54,44.81,43.84,43.97,192600,43.97
2014-09-29,44.31,45.27,44.12,44.43,66900,44.43
2014-09-26,45.17,45.94,44.96,45.67,131700,45.67
2014-09-25,46.19,46.19,44.69,45.09,117500,45.09
2014-09-24,45.86,46.45,45.79,46.33,45500,46.33
2014-09-23,46.44,46.61,45.85,45.85,98100,45.85
2014-09-22,47.25,47.28,46.55,46.71,55100,46.71
2014-09-19,47.50,47.70,47.09,47.48,50800,47.48
2014-09-18,47.52,47.61,47.28,47.35,78300,47.35
2014-09-17,47.26,47.85,46.99,47.36,175000,47.36
2014-09-16,46.00,47.37,46.00,47.20,72200,47.20
2014-09-15,46.96,47.00,46.21,46.38,42100,46.38
2014-09-12,47.14,47.37,46.63,47.00,112700,47.00
2014-09-11,47.12,47.47,46.78,47.42,30800,47.42
2014-09-10,47.23,47.76,46.89,47.58,50400,47.58
2014-09-09,47.76,47.76,47.12,47.40,35200,47.40
2014-09-08,47.58,47.83,47.27,47.83,57500,47.83
2014-09-05,46.99,47.87,46.77,47.68,43000,47.68
2014-09-04,47.25,47.65,46.80,47.13,73000,47.13
2014-09-03,47.10,47.24,46.71,46.80,38300,46.80
2014-09-02,46.97,47.27,46.74,46.78,112500,46.78
2014-08-29,46.98,47.29,46.64,47.11,45300,47.11
2014-08-28,46.20,47.19,46.20,46.65,56000,46.65
2014-08-27,47.25,47.54,46.82,47.07,51900,47.07
2014-08-26,48.13,48.25,47.34,47.35,75000,47.35
2014-08-25,48.36,48.45,48.00,48.01,84400,48.01
2014-08-22,47.77,48.15,47.44,47.83,73900,47.83
2014-08-21,48.09,48.12,47.56,47.59,75700,47.59
2014-08-20,48.04,48.54,47.58,48.37,122800,48.37
2014-08-19,48.26,48.36,48.05,48.33,114500,48.33
2014-08-18,47.64,48.03,47.55,47.92,135600,47.92
2014-08-15,46.98,47.04,45.28,46.77,162000,46.77
2014-08-14,45.87,46.62,45.87,46.40,75100,46.40
2014-08-13,44.89,45.80,44.66,45.63,51600,45.63
2014-08-12,44.40,44.99,44.17,44.23,54900,44.23
2014-08-11,43.81,44.75,43.70,44.32,89900,44.32
2014-08-08,42.68,43.52,42.25,43.39,80800,43.39
2014-08-07,44.00,44.04,42.25,42.50,125100,42.50
